NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KYNU	kynureninase [Source:HGNC Symbol;Acc:HGNC:6469]	71	0.6737273335456848	0.021652492	Yes	
row_1	PDK4	pyruvate dehydrogenase kinase 4 [Source:HGNC Symbol;Acc:HGNC:8812]	136	0.6177036762237549	0.041559026	Yes	
row_2	SLC46A3	solute carrier family 46 member 3 [Source:HGNC Symbol;Acc:HGNC:27501]	206	0.5746389031410217	0.059606772	Yes	
row_3	IL1R1	interleukin 1 receptor type 1 [Source:HGNC Symbol;Acc:HGNC:5993]	239	0.5614463090896606	0.079002954	Yes	
row_4	IRF8	interferon regulatory factor 8 [Source:HGNC Symbol;Acc:HGNC:5358]	282	0.545066237449646	0.09728905	Yes	
row_5	FAS	Fas cell surface death receptor [Source:HGNC Symbol;Acc:HGNC:11920]	285	0.5439901351928711	0.11752586	Yes	
row_6	IGF1	insulin like growth factor 1 [Source:HGNC Symbol;Acc:HGNC:5464]	344	0.5198188424110413	0.13407174	Yes	
row_7	ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide [Source:HGNC Symbol;Acc:HGNC:251]	385	0.49939972162246704	0.1507502	Yes	
row_8	AOX1	aldehyde oxidase 1 [Source:HGNC Symbol;Acc:HGNC:553]	429	0.484719455242157	0.16673054	Yes	
row_9	MAN1A1	mannosidase alpha class 1A member 1 [Source:HGNC Symbol;Acc:HGNC:6821]	554	0.44903436303138733	0.17734519	Yes	
row_10	PROS1	protein S [Source:HGNC Symbol;Acc:HGNC:9456]	612	0.43291693925857544	0.19069213	Yes	
row_11	FMO3	flavin containing dimethylaniline monoxygenase 3 [Source:HGNC Symbol;Acc:HGNC:3771]	619	0.4303377568721771	0.2064811	Yes	
row_12	CD36	CD36 molecule [Source:HGNC Symbol;Acc:HGNC:1663]	760	0.3965313136577606	0.2143366	Yes	
row_13	CFB	complement factor B [Source:HGNC Symbol;Acc:HGNC:1037]	932	0.35910555720329285	0.21925002	Yes	
row_14	TNFRSF1A	TNF receptor superfamily member 1A [Source:HGNC Symbol;Acc:HGNC:11916]	935	0.3586539030075073	0.23255828	Yes	
row_15	PAPSS2	3'-phosphoadenosine 5'-phosphosulfate synthase 2 [Source:HGNC Symbol;Acc:HGNC:8604]	941	0.35769206285476685	0.24568126	Yes	
row_16	AKR1C3	aldo-keto reductase family 1 member C3 [Source:HGNC Symbol;Acc:HGNC:386]	1002	0.34364646673202515	0.25554162	Yes	
row_17	CAT	catalase [Source:HGNC Symbol;Acc:HGNC:1516]	1010	0.34166765213012695	0.267966	Yes	
row_18	EPHX1	epoxide hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:3401]	1022	0.3397698700428009	0.28012034	Yes	
row_19	CYP27A1	cytochrome P450 family 27 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2605]	1164	0.3195626437664032	0.2850487	Yes	
row_20	NQO1	NAD(P)H quinone dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:2874]	1219	0.31205666065216064	0.29402676	Yes	
row_21	NDRG2	NDRG family member 2 [Source:HGNC Symbol;Acc:HGNC:14460]	1270	0.3062627911567688	0.3029873	Yes	
row_22	MT2A	metallothionein 2A [Source:HGNC Symbol;Acc:HGNC:7406]	1334	0.29835212230682373	0.3110051	Yes	
row_23	IGFBP4	insulin like growth factor binding protein 4 [Source:HGNC Symbol;Acc:HGNC:5473]	1423	0.28602272272109985	0.3173176	Yes	
row_24	ID2	inhibitor of DNA binding 2 [Source:HGNC Symbol;Acc:HGNC:5361]	1589	0.26580554246902466	0.31904176	Yes	
row_25	PTGDS	prostaglandin D2 synthase [Source:HGNC Symbol;Acc:HGNC:9592]	1743	0.24734950065612793	0.32067323	Yes	
row_26	GABARAPL1	GABA type A receptor associated protein like 1 [Source:HGNC Symbol;Acc:HGNC:4068]	1757	0.24589590728282928	0.3292187	Yes	
row_27	CYP17A1	cytochrome P450 family 17 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2593]	1776	0.2449144870042801	0.33747855	Yes	
row_28	VNN1	vanin 1 [Source:HGNC Symbol;Acc:HGNC:12705]	1805	0.24206644296646118	0.34513423	Yes	
row_29	RETSAT	retinol saturase [Source:HGNC Symbol;Acc:HGNC:25991]	1824	0.24026943743228912	0.35322046	Yes	
row_30	SERPINE1	serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]	1899	0.23318549990653992	0.35825458	Yes	
row_31	ENPEP	glutamyl aminopeptidase [Source:HGNC Symbol;Acc:HGNC:3355]	1965	0.22686734795570374	0.36350042	Yes	
row_32	BLVRB	biliverdin reductase B [Source:HGNC Symbol;Acc:HGNC:1063]	1969	0.22635610401630402	0.37181312	Yes	
row_33	TGFB2	transforming growth factor beta 2 [Source:HGNC Symbol;Acc:HGNC:11768]	1997	0.22406893968582153	0.37884578	Yes	
row_34	CASP6	caspase 6 [Source:HGNC Symbol;Acc:HGNC:1507]	2130	0.21374773979187012	0.38026634	Yes	
row_35	ACOX2	acyl-CoA oxidase 2 [Source:HGNC Symbol;Acc:HGNC:120]	2131	0.21354947984218597	0.3882496	Yes	
row_36	SERTAD1	SERTA domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17932]	2139	0.2131829708814621	0.39587075	Yes	
row_37	RBP4	retinol binding protein 4 [Source:HGNC Symbol;Acc:HGNC:9922]	2164	0.21090511977672577	0.4025606	Yes	
row_38	ABCC3	ATP binding cassette subfamily C member 3 [Source:HGNC Symbol;Acc:HGNC:54]	2181	0.2097482681274414	0.40960538	Yes	
row_39	LPIN2	lipin 2 [Source:HGNC Symbol;Acc:HGNC:14450]	2199	0.20853017270565033	0.41655487	Yes	
row_40	ETS2	ETS proto-oncogene 2, transcription factor [Source:HGNC Symbol;Acc:HGNC:3489]	2249	0.20489974319934845	0.42177588	Yes	
row_41	ALDH9A1	aldehyde dehydrogenase 9 family member A1 [Source:HGNC Symbol;Acc:HGNC:412]	2255	0.20434024930000305	0.429166	Yes	
row_42	APOE	apolipoprotein E [Source:HGNC Symbol;Acc:HGNC:613]	2276	0.20174366235733032	0.43571246	Yes	
row_43	ETFDH	electron transfer flavoprotein dehydrogenase [Source:HGNC Symbol;Acc:HGNC:3483]	2524	0.18278641998767853	0.43025163	Yes	
row_44	EPHA2	EPH receptor A2 [Source:HGNC Symbol;Acc:HGNC:3386]	2571	0.17975254356861115	0.43468183	Yes	
row_45	ENTPD5	ectonucleoside triphosphate diphosphohydrolase 5 (inactive) [Source:HGNC Symbol;Acc:HGNC:3367]	2583	0.178653746843338	0.44081306	Yes	
