NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	200	0.5870634	1.8859674	0.0	0.005186159	0.005	3694	tags=39%, list=18%, signal=47%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	199	0.6809569	1.8093443	0.0020408162	0.015590609	0.028	3683	tags=61%, list=18%, signal=74%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	200	0.71816593	1.7969447	0.004	0.013977586	0.036	3016	tags=54%, list=15%, signal=63%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	54	0.6825972	1.7769337	0.0	0.020326214	0.055	4765	tags=63%, list=23%, signal=82%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	200	0.56502104	1.7690097	0.008298756	0.018529285	0.058	3749	tags=41%, list=18%, signal=50%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	199	0.5782331	1.7532685	0.0	0.02065644	0.071	5343	tags=48%, list=26%, signal=64%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	196	0.48738334	1.7501502	0.011560693	0.01864428	0.072	4495	tags=37%, list=22%, signal=47%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	200	0.5533926	1.7434254	0.014553014	0.017335132	0.074	3745	tags=38%, list=18%, signal=46%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	200	0.7529372	1.7433622	0.006289308	0.015409006	0.074	2926	tags=63%, list=14%, signal=72%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	200	0.62406033	1.7423704	0.012219959	0.01420294	0.074	3425	tags=43%, list=17%, signal=51%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	197	0.7595739	1.7097857	0.0041841003	0.019378072	0.094	3326	tags=65%, list=16%, signal=77%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	49	0.6004466	1.7069125	0.016064256	0.018307783	0.095	5897	tags=59%, list=29%, signal=83%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	200	0.52344114	1.6984078	0.01192843	0.019521175	0.105	3605	tags=37%, list=18%, signal=45%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	161	0.64773613	1.6813128	0.016393442	0.022149455	0.119	3772	tags=54%, list=19%, signal=66%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	197	0.8010238	1.6768943	0.0	0.021050442	0.12	2881	tags=75%, list=14%, signal=86%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	32	0.60890335	1.6697387	0.016597511	0.021722887	0.13	4551	tags=53%, list=22%, signal=68%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	199	0.66601324	1.6682459	0.010288066	0.021016998	0.132	3297	tags=52%, list=16%, signal=61%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	85	0.74084985	1.6672914	0.014285714	0.020002358	0.132	3648	tags=73%, list=18%, signal=89%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	137	0.7062042	1.6443608	0.021276595	0.025925681	0.165	2967	tags=48%, list=15%, signal=56%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	200	0.7601038	1.6326207	0.016913319	0.028688708	0.182	3095	tags=70%, list=15%, signal=82%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	112	0.550721	1.6215957	0.027083334	0.03125486	0.201	3526	tags=32%, list=17%, signal=39%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	144	0.61039627	1.6212996	0.020408163	0.029906366	0.202	3079	tags=42%, list=15%, signal=49%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	96	0.8148644	1.6134238	0.006263048	0.031498548	0.213	2192	tags=70%, list=11%, signal=78%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	42	0.46998942	1.6084936	0.04526749	0.03144712	0.217	3715	tags=31%, list=18%, signal=38%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	200	0.55665046	1.5881373	0.057017542	0.03755221	0.249	4514	tags=45%, list=22%, signal=57%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	198	0.7150567	1.5670235	0.051172707	0.043793794	0.284	3323	tags=64%, list=16%, signal=76%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	104	0.47525078	1.5503274	0.041749503	0.049511243	0.32	3933	tags=34%, list=19%, signal=42%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	100	0.55448014	1.5490185	0.042510122	0.048390035	0.322	4775	tags=52%, list=24%, signal=68%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	158	0.47185558	1.5226401	0.05952381	0.059043154	0.365	4831	tags=37%, list=24%, signal=49%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	35	0.7094541	1.5221683	0.053719006	0.057231925	0.367	3887	tags=57%, list=19%, signal=71%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	74	0.5780088	1.5164613	0.054325957	0.05766185	0.371	4166	tags=45%, list=21%, signal=56%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	200	0.47018307	1.5094278	0.030737706	0.059294056	0.388	4069	tags=43%, list=20%, signal=53%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	96	0.5375008	1.454976	0.11047619	0.08251038	0.467	5701	tags=51%, list=28%, signal=71%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	43	0.50337386	1.4250387	0.061099797	0.09608586	0.513	5009	tags=51%, list=25%, signal=68%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	158	0.42044473	1.3827082	0.107421875	0.1171094	0.58	3681	tags=27%, list=18%, signal=33%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	197	0.35812968	1.3297588	0.06958251	0.14653243	0.643	3300	tags=19%, list=16%, signal=22%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	200	0.37717265	1.2774739	0.17741935	0.17787685	0.688	2844	tags=19%, list=14%, signal=21%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	104	0.38514945	1.2588738	0.19607843	0.18690619	0.715	5436	tags=38%, list=27%, signal=51%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	113	0.39029753	1.2043046	0.28094304	0.2239649	0.772	5297	tags=29%, list=26%, signal=39%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	200	0.40152115	1.1452049	0.3475728	0.26747426	0.82	4776	tags=35%, list=24%, signal=45%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	200	0.3666145	1.0661234	0.44921875	0.3317497	0.87	5994	tags=32%, list=30%, signal=44%	
