NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
COVID19-NSP8 PROTEIN HOST PPI FROM KROGAN	COVID19-NSP8 PROTEIN HOST PPI FROM KROGAN	Details ...	23	0.7340127	1.6207272	0.007843138	0.13143893	0.115	2286	tags=61%, list=11%, signal=69%	
COVID19-ALL 332 PROTEIN HOST PPI FROM KROGAN	COVID19-ALL 332 PROTEIN HOST PPI FROM KROGAN	Details ...	329	0.40538955	1.3358904	0.18252428	0.6358811	0.503	4453	tags=37%, list=22%, signal=47%	
GENOME-WIDE CRISPR SCREEN REVEALS HOST GENES THAT REGULATE SARS-COV-2 INFECTION	GENOME-WIDE CRISPR SCREEN REVEALS HOST GENES THAT REGULATE SARS-COV-2 INFECTION	Details ...	26	0.44984534	1.2158449	0.31870228	0.72020483	0.629	3972	tags=42%, list=20%, signal=53%	
COVID19-NSP12 PROTEIN HOST PPI FROM KROGAN	COVID19-NSP12 PROTEIN HOST PPI FROM KROGAN	Details ...	19	0.4686948	1.2152286	0.28767124	0.54100466	0.631	6249	tags=63%, list=31%, signal=91%	
COVID19-ORF9C PROTEIN HOST PPI FROM KROGAN	COVID19-ORF9C PROTEIN HOST PPI FROM KROGAN	Details ...	24	0.43300003	1.1262481	0.37755102	0.58857995	0.696	3075	tags=29%, list=15%, signal=34%	
COVID19-NSP13 PROTEIN HOST PPI FROM KROGAN	COVID19-NSP13 PROTEIN HOST PPI FROM KROGAN	Details ...	38	0.39063358	1.0627867	0.409901	0.5839231	0.733	5048	tags=42%, list=25%, signal=56%	
COVID19-NSP9 PROTEIN HOST PPI FROM KROGAN	COVID19-NSP9 PROTEIN HOST PPI FROM KROGAN	Details ...	15	0.41152704	0.94097704	0.5498008	0.6762314	0.788	3932	tags=53%, list=19%, signal=66%	
COVID19-M PROTEIN HOST PPI FROM KROGAN	COVID19-M PROTEIN HOST PPI FROM KROGAN	Details ...	29	0.30088755	0.8873803	0.6052632	0.67298657	0.811	2820	tags=21%, list=14%, signal=24%	
COVID19-ORF8 PROTEIN HOST PPI FROM KROGAN	COVID19-ORF8 PROTEIN HOST PPI FROM KROGAN	Details ...	46	0.2846794	0.7943155	0.7050209	0.7285943	0.847	2824	tags=24%, list=14%, signal=28%	
SARS CORONAVIRUS HYPOTHETICAL PROTEIN SARS9B FROM VIRUS-HOST PPI P-HIPSTER 2020	SARS CORONAVIRUS HYPOTHETICAL PROTEIN SARS9B FROM VIRUS-HOST PPI P-HIPSTER 2020	Details ...	15	0.26338783	0.7589251	0.75595236	0.70267856	0.86	2270	tags=20%, list=11%, signal=23%	
COVID19-NSP7 PROTEIN HOST PPI FROM KROGAN	COVID19-NSP7 PROTEIN HOST PPI FROM KROGAN	Details ...	31	0.22361769	0.6247435	0.8178218	0.811646	0.899	4041	tags=16%, list=20%, signal=20%	
