NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CMBL	carboxymethylenebutenolidase homolog [Source:HGNC Symbol;Acc:HGNC:25090]	355	0.27321305871009827	-0.001310069	No	
row_1	TKT	transketolase [Source:HGNC Symbol;Acc:HGNC:11834]	743	0.20558913052082062	-0.0082618	No	
row_2	ELOVL6	ELOVL fatty acid elongase 6 [Source:HGNC Symbol;Acc:HGNC:15829]	774	0.20305396616458893	0.0024029426	No	
row_3	GPHN	gephyrin [Source:HGNC Symbol;Acc:HGNC:15465]	1017	0.18137159943580627	0.001217988	No	
row_4	SLC1A5	solute carrier family 1 member 5 [Source:HGNC Symbol;Acc:HGNC:10943]	1070	0.17690923810005188	0.009222349	No	
row_5	COQ3	coenzyme Q3, methyltransferase [Source:HGNC Symbol;Acc:HGNC:18175]	1173	0.16921672224998474	0.014277567	No	
row_6	HADH	hydroxyacyl-CoA dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4799]	1174	0.16920430958271027	0.02440869	No	
row_7	MCCC1	methylcrotonoyl-CoA carboxylase 1 [Source:HGNC Symbol;Acc:HGNC:6936]	1455	0.15059155225753784	0.019489478	No	
row_8	ACAA2	acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]	1632	0.14154157042503357	0.019204585	No	
row_9	JAGN1	jagunal homolog 1 [Source:HGNC Symbol;Acc:HGNC:26926]	1709	0.1376311033964157	0.02366266	No	
row_10	GPAM	glycerol-3-phosphate acyltransferase, mitochondrial [Source:HGNC Symbol;Acc:HGNC:24865]	1787	0.13367055356502533	0.027833825	No	
row_11	PTCD3	pentatricopeptide repeat domain 3 [Source:HGNC Symbol;Acc:HGNC:24717]	1853	0.12988276779651642	0.032375447	No	
row_12	DLAT	dihydrolipoamide S-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:2896]	2018	0.12282136082649231	0.031566937	No	
row_13	NDUFAB1	NADH:ubiquinone oxidoreductase subunit AB1 [Source:HGNC Symbol;Acc:HGNC:7694]	2145	0.11710821837186813	0.032307647	No	
row_14	CS	citrate synthase [Source:HGNC Symbol;Acc:HGNC:2422]	2269	0.11286628991365433	0.03294369	No	
row_15	SLC19A1	solute carrier family 19 member 1 [Source:HGNC Symbol;Acc:HGNC:10937]	2295	0.11198123544454575	0.038404297	No	
row_16	RAB34	RAB34, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:16519]	2408	0.1076827421784401	0.039277453	No	
row_17	COX7B	cytochrome c oxidase subunit 7B [Source:HGNC Symbol;Acc:HGNC:2291]	2428	0.10715609788894653	0.044747785	No	
row_18	DHCR7	7-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2860]	2491	0.10507788509130478	0.047953524	No	
row_19	GRPEL1	GrpE like 1, mitochondrial [Source:HGNC Symbol;Acc:HGNC:19696]	2960	0.09152300655841827	0.03014062	No	
row_20	SLC5A6	solute carrier family 5 member 6 [Source:HGNC Symbol;Acc:HGNC:11041]	3011	0.08984658122062683	0.03303164	No	
row_21	PRDX3	peroxiredoxin 3 [Source:HGNC Symbol;Acc:HGNC:9354]	3136	0.08652422577142715	0.032040674	No	
row_22	ATL2	atlastin GTPase 2 [Source:HGNC Symbol;Acc:HGNC:24047]	3143	0.08639893680810928	0.036915194	No	
row_23	ATP5PO	ATP synthase peripheral stalk subunit OSCP [Source:HGNC Symbol;Acc:HGNC:850]	3279	0.082765132188797	0.03515167	No	
row_24	SAMM50	SAMM50 sorting and assembly machinery component [Source:HGNC Symbol;Acc:HGNC:24276]	3353	0.0806451365351677	0.036347017	No	
row_25	IMMT	inner membrane mitochondrial protein [Source:HGNC Symbol;Acc:HGNC:6047]	3507	0.07684075087308884	0.03333289	No	
row_26	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3 [Source:HGNC Symbol;Acc:HGNC:8874]	3531	0.0763842910528183	0.036761675	No	
row_27	MDH2	malate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:6971]	3554	0.07570092380046844	0.04019931	No	
row_28	UQCRQ	ubiquinol-cytochrome c reductase complex III subunit VII [Source:HGNC Symbol;Acc:HGNC:29594]	3578	0.0754084512591362	0.043569665	No	
row_29	SULT1A1	sulfotransferase family 1A member 1 [Source:HGNC Symbol;Acc:HGNC:11453]	3917	0.06845585256814957	0.030845849	No	
row_30	AGPAT3	1-acylglycerol-3-phosphate O-acyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:326]	4009	0.0661330372095108	0.030276405	No	
row_31	SCARB1	scavenger receptor class B member 1 [Source:HGNC Symbol;Acc:HGNC:1664]	4041	0.06531353294849396	0.032644156	No	
row_32	SUCLG1	succinate-CoA ligase GDP/ADP-forming subunit alpha [Source:HGNC Symbol;Acc:HGNC:11449]	4098	0.06431882083415985	0.03370807	No	
row_33	HIBCH	3-hydroxyisobutyryl-CoA hydrolase [Source:HGNC Symbol;Acc:HGNC:4908]	4310	0.059965457767248154	0.026796816	No	
row_34	G3BP2	G3BP stress granule assembly factor 2 [Source:HGNC Symbol;Acc:HGNC:30291]	4321	0.05976620316505432	0.029877612	No	
row_35	CHUK	component of inhibitor of nuclear factor kappa B kinase complex [Source:HGNC Symbol;Acc:HGNC:1974]	4523	0.055722493678331375	0.023210019	No	
row_36	NKIRAS1	NFKB inhibitor interacting Ras like 1 [Source:HGNC Symbol;Acc:HGNC:17899]	4590	0.05428234487771988	0.02317529	No	
row_37	MRPL15	mitochondrial ribosomal protein L15 [Source:HGNC Symbol;Acc:HGNC:14054]	4608	0.05393354594707489	0.025558459	No	
row_38	UQCRC1	ubiquinol-cytochrome c reductase core protein 1 [Source:HGNC Symbol;Acc:HGNC:12585]	4860	0.04930470511317253	0.016018046	No	
row_39	CYC1	cytochrome c1 [Source:HGNC Symbol;Acc:HGNC:2579]	4993	0.04699859395623207	0.012262313	No	
row_40	MTCH2	mitochondrial carrier 2 [Source:HGNC Symbol;Acc:HGNC:17587]	5011	0.04671921208500862	0.014213522	No	
row_41	ATP1B3	ATPase Na+/K+ transporting subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:806]	5116	0.0446476973593235	0.011710618	No	
row_42	TALDO1	transaldolase 1 [Source:HGNC Symbol;Acc:HGNC:11559]	5122	0.04457419738173485	0.014130645	No	
row_43	DECR1	2,4-dienoyl-CoA reductase 1 [Source:HGNC Symbol;Acc:HGNC:2753]	5215	0.042902227491140366	0.012120483	No	
row_44	COQ5	coenzyme Q5, methyltransferase [Source:HGNC Symbol;Acc:HGNC:28722]	5338	0.040853966027498245	0.008494549	No	
row_45	CCNG2	cyclin G2 [Source:HGNC Symbol;Acc:HGNC:1593]	5383	0.0401964969933033	0.008711392	No	
row_46	SOD1	superoxide dismutase 1 [Source:HGNC Symbol;Acc:HGNC:11179]	5395	0.040088146924972534	0.010564192	No	
row_47	ITSN1	intersectin 1 [Source:HGNC Symbol;Acc:HGNC:6183]	5519	0.03774779289960861	0.006702505	No	
row_48	ANGPT1	angiopoietin 1 [Source:HGNC Symbol;Acc:HGNC:484]	5593	0.03671053424477577	0.005267265	No	
row_49	MAP4K3	mitogen-activated protein kinase kinase kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6865]	5600	0.0365961454808712	0.0071598357	No	
row_50	TST	thiosulfate sulfurtransferase [Source:HGNC Symbol;Acc:HGNC:12388]	5658	0.03572395071387291	0.00646186	No	
row_51	RMDN3	regulator of microtubule dynamics 3 [Source:HGNC Symbol;Acc:HGNC:25550]	5750	0.03428155183792114	0.0039853053	No	
row_52	PPP1R15B	protein phosphatase 1 regulatory subunit 15B [Source:HGNC Symbol;Acc:HGNC:14951]	5754	0.0342605821788311	0.0058873473	No	
row_53	UQCR11	ubiquinol-cytochrome c reductase, complex III subunit XI [Source:HGNC Symbol;Acc:HGNC:30862]	5803	0.03352255001664162	0.0055055027	No	
row_54	BCKDHA	branched chain keto acid dehydrogenase E1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:986]	6136	0.02865210361778736	-0.00930294	No	
row_55	SDHC	succinate dehydrogenase complex subunit C [Source:HGNC Symbol;Acc:HGNC:10682]	6153	0.02840459905564785	-0.008398549	No	
