NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PREP	prolyl endopeptidase [Source:HGNC Symbol;Acc:HGNC:9358]	779	0.2020648866891861	-0.026682202	No	
row_1	LTA4H	leukotriene A4 hydrolase [Source:HGNC Symbol;Acc:HGNC:6710]	1929	0.12647198140621185	-0.07620111	No	
row_2	PLG	plasminogen [Source:HGNC Symbol;Acc:HGNC:9071]	2995	0.09052477777004242	-0.1236816	No	
row_3	ARF4	ADP ribosylation factor 4 [Source:HGNC Symbol;Acc:HGNC:655]	3268	0.08304332196712494	-0.13225825	No	
row_4	MMP1	matrix metallopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:7155]	3867	0.06936691701412201	-0.15782054	No	
row_5	DCT	dopachrome tautomerase [Source:HGNC Symbol;Acc:HGNC:2709]	4627	0.05362487956881523	-0.19230385	No	
row_6	F13B	coagulation factor XIII B chain [Source:HGNC Symbol;Acc:HGNC:3534]	5912	0.03197756037116051	-0.25411898	No	
row_7	MSRB2	methionine sulfoxide reductase B2 [Source:HGNC Symbol;Acc:HGNC:17061]	6228	0.027417298406362534	-0.26812443	No	
row_8	MMP2	matrix metallopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:7166]	6485	0.024419082328677177	-0.27938005	No	
row_9	FYN	FYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4037]	6635	0.02239168807864189	-0.28544667	No	
row_10	FGA	fibrinogen alpha chain [Source:HGNC Symbol;Acc:HGNC:3661]	7187	0.015165003016591072	-0.3118878	No	
row_11	HRG	histidine rich glycoprotein [Source:HGNC Symbol;Acc:HGNC:5181]	7558	0.010829484090209007	-0.3296049	No	
row_12	KLK8	kallikrein related peptidase 8 [Source:HGNC Symbol;Acc:HGNC:6369]	7905	0.0067953672260046005	-0.34637016	No	
row_13	CPB2	carboxypeptidase B2 [Source:HGNC Symbol;Acc:HGNC:2300]	7955	0.006249350029975176	-0.34843123	No	
row_14	CAPN2	calpain 2 [Source:HGNC Symbol;Acc:HGNC:1479]	8195	0.003778192214667797	-0.3600661	No	
row_15	SERPINC1	serpin family C member 1 [Source:HGNC Symbol;Acc:HGNC:775]	8672	-0.0011639283038675785	-0.3836153	No	
row_16	F9	coagulation factor IX [Source:HGNC Symbol;Acc:HGNC:3551]	8766	-0.0020759953185915947	-0.38810676	No	
row_17	F2	coagulation factor II, thrombin [Source:HGNC Symbol;Acc:HGNC:3535]	9662	-0.01013123244047165	-0.43191466	No	
row_18	MBL2	mannose binding lectin 2 [Source:HGNC Symbol;Acc:HGNC:6922]	9669	-0.010173375718295574	-0.43160972	No	
row_19	F12	coagulation factor XII [Source:HGNC Symbol;Acc:HGNC:3530]	9734	-0.010782567784190178	-0.43414652	No	
row_20	MST1	macrophage stimulating 1 [Source:HGNC Symbol;Acc:HGNC:7380]	9789	-0.011173183098435402	-0.436164	No	
row_21	PROZ	protein Z, vitamin K dependent plasma glycoprotein [Source:HGNC Symbol;Acc:HGNC:9460]	9861	-0.011831472627818584	-0.43898597	No	
row_22	GP9	glycoprotein IX platelet [Source:HGNC Symbol;Acc:HGNC:4444]	10132	-0.014088827185332775	-0.45154822	No	
row_23	SH2B2	SH2B adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:17381]	10195	-0.014640752226114273	-0.45375723	No	
row_24	TMPRSS6	transmembrane serine protease 6 [Source:HGNC Symbol;Acc:HGNC:16517]	10214	-0.01477538701146841	-0.45377505	No	
row_25	PF4	platelet factor 4 [Source:HGNC Symbol;Acc:HGNC:8861]	10557	-0.017129503190517426	-0.46972966	No	
row_26	USP11	ubiquitin specific peptidase 11 [Source:HGNC Symbol;Acc:HGNC:12609]	10788	-0.01871727965772152	-0.48003298	No	
row_27	APOA1	apolipoprotein A1 [Source:HGNC Symbol;Acc:HGNC:600]	10827	-0.01901215873658657	-0.4807922	No	
row_28	C8B	complement C8 beta chain [Source:HGNC Symbol;Acc:HGNC:1353]	11272	-0.022505316883325577	-0.50148934	No	
row_29	RAC1	Rac family small GTPase 1 [Source:HGNC Symbol;Acc:HGNC:9801]	11739	-0.025964846834540367	-0.5230732	No	
row_30	MMP3	matrix metallopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:7173]	11790	-0.02629796229302883	-0.52399623	No	
row_31	APOC3	apolipoprotein C3 [Source:HGNC Symbol;Acc:HGNC:610]	12096	-0.028641613200306892	-0.53743297	No	
row_32	MMP7	matrix metallopeptidase 7 [Source:HGNC Symbol;Acc:HGNC:7174]	12222	-0.029560688883066177	-0.54188406	No	
row_33	MMP8	matrix metallopeptidase 8 [Source:HGNC Symbol;Acc:HGNC:7175]	12297	-0.03019212931394577	-0.5437672	No	
row_34	ITIH1	inter-alpha-trypsin inhibitor heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:6166]	12300	-0.03021031804382801	-0.5420768	No	
row_35	S100A13	S100 calcium binding protein A13 [Source:HGNC Symbol;Acc:HGNC:10490]	12404	-0.031024739146232605	-0.5453496	No	
row_36	RABIF	RAB interacting factor [Source:HGNC Symbol;Acc:HGNC:9797]	12437	-0.0313580259680748	-0.54507977	No	
row_37	C8A	complement C8 alpha chain [Source:HGNC Symbol;Acc:HGNC:1352]	12533	-0.032186899334192276	-0.5478867	No	
row_38	HNF4A	hepatocyte nuclear factor 4 alpha [Source:HGNC Symbol;Acc:HGNC:5024]	12599	-0.03263707086443901	-0.5491785	No	
row_39	HPN	hepsin [Source:HGNC Symbol;Acc:HGNC:5155]	12657	-0.03315967321395874	-0.55004233	No	
row_40	MMP10	matrix metallopeptidase 10 [Source:HGNC Symbol;Acc:HGNC:7156]	12664	-0.033226028084754944	-0.5483718	No	
row_41	KLF7	Kruppel like factor 7 [Source:HGNC Symbol;Acc:HGNC:6350]	12888	-0.03522923216223717	-0.5573496	No	
