NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLK4	polo like kinase 4 [Source:HGNC Symbol;Acc:HGNC:11397]	65	0.4207099974155426	0.014568848	No	
row_1	KIF20A	kinesin family member 20A [Source:HGNC Symbol;Acc:HGNC:9787]	100	0.3853609561920166	0.029184729	No	
row_2	MYB	MYB proto-oncogene, transcription factor [Source:HGNC Symbol;Acc:HGNC:7545]	105	0.38234829902648926	0.045166325	No	
row_3	SLC27A2	solute carrier family 27 member 2 [Source:HGNC Symbol;Acc:HGNC:10996]	106	0.3818676769733429	0.06132667	No	
row_4	SLC16A1	solute carrier family 16 member 1 [Source:HGNC Symbol;Acc:HGNC:10922]	207	0.32454800605773926	0.07008394	No	
row_5	TOP2A	DNA topoisomerase II alpha [Source:HGNC Symbol;Acc:HGNC:11989]	244	0.3050284683704376	0.08120067	No	
row_6	NMU	neuromedin U [Source:HGNC Symbol;Acc:HGNC:7859]	272	0.29533520340919495	0.09235514	No	
row_7	GAL	galanin and GMAP prepropeptide [Source:HGNC Symbol;Acc:HGNC:4114]	284	0.2926955223083496	0.10419428	No	
row_8	ASCL1	achaete-scute family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:738]	304	0.2869393825531006	0.11539164	No	
row_9	CDC6	cell division cycle 6 [Source:HGNC Symbol;Acc:HGNC:1744]	328	0.2806376516819	0.12612322	No	
row_10	GINS2	GINS complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:24575]	330	0.27995437383651733	0.1379209	No	
row_11	RBBP8	RB binding protein 8, endonuclease [Source:HGNC Symbol;Acc:HGNC:9891]	490	0.24160096049308777	0.14023128	No	
row_12	TIAM1	TIAM Rac1 associated GEF 1 [Source:HGNC Symbol;Acc:HGNC:11805]	527	0.2327727973461151	0.1482902	No	
row_13	NRIP1	nuclear receptor interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:8001]	757	0.2043234258890152	0.14553888	No	
row_14	UGDH	UDP-glucose 6-dehydrogenase [Source:HGNC Symbol;Acc:HGNC:12525]	758	0.20426560938358307	0.15418324	No	
row_15	IL17RB	interleukin 17 receptor B [Source:HGNC Symbol;Acc:HGNC:18015]	777	0.20213671028614044	0.16184159	No	
row_16	DNAJC12	DnaJ heat shock protein family (Hsp40) member C12 [Source:HGNC Symbol;Acc:HGNC:28908]	941	0.18730482459068298	0.1616551	No	
row_17	STIL	STIL centriolar assembly protein [Source:HGNC Symbol;Acc:HGNC:10879]	953	0.1864469200372696	0.16899788	No	
row_18	RNASEH2A	ribonuclease H2 subunit A [Source:HGNC Symbol;Acc:HGNC:18518]	966	0.18536277115345	0.17624502	No	
row_19	HSPA4L	heat shock protein family A (Hsp70) member 4 like [Source:HGNC Symbol;Acc:HGNC:17041]	1103	0.1745796501636505	0.1768639	No	
row_20	CDC20	cell division cycle 20 [Source:HGNC Symbol;Acc:HGNC:1723]	1491	0.14844606816768646	0.16388366	No	
row_21	SLC7A5	solute carrier family 7 member 5 [Source:HGNC Symbol;Acc:HGNC:11063]	1529	0.1463536024093628	0.16823561	No	
row_22	RET	ret proto-oncogene [Source:HGNC Symbol;Acc:HGNC:9967]	1777	0.13420593738555908	0.16162105	No	
row_23	FKBP4	FKBP prolyl isomerase 4 [Source:HGNC Symbol;Acc:HGNC:3720]	1816	0.13233955204486847	0.16533016	No	
row_24	SORD	sorbitol dehydrogenase [Source:HGNC Symbol;Acc:HGNC:11184]	2076	0.12000657618045807	0.1575174	No	
row_25	IDH2	isocitrate dehydrogenase (NADP(+)) 2 [Source:HGNC Symbol;Acc:HGNC:5383]	2324	0.11081962287425995	0.14991313	No	
row_26	DHCR7	7-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2860]	2491	0.10507788509130478	0.14609756	No	
row_27	CKB	creatine kinase B [Source:HGNC Symbol;Acc:HGNC:1991]	2547	0.10372491180896759	0.14774956	No	
row_28	BTG3	BTG anti-proliferation factor 3 [Source:HGNC Symbol;Acc:HGNC:1132]	2641	0.10075262933969498	0.1473844	No	
row_29	IMPA2	inositol monophosphatase 2 [Source:HGNC Symbol;Acc:HGNC:6051]	2650	0.10033097118139267	0.15123214	No	
row_30	FARP1	FERM, ARH/RhoGEF and pleckstrin domain protein 1 [Source:HGNC Symbol;Acc:HGNC:3591]	2722	0.09831198304891586	0.1518587	No	
row_31	XRCC3	X-ray repair cross complementing 3 [Source:HGNC Symbol;Acc:HGNC:12830]	2736	0.09777791798114777	0.15534954	No	
row_32	PPIF	peptidylprolyl isomerase F [Source:HGNC Symbol;Acc:HGNC:9259]	2815	0.09515225887298584	0.15549397	No	
row_33	PLXNB1	plexin B1 [Source:HGNC Symbol;Acc:HGNC:9103]	3245	0.08382906019687653	0.13768871	No	
row_34	FLNB	filamin B [Source:HGNC Symbol;Acc:HGNC:3755]	3270	0.08300561457872391	0.14000688	No	
row_35	FOXC1	forkhead box C1 [Source:HGNC Symbol;Acc:HGNC:3800]	3271	0.08298726379871368	0.14351884	No	
row_36	BAG1	BAG cochaperone 1 [Source:HGNC Symbol;Acc:HGNC:937]	3337	0.08119925111532211	0.14371985	No	
row_37	ASS1	argininosuccinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:758]	3435	0.0785657986998558	0.14221667	No	
row_38	HPRT1	hypoxanthine phosphoribosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:5157]	3569	0.07552682608366013	0.13879302	No	
row_39	FKBP5	FKBP prolyl isomerase 5 [Source:HGNC Symbol;Acc:HGNC:3721]	3573	0.07548754662275314	0.14183828	No	
row_40	METTL3	methyltransferase like 3 [Source:HGNC Symbol;Acc:HGNC:17563]	3758	0.0716412216424942	0.13571174	No	
row_41	PERP	p53 apoptosis effector related to PMP22 [Source:HGNC Symbol;Acc:HGNC:17637]	3819	0.07048051059246063	0.13570802	No	
