NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HBB	hemoglobin subunit beta [Source:HGNC Symbol;Acc:HGNC:4827]	570	0.22667358815670013	-0.0134937465	No	
row_1	H4C3	H4 clustered histone 3 [Source:HGNC Symbol;Acc:HGNC:4787]	1004	0.18305039405822754	-0.023031892	No	
row_2	GMPS	guanine monophosphate synthase [Source:HGNC Symbol;Acc:HGNC:4378]	1022	0.18102356791496277	-0.012001347	No	
row_3	RCL1	RNA terminal phosphate cyclase like 1 [Source:HGNC Symbol;Acc:HGNC:17687]	1123	0.17354167997837067	-0.00559205	No	
row_4	TFDP2	transcription factor Dp-2 [Source:HGNC Symbol;Acc:HGNC:11751]	1683	0.13861554861068726	-0.024315678	No	
row_5	ASNS	asparagine synthetase (glutamine-hydrolyzing) [Source:HGNC Symbol;Acc:HGNC:753]	1894	0.12793394923210144	-0.026372595	No	
row_6	HMBS	hydroxymethylbilane synthase [Source:HGNC Symbol;Acc:HGNC:4982]	1954	0.12505899369716644	-0.021103824	No	
row_7	ALAS2	5'-aminolevulinate synthase 2 [Source:HGNC Symbol;Acc:HGNC:397]	1971	0.12446881085634232	-0.013733937	No	
row_8	NNT	nicotinamide nucleotide transhydrogenase [Source:HGNC Symbol;Acc:HGNC:7863]	1998	0.12354250997304916	-0.0069224606	No	
row_9	SLC30A10	solute carrier family 30 member 10 [Source:HGNC Symbol;Acc:HGNC:25355]	2307	0.11154640465974808	-0.01493136	No	
row_10	HDGF	heparin binding growth factor [Source:HGNC Symbol;Acc:HGNC:4856]	2466	0.10587455332279205	-0.015847834	No	
row_11	SLC6A8	solute carrier family 6 member 8 [Source:HGNC Symbol;Acc:HGNC:11055]	2580	0.10243678838014603	-0.014750488	No	
row_12	MINPP1	multiple inositol-polyphosphate phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:7102]	2747	0.09749904274940491	-0.016614567	No	
row_13	SLC7A11	solute carrier family 7 member 11 [Source:HGNC Symbol;Acc:HGNC:11059]	2953	0.09171758592128754	-0.020798737	No	
row_14	SLC25A38	solute carrier family 25 member 38 [Source:HGNC Symbol;Acc:HGNC:26054]	3021	0.08961958438158035	-0.018253172	No	
row_15	MXI1	MAX interactor 1, dimerization protein [Source:HGNC Symbol;Acc:HGNC:7534]	3056	0.08872413635253906	-0.014124154	No	
