NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PHGDH	phosphoglycerate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:8923]	23	0.5054582953453064	0.023795262	Yes	
row_1	PSAT1	phosphoserine aminotransferase 1 [Source:HGNC Symbol;Acc:HGNC:19129]	52	0.43983548879623413	0.04410373	Yes	
row_2	BUB1	BUB1 mitotic checkpoint serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1148]	152	0.34953126311302185	0.056422535	Yes	
row_3	TMEM97	transmembrane protein 97 [Source:HGNC Symbol;Acc:HGNC:28106]	170	0.34057965874671936	0.07238109	Yes	
row_4	CDC25A	cell division cycle 25A [Source:HGNC Symbol;Acc:HGNC:1725]	249	0.3040087819099426	0.083498985	Yes	
row_5	DHFR	dihydrofolate reductase [Source:HGNC Symbol;Acc:HGNC:2861]	250	0.3038361668586731	0.09849071	Yes	
row_6	BCAT1	branched chain amino acid transaminase 1 [Source:HGNC Symbol;Acc:HGNC:976]	303	0.28710657358169556	0.110068746	Yes	
row_7	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase [Source:HGNC Symbol;Acc:HGNC:7434]	313	0.28489720821380615	0.12367803	Yes	
row_8	RRM2	ribonucleotide reductase regulatory subunit M2 [Source:HGNC Symbol;Acc:HGNC:10452]	318	0.28408321738243103	0.13749602	Yes	
row_9	MTHFD2L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2 like [Source:HGNC Symbol;Acc:HGNC:31865]	383	0.2643567621707916	0.14735426	Yes	
row_10	AURKA	aurora kinase A [Source:HGNC Symbol;Acc:HGNC:11393]	404	0.25896963477134705	0.15913673	Yes	
row_11	PPA1	inorganic pyrophosphatase 1 [Source:HGNC Symbol;Acc:HGNC:9226]	419	0.25527188181877136	0.1710354	Yes	
row_12	HSPD1	heat shock protein family D (Hsp60) member 1 [Source:HGNC Symbol;Acc:HGNC:5261]	456	0.24766521155834198	0.1814637	Yes	
row_13	EEF1E1	eukaryotic translation elongation factor 1 epsilon 1 [Source:HGNC Symbol;Acc:HGNC:3212]	574	0.22611315548419952	0.18679696	Yes	
row_14	MCM2	minichromosome maintenance complex component 2 [Source:HGNC Symbol;Acc:HGNC:6944]	670	0.2140864133834839	0.19263181	Yes	
row_15	ELOVL6	ELOVL fatty acid elongase 6 [Source:HGNC Symbol;Acc:HGNC:15829]	774	0.20305396616458893	0.19752412	Yes	
row_16	HK2	hexokinase 2 [Source:HGNC Symbol;Acc:HGNC:4923]	787	0.20137439668178558	0.20686294	Yes	
row_17	UNG	uracil DNA glycosylase [Source:HGNC Symbol;Acc:HGNC:12572]	808	0.19941294193267822	0.2157068	Yes	
row_18	PLK1	polo like kinase 1 [Source:HGNC Symbol;Acc:HGNC:9077]	827	0.19683323800563812	0.22452292	Yes	
row_19	PDK1	pyruvate dehydrogenase kinase 1 [Source:HGNC Symbol;Acc:HGNC:8809]	844	0.1953606754541397	0.23336592	Yes	
row_20	GMPS	guanine monophosphate synthase [Source:HGNC Symbol;Acc:HGNC:4378]	1022	0.18102356791496277	0.23348798	Yes	
row_21	SLC1A5	solute carrier family 1 member 5 [Source:HGNC Symbol;Acc:HGNC:10943]	1070	0.17690923810005188	0.23987758	Yes	
row_22	MCM4	minichromosome maintenance complex component 4 [Source:HGNC Symbol;Acc:HGNC:6947]	1109	0.17422355711460114	0.24658263	Yes	
row_23	SCD	stearoyl-CoA desaturase [Source:HGNC Symbol;Acc:HGNC:10571]	1114	0.17389297485351562	0.25496367	Yes	
row_24	NUFIP1	nuclear FMR1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:8057]	1135	0.17282409965991974	0.2624956	Yes	
row_25	EIF2S2	eukaryotic translation initiation factor 2 subunit beta [Source:HGNC Symbol;Acc:HGNC:3266]	1286	0.1611134558916092	0.26297915	Yes	
row_26	CCNG1	cyclin G1 [Source:HGNC Symbol;Acc:HGNC:1592]	1321	0.15893514454364777	0.26912892	Yes	
row_27	RRP9	ribosomal RNA processing 9, U3 small nucleolar RNA binding protein [Source:HGNC Symbol;Acc:HGNC:16829]	1352	0.15646076202392578	0.27535573	Yes	
row_28	PSMG1	proteasome assembly chaperone 1 [Source:HGNC Symbol;Acc:HGNC:3043]	1427	0.15176784992218018	0.27916095	Yes	
row_29	PNO1	partner of NOB1 homolog [Source:HGNC Symbol;Acc:HGNC:32790]	1483	0.1489386260509491	0.28377223	Yes	
row_30	SQLE	squalene epoxidase [Source:HGNC Symbol;Acc:HGNC:11279]	1509	0.14761652052402496	0.28981152	Yes	
row_31	SLC7A5	solute carrier family 7 member 5 [Source:HGNC Symbol;Acc:HGNC:11063]	1529	0.1463536024093628	0.29608712	Yes	
row_32	EPRS1	glutamyl-prolyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:3418]	1638	0.141299307346344	0.2976835	Yes	
row_33	HSPE1	heat shock protein family E (Hsp10) member 1 [Source:HGNC Symbol;Acc:HGNC:5269]	1697	0.1380733996629715	0.30160937	Yes	
row_34	SLC37A4	solute carrier family 37 member 4 [Source:HGNC Symbol;Acc:HGNC:4061]	1713	0.13740387558937073	0.3076425	Yes	
row_35	SHMT2	serine hydroxymethyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:10852]	1738	0.13626247644424438	0.3131713	Yes	
row_36	ASNS	asparagine synthetase (glutamine-hydrolyzing) [Source:HGNC Symbol;Acc:HGNC:753]	1894	0.12793394923210144	0.31176886	Yes	
row_37	LTA4H	leukotriene A4 hydrolase [Source:HGNC Symbol;Acc:HGNC:6710]	1929	0.12647198140621185	0.31631687	Yes	
row_38	HMBS	hydroxymethylbilane synthase [Source:HGNC Symbol;Acc:HGNC:4982]	1954	0.12505899369716644	0.3212929	Yes	
row_39	VLDLR	very low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:12698]	2022	0.12264624983072281	0.32400963	Yes	
row_40	PSMA3	proteasome 20S subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:9532]	2026	0.12247800827026367	0.32990354	Yes	
row_41	SORD	sorbitol dehydrogenase [Source:HGNC Symbol;Acc:HGNC:11184]	2076	0.12000657618045807	0.33338594	Yes	
row_42	CCT6A	chaperonin containing TCP1 subunit 6A [Source:HGNC Symbol;Acc:HGNC:1620]	2243	0.11377228796482086	0.33073723	Yes	
row_43	NUP205	nucleoporin 205 [Source:HGNC Symbol;Acc:HGNC:18658]	2257	0.11323649436235428	0.33567742	Yes	
row_44	EBP	EBP cholestenol delta-isomerase [Source:HGNC Symbol;Acc:HGNC:3133]	2451	0.10627024620771408	0.33131465	Yes	
row_45	DHCR7	7-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2860]	2491	0.10507788509130478	0.3345582	Yes	
row_46	CCNF	cyclin F [Source:HGNC Symbol;Acc:HGNC:1591]	2496	0.10506075620651245	0.33954296	Yes	
row_47	UCHL5	ubiquitin C-terminal hydrolase L5 [Source:HGNC Symbol;Acc:HGNC:19678]	2548	0.10363352298736572	0.34211794	Yes	
row_48	HSPA9	heat shock protein family A (Hsp70) member 9 [Source:HGNC Symbol;Acc:HGNC:5244]	2565	0.10304515063762665	0.34640595	Yes	
row_49	CACYBP	calcyclin binding protein [Source:HGNC Symbol;Acc:HGNC:30423]	2612	0.10166764259338379	0.3491328	Yes	
row_50	POLR3G	RNA polymerase III subunit G [Source:HGNC Symbol;Acc:HGNC:30075]	2863	0.09382785856723785	0.34131902	Yes	
row_51	ACACA	acetyl-CoA carboxylase alpha [Source:HGNC Symbol;Acc:HGNC:84]	2932	0.09212478250265121	0.34248	Yes	
row_52	GSR	glutathione-disulfide reductase [Source:HGNC Symbol;Acc:HGNC:4623]	2941	0.09196346253156662	0.34661943	Yes	
row_53	SLC7A11	solute carrier family 7 member 11 [Source:HGNC Symbol;Acc:HGNC:11059]	2953	0.09171758592128754	0.35059738	Yes	
