NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC27A2	solute carrier family 27 member 2 [Source:HGNC Symbol;Acc:HGNC:10996]	106	0.3818676769733429	0.03892059	No	
row_1	TOP2A	DNA topoisomerase II alpha [Source:HGNC Symbol;Acc:HGNC:11989]	244	0.3050284683704376	0.067417376	No	
row_2	ABCD2	ATP binding cassette subfamily D member 2 [Source:HGNC Symbol;Acc:HGNC:66]	371	0.269092321395874	0.09230225	No	
row_3	CRABP1	cellular retinoic acid binding protein 1 [Source:HGNC Symbol;Acc:HGNC:2338]	597	0.2226576954126358	0.10691178	No	
row_4	SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1 [Source:HGNC Symbol;Acc:HGNC:11104]	735	0.20657706260681152	0.124020465	No	
row_5	MSH2	mutS homolog 2 [Source:HGNC Symbol;Acc:HGNC:7325]	1097	0.1748143434524536	0.12635884	No	
row_6	FABP6	fatty acid binding protein 6 [Source:HGNC Symbol;Acc:HGNC:3561]	1566	0.14455048739910126	0.119896084	No	
row_7	HSD17B11	hydroxysteroid 17-beta dehydrogenase 11 [Source:HGNC Symbol;Acc:HGNC:22960]	1791	0.13338644802570343	0.12422894	No	
row_8	GNPAT	glyceronephosphate O-acyltransferase [Source:HGNC Symbol;Acc:HGNC:4416]	2173	0.11608421057462692	0.11878313	No	
row_9	CLN6	CLN6 transmembrane ER protein [Source:HGNC Symbol;Acc:HGNC:2077]	2222	0.11453863233327866	0.1296543	No	
row_10	IDH2	isocitrate dehydrogenase (NADP(+)) 2 [Source:HGNC Symbol;Acc:HGNC:5383]	2324	0.11081962287425995	0.13746984	No	
row_11	PABPC1	poly(A) binding protein cytoplasmic 1 [Source:HGNC Symbol;Acc:HGNC:8554]	2529	0.10427495837211609	0.13942605	No	
row_12	CTPS1	CTP synthase 1 [Source:HGNC Symbol;Acc:HGNC:2519]	2916	0.09254121035337448	0.13100928	No	
row_13	IDE	insulin degrading enzyme [Source:HGNC Symbol;Acc:HGNC:5381]	3107	0.08735029399394989	0.13170129	No	
row_14	CNBP	CCHC-type zinc finger nucleic acid binding protein [Source:HGNC Symbol;Acc:HGNC:13164]	3148	0.0862651839852333	0.1396983	No	
row_15	PEX13	peroxisomal biogenesis factor 13 [Source:HGNC Symbol;Acc:HGNC:8855]	3175	0.08521700650453568	0.14826758	No	
row_16	SLC25A19	solute carrier family 25 member 19 [Source:HGNC Symbol;Acc:HGNC:14409]	3288	0.08252451568841934	0.15226527	No	
row_17	ALB	albumin [Source:HGNC Symbol;Acc:HGNC:399]	3294	0.08238422870635986	0.16154714	No	
row_18	SLC25A17	solute carrier family 25 member 17 [Source:HGNC Symbol;Acc:HGNC:10987]	3522	0.07652010023593903	0.15915354	No	
row_19	HSD11B2	hydroxysteroid 11-beta dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:5209]	3709	0.07282893359661102	0.15836397	No	
row_20	ERCC1	ERCC excision repair 1, endonuclease non-catalytic subunit [Source:HGNC Symbol;Acc:HGNC:3433]	3726	0.07260813564062119	0.16597013	No	
row_21	ERCC3	ERCC excision repair 3, TFIIH core complex helicase subunit [Source:HGNC Symbol;Acc:HGNC:3435]	3755	0.07168710231781006	0.1728753	No	
row_22	SIAH1	siah E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:10857]	3841	0.07001971453428268	0.17676401	No	
row_23	ISOC1	isochorismatase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24254]	3853	0.069780133664608	0.18429074	No	
row_24	CDK7	cyclin dependent kinase 7 [Source:HGNC Symbol;Acc:HGNC:1778]	4060	0.0648689940571785	0.1815897	No	
row_25	ACSL1	acyl-CoA synthetase long chain family member 1 [Source:HGNC Symbol;Acc:HGNC:3569]	4172	0.06274611502885818	0.18334909	No	
row_26	CACNA1B	calcium voltage-gated channel subunit alpha1 B [Source:HGNC Symbol;Acc:HGNC:1389]	4180	0.06256157159805298	0.19023897	No	
row_27	FADS1	fatty acid desaturase 1 [Source:HGNC Symbol;Acc:HGNC:3574]	4234	0.06134067848324776	0.19470893	No	
row_28	SOD1	superoxide dismutase 1 [Source:HGNC Symbol;Acc:HGNC:11179]	5395	0.040088146924972534	0.1418833	No	
row_29	CEL	carboxyl ester lipase [Source:HGNC Symbol;Acc:HGNC:1848]	5523	0.03764565661549568	0.13994667	No	
row_30	CADM1	cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5951]	5592	0.036713164299726486	0.14082487	No	
row_31	PEX5	peroxisomal biogenesis factor 5 [Source:HGNC Symbol;Acc:HGNC:9719]	5623	0.03628969192504883	0.14353646	No	
row_32	ABCC5	ATP binding cassette subfamily C member 5 [Source:HGNC Symbol;Acc:HGNC:56]	5810	0.033459365367889404	0.13819294	No	
row_33	ABCC8	ATP binding cassette subfamily C member 8 [Source:HGNC Symbol;Acc:HGNC:59]	5991	0.030719054862856865	0.13282965	No	
row_34	RDH11	retinol dehydrogenase 11 [Source:HGNC Symbol;Acc:HGNC:17964]	6109	0.029026921838521957	0.13039145	No	
row_35	FDPS	farnesyl diphosphate synthase [Source:HGNC Symbol;Acc:HGNC:3631]	6178	0.028076153248548508	0.13027059	No	
row_36	NUDT19	nudix hydrolase 19 [Source:HGNC Symbol;Acc:HGNC:32036]	6234	0.0273393914103508	0.13070846	No	
row_37	PEX11A	peroxisomal biogenesis factor 11 alpha [Source:HGNC Symbol;Acc:HGNC:8852]	6776	0.020529359579086304	0.10628372	No	
row_38	CTBP1	C-terminal binding protein 1 [Source:HGNC Symbol;Acc:HGNC:2494]	6858	0.01928068697452545	0.10450147	No	
row_39	CRABP2	cellular retinoic acid binding protein 2 [Source:HGNC Symbol;Acc:HGNC:2339]	7417	0.012399733997881413	0.078294225	No	
row_40	HSD17B4	hydroxysteroid 17-beta dehydrogenase 4 [Source:HGNC Symbol;Acc:HGNC:5213]	7496	0.011402975767850876	0.07574936	No	
row_41	PEX2	peroxisomal biogenesis factor 2 [Source:HGNC Symbol;Acc:HGNC:9717]	7590	0.01043637003749609	0.07234963	No	
row_42	UGT2B17	UDP glucuronosyltransferase family 2 member B17 [Source:HGNC Symbol;Acc:HGNC:12547]	7696	0.00912346038967371	0.0682036	No	
row_43	PEX6	peroxisomal biogenesis factor 6 [Source:HGNC Symbol;Acc:HGNC:8859]	7745	0.008648575283586979	0.06682623	No	
row_44	LONP2	lon peptidase 2, peroxisomal [Source:HGNC Symbol;Acc:HGNC:20598]	8313	0.002405982930213213	0.039017152	No	
row_45	EHHADH	enoyl-CoA hydratase and 3-hydroxyacyl CoA dehydrogenase [Source:HGNC Symbol;Acc:HGNC:3247]	8751	-0.001955747837200761	0.017595785	No	
row_46	ABCD3	ATP binding cassette subfamily D member 3 [Source:HGNC Symbol;Acc:HGNC:67]	8781	-0.002237185835838318	0.016417997	No	
row_47	IDI1	isopentenyl-diphosphate delta isomerase 1 [Source:HGNC Symbol;Acc:HGNC:5387]	8990	-0.004364171531051397	0.0066191503	No	
row_48	ITGB1BP1	integrin subunit beta 1 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:23927]	9256	-0.006748367566615343	-0.005727511	No	
row_49	ESR2	estrogen receptor 2 [Source:HGNC Symbol;Acc:HGNC:3468]	9368	-0.00759967090561986	-0.010347028	No	
row_50	ELOVL5	ELOVL fatty acid elongase 5 [Source:HGNC Symbol;Acc:HGNC:21308]	9378	-0.007677147164940834	-0.009904826	No	
row_51	TSPO	translocator protein [Source:HGNC Symbol;Acc:HGNC:1158]	9847	-0.011711611412465572	-0.031733353	No	
row_52	TTR	transthyretin [Source:HGNC Symbol;Acc:HGNC:12405]	10059	-0.013484221883118153	-0.040625874	No	
row_53	SLC35B2	solute carrier family 35 member B2 [Source:HGNC Symbol;Acc:HGNC:16872]	10073	-0.01358021143823862	-0.039699	No	
row_54	SERPINA6	serpin family A member 6 [Source:HGNC Symbol;Acc:HGNC:1540]	10177	-0.014467168599367142	-0.043127842	No	
row_55	DIO1	iodothyronine deiodinase 1 [Source:HGNC Symbol;Acc:HGNC:2883]	10215	-0.014781412668526173	-0.043250907	No	
row_56	ACOT8	acyl-CoA thioesterase 8 [Source:HGNC Symbol;Acc:HGNC:15919]	10825	-0.0190045777708292	-0.07122053	No	
row_57	HAO2	hydroxyacid oxidase 2 [Source:HGNC Symbol;Acc:HGNC:4810]	11162	-0.021631503477692604	-0.08536275	No	
row_58	STS	steroid sulfatase [Source:HGNC Symbol;Acc:HGNC:11425]	11202	-0.021976269781589508	-0.084752634	No	
row_59	CAT	catalase [Source:HGNC Symbol;Acc:HGNC:1516]	11470	-0.02386457286775112	-0.0952185	No	
row_60	SLC23A2	solute carrier family 23 member 2 [Source:HGNC Symbol;Acc:HGNC:10973]	12193	-0.02934996969997883	-0.12758912	No	
row_61	HRAS	HRas proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:5173]	12716	-0.03360283747315407	-0.14956042	No	
row_62	IDH1	isocitrate dehydrogenase (NADP(+)) 1 [Source:HGNC Symbol;Acc:HGNC:5382]	13032	-0.03644154965877533	-0.16094925	No	
row_63	MLYCD	malonyl-CoA decarboxylase [Source:HGNC Symbol;Acc:HGNC:7150]	13056	-0.03672078996896744	-0.15784103	No	
row_64	PRDX1	peroxiredoxin 1 [Source:HGNC Symbol;Acc:HGNC:9352]	13157	-0.03753886744379997	-0.1584525	No	
row_65	ACAA1	acetyl-CoA acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:82]	13165	-0.03764290362596512	-0.15444502	No	
row_66	ACSL4	acyl-CoA synthetase long chain family member 4 [Source:HGNC Symbol;Acc:HGNC:3571]	13265	-0.03858155757188797	-0.15488635	No	
row_67	RXRG	retinoid X receptor gamma [Source:HGNC Symbol;Acc:HGNC:10479]	13266	-0.03858764469623566	-0.15042283	No	
row_68	CLN8	CLN8 transmembrane ER and ERGIC protein [Source:HGNC Symbol;Acc:HGNC:2079]	13498	-0.040781229734420776	-0.15714858	No	
row_69	ABCB9	ATP binding cassette subfamily B member 9 [Source:HGNC Symbol;Acc:HGNC:50]	13545	-0.04137241840362549	-0.15464163	No	
row_70	PRDX5	peroxiredoxin 5 [Source:HGNC Symbol;Acc:HGNC:9355]	13587	-0.04175417870283127	-0.15184285	No	
row_71	FIS1	fission, mitochondrial 1 [Source:HGNC Symbol;Acc:HGNC:21689]	13882	-0.04445875436067581	-0.16126403	No	
row_72	SULT2B1	sulfotransferase family 2B member 1 [Source:HGNC Symbol;Acc:HGNC:11459]	13922	-0.04487073794007301	-0.15800567	No	
row_73	NR1I2	nuclear receptor subfamily 1 group I member 2 [Source:HGNC Symbol;Acc:HGNC:7968]	13947	-0.04512082412838936	-0.15397532	No	
row_74	YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta [Source:HGNC Symbol;Acc:HGNC:12853]	14265	-0.04868702590465546	-0.16404675	No	
row_75	SLC25A4	solute carrier family 25 member 4 [Source:HGNC Symbol;Acc:HGNC:10990]	14690	-0.05378606915473938	-0.17882882	No	
row_76	ECH1	enoyl-CoA hydratase 1 [Source:HGNC Symbol;Acc:HGNC:3149]	15115	-0.05959133803844452	-0.19293937	No	
row_77	SCGB1A1	secretoglobin family 1A member 1 [Source:HGNC Symbol;Acc:HGNC:12523]	15162	-0.060430482029914856	-0.18822794	No	
row_78	PEX11B	peroxisomal biogenesis factor 11 beta [Source:HGNC Symbol;Acc:HGNC:8853]	15262	-0.06195851415395737	-0.1859652	No	
row_79	HSD3B7	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7 [Source:HGNC Symbol;Acc:HGNC:18324]	15543	-0.06675174087285995	-0.19211419	No	
row_80	ALDH9A1	aldehyde dehydrogenase 9 family member A1 [Source:HGNC Symbol;Acc:HGNC:412]	15685	-0.0690583884716034	-0.19111075	No	
row_81	ACOX1	acyl-CoA oxidase 1 [Source:HGNC Symbol;Acc:HGNC:119]	16074	-0.07588955760002136	-0.20155272	Yes	
row_82	DLG4	discs large MAGUK scaffold protein 4 [Source:HGNC Symbol;Acc:HGNC:2903]	16101	-0.07634209096431732	-0.19401	Yes	
row_83	VPS4B	vacuolar protein sorting 4 homolog B [Source:HGNC Symbol;Acc:HGNC:10895]	16168	-0.07754439860582352	-0.1883097	Yes	
row_84	PEX14	peroxisomal biogenesis factor 14 [Source:HGNC Symbol;Acc:HGNC:8856]	16189	-0.0778564065694809	-0.18029462	Yes	
row_85	BCL10	BCL10 immune signaling adaptor [Source:HGNC Symbol;Acc:HGNC:989]	16654	-0.08808820694684982	-0.19309035	Yes	
row_86	RETSAT	retinol saturase [Source:HGNC Symbol;Acc:HGNC:25991]	16850	-0.09253840893507004	-0.1920459	Yes	
