NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ALDOB	aldolase, fructose-bisphosphate B [Source:HGNC Symbol;Acc:HGNC:417]	174	0.21429048478603363	0.002487319	No	
row_1	ELF3	E74 like ETS transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:3318]	374	0.184284046292305	0.0021692917	No	
row_2	FBP2	fructose-bisphosphatase 2 [Source:HGNC Symbol;Acc:HGNC:3607]	494	0.17171922326087952	0.005179494	No	
row_3	LHX9	LIM homeobox 9 [Source:HGNC Symbol;Acc:HGNC:14222]	759	0.15432783961296082	6.779196E-5	No	
row_4	PFKFB1	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1 [Source:HGNC Symbol;Acc:HGNC:8872]	920	0.14652736485004425	-2.7326256E-4	No	
row_5	GYS2	glycogen synthase 2 [Source:HGNC Symbol;Acc:HGNC:4707]	1644	0.12164988368749619	-0.029931001	No	
row_6	CHST6	carbohydrate sulfotransferase 6 [Source:HGNC Symbol;Acc:HGNC:6938]	1684	0.12054523080587387	-0.025601113	No	
row_7	GPR87	G protein-coupled receptor 87 [Source:HGNC Symbol;Acc:HGNC:4538]	1752	0.1187511458992958	-0.022758216	No	
row_8	ANG	angiogenin [Source:HGNC Symbol;Acc:HGNC:483]	1804	0.11768245697021484	-0.019174537	No	
row_9	B4GALT1	beta-1,4-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:924]	2129	0.10983019322156906	-0.029587528	No	
row_10	LCT	lactase [Source:HGNC Symbol;Acc:HGNC:6530]	2162	0.10914290696382523	-0.0255024	No	
row_11	COL5A1	collagen type V alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2209]	2369	0.10505428165197372	-0.030290568	No	
row_12	GAPDHS	glyceraldehyde-3-phosphate dehydrogenase, spermatogenic [Source:HGNC Symbol;Acc:HGNC:24864]	2459	0.10323713719844818	-0.029349765	No	
row_13	B3GNT3	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:13528]	2584	0.10062049329280853	-0.03028716	No	
row_14	CHST4	carbohydrate sulfotransferase 4 [Source:HGNC Symbol;Acc:HGNC:1972]	2826	0.09643150866031647	-0.03726598	No	
row_15	MIOX	myo-inositol oxygenase [Source:HGNC Symbol;Acc:HGNC:14522]	2981	0.09420988708734512	-0.040030073	No	
row_16	ARTN	artemin [Source:HGNC Symbol;Acc:HGNC:727]	3056	0.09305316209793091	-0.03887246	No	
row_17	SOX9	SRY-box transcription factor 9 [Source:HGNC Symbol;Acc:HGNC:11204]	3301	0.08932952582836151	-0.046370067	No	
