NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SCN9A	sodium voltage-gated channel alpha subunit 9 [Source:HGNC Symbol;Acc:HGNC:10597]	135	0.30504128336906433	0.011661699	No	
row_1	ALCAM	activated leukocyte cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:400]	147	0.2976703643798828	0.02905086	No	
row_2	PLAGL1	PLAG1 like zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:9046]	200	0.25986719131469727	0.042121515	No	
row_3	GABARAPL1	GABA type A receptor associated protein like 1 [Source:HGNC Symbol;Acc:HGNC:4068]	295	0.2313787043094635	0.05138516	No	
row_4	MAP6	microtubule associated protein 6 [Source:HGNC Symbol;Acc:HGNC:6868]	365	0.21143485605716705	0.06069133	No	
row_5	NRP1	neuropilin 1 [Source:HGNC Symbol;Acc:HGNC:8004]	367	0.21076224744319916	0.07334141	No	
row_6	CD44	CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681]	432	0.198652446269989	0.0821262	No	
row_7	CASP3	caspase 3 [Source:HGNC Symbol;Acc:HGNC:1504]	550	0.17906534671783447	0.087092884	No	
row_8	RABGAP1L	RAB GTPase activating protein 1 like [Source:HGNC Symbol;Acc:HGNC:24663]	691	0.16248466074466705	0.08991573	No	
row_9	AMACR	alpha-methylacyl-CoA racemase [Source:HGNC Symbol;Acc:HGNC:451]	757	0.15438972413539886	0.09598363	No	
row_10	IKZF2	IKAROS family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:13177]	832	0.14787040650844574	0.10121076	No	
row_11	FAM126B	family with sequence similarity 126 member B [Source:HGNC Symbol;Acc:HGNC:28593]	942	0.13884037733078003	0.104151785	No	
row_12	SNX14	sorting nexin 14 [Source:HGNC Symbol;Acc:HGNC:14977]	1024	0.13368721306324005	0.10817588	No	
row_13	SH3BGRL2	SH3 domain binding glutamate rich protein like 2 [Source:HGNC Symbol;Acc:HGNC:15567]	1175	0.12320676445960999	0.10813426	No	
row_14	SYT11	synaptotagmin 11 [Source:HGNC Symbol;Acc:HGNC:19239]	1320	0.11495929211378098	0.1078943	No	
row_15	RORA	RAR related orphan receptor A [Source:HGNC Symbol;Acc:HGNC:10258]	1417	0.1099400520324707	0.10974091	No	
row_16	APLP1	amyloid beta precursor like protein 1 [Source:HGNC Symbol;Acc:HGNC:597]	1428	0.10940726101398468	0.115835726	No	
row_17	CAPN3	calpain 3 [Source:HGNC Symbol;Acc:HGNC:1480]	1446	0.10853172838687897	0.121529385	No	
row_18	ABCB1	ATP binding cassette subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:40]	1477	0.1067323088645935	0.12646759	No	
row_19	IGF1R	insulin like growth factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:5465]	1505	0.10554718226194382	0.1314837	No	
row_20	ETFBKMT	electron transfer flavoprotein subunit beta lysine methyltransferase [Source:HGNC Symbol;Acc:HGNC:28739]	1514	0.10517710447311401	0.13742316	No	
row_21	LRRC8C	leucine rich repeat containing 8 VRAC subunit C [Source:HGNC Symbol;Acc:HGNC:25075]	1639	0.09978413581848145	0.13726422	No	
row_22	BMPR2	bone morphogenetic protein receptor type 2 [Source:HGNC Symbol;Acc:HGNC:1078]	1923	0.08940011262893677	0.12856597	No	
row_23	BCL2	BCL2 apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:990]	1992	0.08657056838274002	0.13039799	No	
row_24	SERPINB6	serpin family B member 6 [Source:HGNC Symbol;Acc:HGNC:8950]	2063	0.08433865755796432	0.13199599	No	
row_25	IKZF4	IKAROS family zinc finger 4 [Source:HGNC Symbol;Acc:HGNC:13179]	2325	0.07684116065502167	0.12363595	No	
row_26	ADAM19	ADAM metallopeptidase domain 19 [Source:HGNC Symbol;Acc:HGNC:197]	3223	0.05453731492161751	0.08227755	No	
row_27	AGER	advanced glycosylation end-product specific receptor [Source:HGNC Symbol;Acc:HGNC:320]	3315	0.05274173244833946	0.08092643	No	
row_28	NDRG1	N-myc downstream regulated 1 [Source:HGNC Symbol;Acc:HGNC:7679]	3723	0.045102499425411224	0.06338734	No	
row_29	ITGA6	integrin subunit alpha 6 [Source:HGNC Symbol;Acc:HGNC:6142]	3830	0.04286639392375946	0.0606946	No	
row_30	MXD1	MAX dimerization protein 1 [Source:HGNC Symbol;Acc:HGNC:6761]	3929	0.04131802171468735	0.058306724	No	
row_31	CDKN1C	cyclin dependent kinase inhibitor 1C [Source:HGNC Symbol;Acc:HGNC:1786]	4492	0.03247172385454178	0.032292034	No	
row_32	NCS1	neuronal calcium sensor 1 [Source:HGNC Symbol;Acc:HGNC:3953]	4562	0.03132138028740883	0.030745154	No	
row_33	SNX9	sorting nexin 9 [Source:HGNC Symbol;Acc:HGNC:14973]	4710	0.029130036011338234	0.025184091	No	
row_34	BHLHE40	basic helix-loop-helix family member e40 [Source:HGNC Symbol;Acc:HGNC:1046]	4917	0.02631024457514286	0.016516624	No	
row_35	PTH1R	parathyroid hormone 1 receptor [Source:HGNC Symbol;Acc:HGNC:9608]	5039	0.02465350367128849	0.011979866	No	
row_36	ARL4A	ADP ribosylation factor like GTPase 4A [Source:HGNC Symbol;Acc:HGNC:695]	5170	0.022694246843457222	0.00687711	No	
row_37	IGF2R	insulin like growth factor 2 receptor [Source:HGNC Symbol;Acc:HGNC:5467]	5309	0.020682327449321747	0.0012549539	No	
row_38	EEF1AKMT1	EEF1A lysine methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:27351]	5366	0.019833434373140335	-3.3712707E-4	No	
row_39	CA2	carbonic anhydrase 2 [Source:HGNC Symbol;Acc:HGNC:1373]	5444	0.018815891817212105	-0.003035714	No	
row_40	GPR83	G protein-coupled receptor 83 [Source:HGNC Symbol;Acc:HGNC:4523]	5570	0.017218342050909996	-0.008219575	No	
row_41	MYO1C	myosin IC [Source:HGNC Symbol;Acc:HGNC:7597]	5619	0.01661808229982853	-0.009607234	No	
row_42	PHTF2	putative homeodomain transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:13411]	5741	0.015049926936626434	-0.014722671	No	
row_43	LRIG1	leucine rich repeats and immunoglobulin like domains 1 [Source:HGNC Symbol;Acc:HGNC:17360]	5789	0.014484066516160965	-0.016189149	No	
row_44	POU2F1	POU class 2 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9212]	5795	0.014413858763873577	-0.015569472	No	
row_45	NFIL3	nuclear factor, interleukin 3 regulated [Source:HGNC Symbol;Acc:HGNC:7787]	5923	0.012765026651322842	-0.021121217	No	
row_46	SLC2A3	solute carrier family 2 member 3 [Source:HGNC Symbol;Acc:HGNC:11007]	5940	0.01254155021160841	-0.021161841	No	
row_47	HIPK2	homeodomain interacting protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:14402]	6015	0.01155813317745924	-0.024148444	No	
row_48	LCLAT1	lysocardiolipin acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:26756]	6194	0.00918891653418541	-0.032453995	No	
row_49	PLEC	plectin [Source:HGNC Symbol;Acc:HGNC:9069]	6526	0.0048181298188865185	-0.04863789	No	
row_50	RRAGD	Ras related GTP binding D [Source:HGNC Symbol;Acc:HGNC:19903]	6539	0.004679299425333738	-0.048953183	No	
row_51	DENND5A	DENN domain containing 5A [Source:HGNC Symbol;Acc:HGNC:19344]	6660	0.003191992873325944	-0.054733373	No	
row_52	SMPDL3A	sphingomyelin phosphodiesterase acid like 3A [Source:HGNC Symbol;Acc:HGNC:17389]	7508	-0.005350613966584206	-0.09656704	No	
row_53	F2RL2	coagulation factor II thrombin receptor like 2 [Source:HGNC Symbol;Acc:HGNC:3539]	7633	-0.006435934919863939	-0.102350846	No	
row_54	DRC1	dynein regulatory complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:24245]	7703	-0.007075657602399588	-0.10535869	No	
row_55	IFNGR1	interferon gamma receptor 1 [Source:HGNC Symbol;Acc:HGNC:5439]	7846	-0.008441240526735783	-0.11191754	No	
row_56	IL1R2	interleukin 1 receptor type 2 [Source:HGNC Symbol;Acc:HGNC:5994]	7885	-0.008770342916250229	-0.11328037	No	
