NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DOP1A	DOP1 leucine zipper like protein A [Source:HGNC Symbol;Acc:HGNC:21194]	415	0.08572118729352951	0.014222014	Yes	
row_1	STX7	syntaxin 7 [Source:HGNC Symbol;Acc:HGNC:11442]	521	0.07871381938457489	0.04095192	Yes	
row_2	PAM	peptidylglycine alpha-amidating monooxygenase [Source:HGNC Symbol;Acc:HGNC:8596]	625	0.07434204965829849	0.0660075	Yes	
row_3	STX12	syntaxin 12 [Source:HGNC Symbol;Acc:HGNC:11430]	650	0.07345928251743317	0.09461687	Yes	
row_4	TOM1L1	target of myb1 like 1 membrane trafficking protein [Source:HGNC Symbol;Acc:HGNC:11983]	735	0.06950105726718903	0.1186496	Yes	
row_5	DST	dystonin [Source:HGNC Symbol;Acc:HGNC:1090]	814	0.06669637560844421	0.14184175	Yes	
row_6	KIF1B	kinesin family member 1B [Source:HGNC Symbol;Acc:HGNC:16636]	945	0.06252383440732956	0.16076647	Yes	
row_7	RAB2A	RAB2A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9763]	1018	0.06049966439604759	0.18174212	Yes	
row_8	BET1	Bet1 golgi vesicular membrane trafficking protein [Source:HGNC Symbol;Acc:HGNC:14562]	1023	0.06033800542354584	0.20601936	Yes	
row_9	VAMP4	vesicle associated membrane protein 4 [Source:HGNC Symbol;Acc:HGNC:12645]	1039	0.0600748136639595	0.22964513	Yes	
row_10	AP2B1	adaptor related protein complex 2 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:563]	1223	0.055827509611845016	0.24322918	Yes	
row_11	GALC	galactosylceramidase [Source:HGNC Symbol;Acc:HGNC:4115]	1241	0.05540388077497482	0.26486123	Yes	
row_12	ZW10	zw10 kinetochore protein [Source:HGNC Symbol;Acc:HGNC:13194]	1367	0.05309349298477173	0.28020823	Yes	
row_13	CLCN3	chloride voltage-gated channel 3 [Source:HGNC Symbol;Acc:HGNC:2021]	1552	0.04963633045554161	0.2912314	Yes	
row_14	SSPN	sarcospan [Source:HGNC Symbol;Acc:HGNC:11322]	1882	0.04473986476659775	0.29308835	Yes	
row_15	ATP1A1	ATPase Na+/K+ transporting subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:799]	2119	0.04161780700087547	0.298284	Yes	
row_16	SEC22B	SEC22 homolog B, vesicle trafficking protein (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:10700]	2142	0.041419122368097305	0.31399575	Yes	
row_17	SCAMP1	secretory carrier membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:10563]	2328	0.03918719291687012	0.3207308	Yes	
row_18	ARCN1	archain 1 [Source:HGNC Symbol;Acc:HGNC:649]	2508	0.037499573081731796	0.32707843	Yes	
row_19	VPS45	vacuolar protein sorting 45 homolog [Source:HGNC Symbol;Acc:HGNC:14579]	2760	0.034985125064849854	0.32884088	Yes	
row_20	MON2	MON2 homolog, regulator of endosome-to-Golgi trafficking [Source:HGNC Symbol;Acc:HGNC:29177]	2806	0.03454247862100601	0.3406243	Yes	
row_21	AP3S1	adaptor related protein complex 3 subunit sigma 1 [Source:HGNC Symbol;Acc:HGNC:2013]	2861	0.03397710993885994	0.35173273	Yes	
row_22	GBF1	golgi brefeldin A resistant guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:4181]	2894	0.033653222024440765	0.36379915	Yes	
row_23	MAPK1	mitogen-activated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:6871]	2999	0.03277697041630745	0.3719449	Yes	
row_24	SCRN1	secernin 1 [Source:HGNC Symbol;Acc:HGNC:22192]	3482	0.0290543083101511	0.3598631	Yes	
row_25	COG2	component of oligomeric golgi complex 2 [Source:HGNC Symbol;Acc:HGNC:6546]	3551	0.028526315465569496	0.36806726	Yes	
row_26	NAPG	NSF attachment protein gamma [Source:HGNC Symbol;Acc:HGNC:7642]	3600	0.028183653950691223	0.37712276	Yes	
row_27	STAM	signal transducing adaptor molecule [Source:HGNC Symbol;Acc:HGNC:11357]	3656	0.027808086946606636	0.38567927	Yes	
row_28	ADAM10	ADAM metallopeptidase domain 10 [Source:HGNC Symbol;Acc:HGNC:188]	3736	0.027228880673646927	0.39281246	Yes	
row_29	ARFGEF1	ADP ribosylation factor guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:15772]	3770	0.02691107615828514	0.4020945	Yes	
row_30	ATP6V1H	ATPase H+ transporting V1 subunit H [Source:HGNC Symbol;Acc:HGNC:18303]	3934	0.02575751207768917	0.4044714	Yes	
row_31	ARFGAP3	ADP ribosylation factor GTPase activating protein 3 [Source:HGNC Symbol;Acc:HGNC:661]	3968	0.025485718622803688	0.41317526	Yes	
row_32	VPS4B	vacuolar protein sorting 4 homolog B [Source:HGNC Symbol;Acc:HGNC:10895]	4150	0.02431294694542885	0.41407487	Yes	
