NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PVR	PVR cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:9705]	725	0.20814062654972076	-0.028643904	No	
row_1	LAMA1	laminin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:6481]	1046	0.17873968183994293	-0.038182233	No	
row_2	MCM7	minichromosome maintenance complex component 7 [Source:HGNC Symbol;Acc:HGNC:6950]	1307	0.1600418984889984	-0.045402654	No	
row_3	PCOLCE2	procollagen C-endopeptidase enhancer 2 [Source:HGNC Symbol;Acc:HGNC:8739]	1592	0.1431126445531845	-0.054422516	No	
row_4	PFN2	profilin 2 [Source:HGNC Symbol;Acc:HGNC:8882]	1640	0.1411709487438202	-0.05171662	No	
row_5	FGF2	fibroblast growth factor 2 [Source:HGNC Symbol;Acc:HGNC:3676]	1831	0.13131524622440338	-0.056479838	No	
row_6	TPM2	tropomyosin 2 [Source:HGNC Symbol;Acc:HGNC:12011]	2079	0.11979600787162781	-0.06449153	No	
row_7	SLIT3	slit guidance ligand 3 [Source:HGNC Symbol;Acc:HGNC:11087]	2209	0.1149137020111084	-0.06680501	No	
row_8	COL11A1	collagen type XI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2186]	2238	0.1138969361782074	-0.0641282	No	
row_9	PCOLCE	procollagen C-endopeptidase enhancer [Source:HGNC Symbol;Acc:HGNC:8738]	2360	0.10946985334157944	-0.066238075	No	
row_10	VCAN	versican [Source:HGNC Symbol;Acc:HGNC:2464]	2370	0.10923406481742859	-0.0627823	No	
row_11	SLC6A8	solute carrier family 6 member 8 [Source:HGNC Symbol;Acc:HGNC:11055]	2580	0.10243678838014603	-0.069523156	No	
row_12	IGFBP2	insulin like growth factor binding protein 2 [Source:HGNC Symbol;Acc:HGNC:5471]	2713	0.09857913851737976	-0.07256969	No	
row_13	CDH2	cadherin 2 [Source:HGNC Symbol;Acc:HGNC:1759]	2874	0.09362494945526123	-0.077186786	No	
row_14	FBLN1	fibulin 1 [Source:HGNC Symbol;Acc:HGNC:3600]	3087	0.08789750188589096	-0.08459654	No	
row_15	PTX3	pentraxin 3 [Source:HGNC Symbol;Acc:HGNC:9692]	3458	0.07800401747226715	-0.10022328	No	
row_16	DKK1	dickkopf WNT signaling pathway inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:2891]	3574	0.07547242939472198	-0.10324951	No	
row_17	FERMT2	fermitin family member 2 [Source:HGNC Symbol;Acc:HGNC:15767]	3651	0.07387573271989822	-0.10439183	No	
row_18	MMP1	matrix metallopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:7155]	3867	0.06936691701412201	-0.11261311	No	
row_19	PLOD2	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 [Source:HGNC Symbol;Acc:HGNC:9082]	3921	0.06833106279373169	-0.1128089	No	
row_20	TPM4	tropomyosin 4 [Source:HGNC Symbol;Acc:HGNC:12013]	4266	0.0606461726129055	-0.12776197	No	
row_21	GPX7	glutathione peroxidase 7 [Source:HGNC Symbol;Acc:HGNC:4559]	4648	0.053274013102054596	-0.14481996	No	
row_22	PDLIM4	PDZ and LIM domain 4 [Source:HGNC Symbol;Acc:HGNC:16501]	5590	0.03672925382852554	-0.1903396	No	
row_23	CADM1	cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5951]	5592	0.036713164299726486	-0.18907735	No	
row_24	BDNF	brain derived neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:1033]	6242	0.027227330952882767	-0.22040413	No	
row_25	MMP2	matrix metallopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:7166]	6485	0.024419082328677177	-0.23157546	No	
