NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BATF2	basic leucine zipper ATF-like transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:25163]	3559	0.08505561947822571	-0.16800475	No	
row_1	ISG15	ISG15 ubiquitin like modifier [Source:HGNC Symbol;Acc:HGNC:4053]	3612	0.08414199203252792	-0.16244103	No	
row_2	IRF7	interferon regulatory factor 7 [Source:HGNC Symbol;Acc:HGNC:6122]	4669	0.06800868362188339	-0.20815308	No	
row_3	OASL	2'-5'-oligoadenylate synthetase like [Source:HGNC Symbol;Acc:HGNC:8090]	5389	0.055326540023088455	-0.23840451	No	
row_4	HELZ2	helicase with zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:30021]	5609	0.05156293138861656	-0.24426137	No	
row_5	PROCR	protein C receptor [Source:HGNC Symbol;Acc:HGNC:9452]	6093	0.042965639382600784	-0.26402232	No	
row_6	LY6E	lymphocyte antigen 6 family member E [Source:HGNC Symbol;Acc:HGNC:6727]	6165	0.04151705279946327	-0.26352233	No	
row_7	ISG20	interferon stimulated exonuclease gene 20 [Source:HGNC Symbol;Acc:HGNC:6130]	7117	0.024240076541900635	-0.30826858	No	
row_8	DHX58	DExH-box helicase 58 [Source:HGNC Symbol;Acc:HGNC:29517]	7229	0.02225068397819996	-0.31161278	No	
row_9	IFITM3	interferon induced transmembrane protein 3 [Source:HGNC Symbol;Acc:HGNC:5414]	7268	0.021799931302666664	-0.31138587	No	
row_10	RTP4	receptor transporter protein 4 [Source:HGNC Symbol;Acc:HGNC:23992]	7329	0.020664744079113007	-0.31235808	No	
row_11	GMPR	guanosine monophosphate reductase [Source:HGNC Symbol;Acc:HGNC:4376]	7746	0.013526234775781631	-0.33164895	No	
row_12	IFI27	interferon alpha inducible protein 27 [Source:HGNC Symbol;Acc:HGNC:5397]	8241	0.004289107397198677	-0.35569558	No	
row_13	CXCL11	C-X-C motif chemokine ligand 11 [Source:HGNC Symbol;Acc:HGNC:10638]	8242	0.004275501240044832	-0.355282	No	
row_14	OGFR	opioid growth factor receptor [Source:HGNC Symbol;Acc:HGNC:15768]	8308	0.0030092408414930105	-0.35820958	No	
row_15	LGALS3BP	galectin 3 binding protein [Source:HGNC Symbol;Acc:HGNC:6564]	8639	-0.0032869831193238497	-0.37423232	No	
row_16	TENT5A	terminal nucleotidyltransferase 5A [Source:HGNC Symbol;Acc:HGNC:18345]	8796	-0.005790612194687128	-0.38139692	No	
row_17	MVB12A	multivesicular body subunit 12A [Source:HGNC Symbol;Acc:HGNC:25153]	9032	-0.010173230431973934	-0.39204946	No	
row_18	C1S	complement C1s [Source:HGNC Symbol;Acc:HGNC:1247]	9059	-0.01065967045724392	-0.39230585	No	
row_19	RNF31	ring finger protein 31 [Source:HGNC Symbol;Acc:HGNC:16031]	9396	-0.016246529296040535	-0.40737218	No	
row_20	UBA7	ubiquitin like modifier activating enzyme 7 [Source:HGNC Symbol;Acc:HGNC:12471]	9572	-0.019257009029388428	-0.41417506	No	
row_21	CSF1	colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]	9684	-0.021235238760709763	-0.4176175	No	
row_22	LAMP3	lysosomal associated membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:14582]	9744	-0.02208459936082363	-0.41840288	No	
row_23	CMPK2	cytidine/uridine monophosphate kinase 2 [Source:HGNC Symbol;Acc:HGNC:27015]	9885	-0.02466122806072235	-0.42294994	No	
row_24	IFI35	interferon induced protein 35 [Source:HGNC Symbol;Acc:HGNC:5399]	9887	-0.024676932021975517	-0.4206126	No	
row_25	PSME1	proteasome activator subunit 1 [Source:HGNC Symbol;Acc:HGNC:9568]	10036	-0.02704155072569847	-0.42532554	No	
row_26	BST2	bone marrow stromal cell antigen 2 [Source:HGNC Symbol;Acc:HGNC:1119]	10331	-0.03245991840958595	-0.43674394	No	
row_27	TMEM140	transmembrane protein 140 [Source:HGNC Symbol;Acc:HGNC:21870]	10403	-0.03371685743331909	-0.4369984	No	
row_28	CCRL2	C-C motif chemokine receptor like 2 [Source:HGNC Symbol;Acc:HGNC:1612]	10534	-0.03591107577085495	-0.43996215	No	
row_29	IL15	interleukin 15 [Source:HGNC Symbol;Acc:HGNC:5977]	10779	-0.040252286940813065	-0.44815096	No	
row_30	PARP9	poly(ADP-ribose) polymerase family member 9 [Source:HGNC Symbol;Acc:HGNC:24118]	10799	-0.0405929759144783	-0.44516543	No	
row_31	CNP	2',3'-cyclic nucleotide 3' phosphodiesterase [Source:HGNC Symbol;Acc:HGNC:2158]	10850	-0.04136478900909424	-0.4436403	No	
row_32	MOV10	Mov10 RISC complex RNA helicase [Source:HGNC Symbol;Acc:HGNC:7200]	11008	-0.04407326132059097	-0.4471515	No	
row_33	UBE2L6	ubiquitin conjugating enzyme E2 L6 [Source:HGNC Symbol;Acc:HGNC:12490]	11043	-0.04479800909757614	-0.44450203	No	
row_34	IRF1	interferon regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:6116]	11089	-0.04543685168027878	-0.44233543	No	
row_35	OAS1	2'-5'-oligoadenylate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:8086]	11275	-0.049020882695913315	-0.44675457	No	
row_36	TRIM25	tripartite motif containing 25 [Source:HGNC Symbol;Acc:HGNC:12932]	11287	-0.04914505407214165	-0.44254574	No	
row_37	MX1	MX dynamin like GTPase 1 [Source:HGNC Symbol;Acc:HGNC:7532]	11401	-0.05147498846054077	-0.44316226	No	
row_38	PSMB9	proteasome 20S subunit beta 9 [Source:HGNC Symbol;Acc:HGNC:9546]	11557	-0.054493896663188934	-0.44556653	No	
row_39	IFITM2	interferon induced transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:5413]	11799	-0.0591919869184494	-0.45177484	No	
row_40	TRIM14	tripartite motif containing 14 [Source:HGNC Symbol;Acc:HGNC:16283]	12106	-0.06452365964651108	-0.4606861	No	
row_41	IRF9	interferon regulatory factor 9 [Source:HGNC Symbol;Acc:HGNC:6131]	12184	-0.06609179824590683	-0.4581062	No	
row_42	IL4R	interleukin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6015]	12319	-0.06864907592535019	-0.45810142	No	
row_43	TRIM26	tripartite motif containing 26 [Source:HGNC Symbol;Acc:HGNC:12962]	12393	-0.06999848783016205	-0.4549456	No	
row_44	TRIM5	tripartite motif containing 5 [Source:HGNC Symbol;Acc:HGNC:16276]	12447	-0.07115232199430466	-0.45068783	No	
row_45	IFITM1	interferon induced transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:5412]	12779	-0.07771831750869751	-0.45956072	No	
row_46	PSMB8	proteasome 20S subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:9545]	12993	-0.08171874284744263	-0.46220368	Yes	
row_47	PARP12	poly(ADP-ribose) polymerase family member 12 [Source:HGNC Symbol;Acc:HGNC:21919]	13006	-0.08200544863939285	-0.45486593	Yes	
row_48	SLC25A28	solute carrier family 25 member 28 [Source:HGNC Symbol;Acc:HGNC:23472]	13032	-0.08260664343833923	-0.44811374	Yes	
row_49	CD74	CD74 molecule [Source:HGNC Symbol;Acc:HGNC:1697]	13205	-0.08576200157403946	-0.4483354	Yes	
row_50	RSAD2	radical S-adenosyl methionine domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30908]	13292	-0.08739495277404785	-0.4441406	Yes	
row_51	PSME2	proteasome activator subunit 2 [Source:HGNC Symbol;Acc:HGNC:9569]	13354	-0.08866516500711441	-0.43858504	Yes	
row_52	IFI30	IFI30 lysosomal thiol reductase [Source:HGNC Symbol;Acc:HGNC:5398]	13789	-0.09724649786949158	-0.45066938	Yes	
row_53	STAT2	signal transducer and activator of transcription 2 [Source:HGNC Symbol;Acc:HGNC:11363]	13797	-0.0973736047744751	-0.44159755	Yes	
row_54	IRF2	interferon regulatory factor 2 [Source:HGNC Symbol;Acc:HGNC:6117]	13806	-0.09752941131591797	-0.4325602	Yes	
row_55	USP18	ubiquitin specific peptidase 18 [Source:HGNC Symbol;Acc:HGNC:12616]	14249	-0.10676487535238266	-0.44412	Yes	
row_56	TXNIP	thioredoxin interacting protein [Source:HGNC Symbol;Acc:HGNC:16952]	14252	-0.10682474821805954	-0.43388644	Yes	
row_57	LPAR6	lysophosphatidic acid receptor 6 [Source:HGNC Symbol;Acc:HGNC:15520]	14267	-0.10710826516151428	-0.42421964	Yes	
row_58	CMTR1	cap methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:21077]	14478	-0.11169923096895218	-0.42381418	Yes	
row_59	LAP3	leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]	14518	-0.11259491741657257	-0.41485465	Yes	
row_60	CASP8	caspase 8 [Source:HGNC Symbol;Acc:HGNC:1509]	14673	-0.11545281112194061	-0.41131315	Yes	
