NAME	TITLE	SCORE	
MS4A3	membrane spanning 4-domains A3 [Source:HGNC Symbol;Acc:HGNC:7317]	0.43922758	
SPINK14	serine peptidase inhibitor Kazal type 14 (putative) [Source:HGNC Symbol;Acc:HGNC:33825]	0.39353114	
MIR148A	microRNA 148a [Source:HGNC Symbol;Acc:HGNC:31535]	0.38603425	
DEFB136	defensin beta 136 [Source:HGNC Symbol;Acc:HGNC:34433]	0.3625383	
GJA10	gap junction protein alpha 10 [Source:HGNC Symbol;Acc:HGNC:16995]	0.347526	
ZNF29P	zinc finger protein 29, pseudogene [Source:HGNC Symbol;Acc:HGNC:13080]	0.34484386	
ASB11	ankyrin repeat and SOCS box containing 11 [Source:HGNC Symbol;Acc:HGNC:17186]	0.34328538	
OR2T5	olfactory receptor family 2 subfamily T member 5 [Source:HGNC Symbol;Acc:HGNC:15017]	0.3345695	
OR56A5	olfactory receptor family 56 subfamily A member 5 [Source:HGNC Symbol;Acc:HGNC:14792]	0.32959363	
MIR106A	microRNA 106a [Source:HGNC Symbol;Acc:HGNC:31494]	0.30998594	
OR4A13P	olfactory receptor family 4 subfamily A member 13 pseudogene [Source:HGNC Symbol;Acc:HGNC:15150]	0.30550984	
OR14J1	olfactory receptor family 14 subfamily J member 1 [Source:HGNC Symbol;Acc:HGNC:13971]	0.30388746	
MIR29B1	microRNA 29b-1 [Source:HGNC Symbol;Acc:HGNC:31619]	0.30244264	
MIR567	microRNA 567 [Source:HGNC Symbol;Acc:HGNC:32823]	0.30164856	
OR1S2	olfactory receptor family 1 subfamily S member 2 [Source:HGNC Symbol;Acc:HGNC:15141]	0.30144998	
MIR429	microRNA 429 [Source:HGNC Symbol;Acc:HGNC:13784]	0.30105326	
ARHGEF38	Rho guanine nucleotide exchange factor 38 [Source:HGNC Symbol;Acc:HGNC:25968]	0.30091587	
MIR129-1	microRNA 129-1 [Source:HGNC Symbol;Acc:HGNC:31512]	0.29750603	
OR52E5	olfactory receptor family 52 subfamily E member 5 [Source:HGNC Symbol;Acc:HGNC:15214]	0.28817353	
KCNJ16	potassium inwardly rectifying channel subfamily J member 16 [Source:HGNC Symbol;Acc:HGNC:6262]	0.2869126	
C1orf141	chromosome 1 open reading frame 141 [Source:HGNC Symbol;Acc:HGNC:32044]	0.28106257	
HRNR	hornerin [Source:HGNC Symbol;Acc:HGNC:20846]	0.27977365	
BRWD1-AS2	BRWD1 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:16423]	0.27951133	
GUCA1C	guanylate cyclase activator 1C [Source:HGNC Symbol;Acc:HGNC:4680]	0.27740437	
OR10A7	olfactory receptor family 10 subfamily A member 7 [Source:HGNC Symbol;Acc:HGNC:15329]	0.27379552	
AL133464.1	novel transcript	0.27267915	
AC090155.2	novel transcript	0.270754	
MIR141	microRNA 141 [Source:HGNC Symbol;Acc:HGNC:31528]	0.27014485	
OR4C5	olfactory receptor family 4 subfamily C member 5 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:14702]	0.26926655	
LINC00307	long intergenic non-protein coding RNA 307 [Source:HGNC Symbol;Acc:HGNC:16727]	0.26845387	
TMED11P	transmembrane p24 trafficking protein 11, pseudogene [Source:HGNC Symbol;Acc:HGNC:35401]	0.26779604	
C9	complement C9 [Source:HGNC Symbol;Acc:HGNC:1358]	0.26744145	
FGL1	fibrinogen like 1 [Source:HGNC Symbol;Acc:HGNC:3695]	0.26710904	
RAB9BP1	RAB9B, member RAS oncogene family pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:9793]	0.26544088	
DEFB116	defensin beta 116 [Source:HGNC Symbol;Acc:HGNC:18097]	0.26500398	
UGT2B7	UDP glucuronosyltransferase family 2 member B7 [Source:HGNC Symbol;Acc:HGNC:12554]	0.2633886	
OR1K1	olfactory receptor family 1 subfamily K member 1 [Source:HGNC Symbol;Acc:HGNC:8212]	0.2632873	
MIR19B2	microRNA 19b-2 [Source:HGNC Symbol;Acc:HGNC:31576]	0.26258194	
OR51G2	olfactory receptor family 51 subfamily G member 2 [Source:HGNC Symbol;Acc:HGNC:15198]	0.2611336	
CRP	C-reactive protein [Source:HGNC Symbol;Acc:HGNC:2367]	0.2608352	
FLJ38576	uncharacterized LOC651430 [Source:NCBI gene (formerly Entrezgene);Acc:651430]	0.2602116	
KNG1	kininogen 1 [Source:HGNC Symbol;Acc:HGNC:6383]	0.25890344	
OR13C8	olfactory receptor family 13 subfamily C member 8 [Source:HGNC Symbol;Acc:HGNC:15103]	0.25771496	
OR5K3	olfactory receptor family 5 subfamily K member 3 [Source:HGNC Symbol;Acc:HGNC:31290]	0.25739178	
CPA2	carboxypeptidase A2 [Source:HGNC Symbol;Acc:HGNC:2297]	0.25721613	
C6	complement C6 [Source:HGNC Symbol;Acc:HGNC:1339]	0.2572032	
RNU5B-1	RNA, U5B small nuclear 1 [Source:HGNC Symbol;Acc:HGNC:10212]	0.25621	
HPD	4-hydroxyphenylpyruvate dioxygenase [Source:HGNC Symbol;Acc:HGNC:5147]	0.2561608	
KRTAP10-7	keratin associated protein 10-7 [Source:HGNC Symbol;Acc:HGNC:22970]	0.2560823	
VN1R5	vomeronasal 1 receptor 5 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:19870]	0.25579774	
REG1B	regenerating family member 1 beta [Source:HGNC Symbol;Acc:HGNC:9952]	0.25564745	
OR51V1	olfactory receptor family 51 subfamily V member 1 [Source:HGNC Symbol;Acc:HGNC:19597]	0.2547663	
MIR184	microRNA 184 [Source:HGNC Symbol;Acc:HGNC:31555]	0.2540857	
OR5A2	olfactory receptor family 5 subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:15249]	0.25404507	
TAS2R39	taste 2 receptor member 39 [Source:HGNC Symbol;Acc:HGNC:18886]	0.25365162	
OR4D1	olfactory receptor family 4 subfamily D member 1 [Source:HGNC Symbol;Acc:HGNC:8293]	0.25285995	
SPINK1	serine peptidase inhibitor Kazal type 1 [Source:HGNC Symbol;Acc:HGNC:11244]	0.25273916	
GAGE12F	G antigen 12F [Source:HGNC Symbol;Acc:HGNC:31906]	0.2524945	
ACTL7A	actin like 7A [Source:HGNC Symbol;Acc:HGNC:161]	0.25205466	
PRR32	proline rich 32 [Source:HGNC Symbol;Acc:HGNC:34498]	0.25126815	
OR4C6	olfactory receptor family 4 subfamily C member 6 [Source:HGNC Symbol;Acc:HGNC:14743]	0.2507684	
OR9G4	olfactory receptor family 9 subfamily G member 4 [Source:HGNC Symbol;Acc:HGNC:15322]	0.2505592	
