NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ABCA5	ATP binding cassette subfamily A member 5 [Source:HGNC Symbol;Acc:HGNC:35]	124	0.31248489022254944	0.03364536	No	
row_1	CROT	carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:HGNC:2366]	202	0.2585293650627136	0.06274944	No	
row_2	ABCG4	ATP binding cassette subfamily G member 4 [Source:HGNC Symbol;Acc:HGNC:13884]	339	0.21761928498744965	0.08372038	No	
row_3	ATXN1	ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]	407	0.20335090160369873	0.10629385	No	
row_4	PECR	peroxisomal trans-2-enoyl-CoA reductase [Source:HGNC Symbol;Acc:HGNC:18281]	637	0.16872134804725647	0.116429605	No	
row_5	ALDH8A1	aldehyde dehydrogenase 8 family member A1 [Source:HGNC Symbol;Acc:HGNC:15471]	680	0.1642102301120758	0.135258	No	
row_6	AMACR	alpha-methylacyl-CoA racemase [Source:HGNC Symbol;Acc:HGNC:451]	757	0.15438972413539886	0.15115097	No	
row_7	EPHX2	epoxide hydrolase 2 [Source:HGNC Symbol;Acc:HGNC:3402]	911	0.14138300716876984	0.16157189	No	
row_8	OPTN	optineurin [Source:HGNC Symbol;Acc:HGNC:17142]	916	0.14108391106128693	0.17933862	No	
row_9	PEX1	peroxisomal biogenesis factor 1 [Source:HGNC Symbol;Acc:HGNC:8850]	1506	0.10549067705869675	0.16358255	No	
row_10	EFHC1	EF-hand domain containing 1 [Source:HGNC Symbol;Acc:HGNC:16406]	1637	0.099842369556427	0.16985367	No	
row_11	PNPLA8	patatin like phospholipase domain containing 8 [Source:HGNC Symbol;Acc:HGNC:28900]	2007	0.08614081144332886	0.1625361	No	
row_12	SLC23A2	solute carrier family 23 member 2 [Source:HGNC Symbol;Acc:HGNC:10973]	2288	0.07799012959003448	0.1585912	No	
row_13	PEX13	peroxisomal biogenesis factor 13 [Source:HGNC Symbol;Acc:HGNC:8855]	2427	0.07406948506832123	0.16118406	No	
row_14	ABCA3	ATP binding cassette subfamily A member 3 [Source:HGNC Symbol;Acc:HGNC:33]	2492	0.0722820982336998	0.16721651	No	
row_15	ABCA9	ATP binding cassette subfamily A member 9 [Source:HGNC Symbol;Acc:HGNC:39]	2561	0.07012367248535156	0.1727759	No	
row_16	NUDT12	nudix hydrolase 12 [Source:HGNC Symbol;Acc:HGNC:18826]	2740	0.06500408053398132	0.17223215	No	
row_17	ABCA6	ATP binding cassette subfamily A member 6 [Source:HGNC Symbol;Acc:HGNC:36]	2841	0.06295936554670334	0.17529346	No	
row_18	GNMT	glycine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:4415]	3070	0.05789576843380928	0.17136677	No	
row_19	SLC29A1	solute carrier family 29 member 1 (Augustine blood group) [Source:HGNC Symbol;Acc:HGNC:11003]	3082	0.05751682072877884	0.17814556	No	
row_20	GNPAT	glyceronephosphate O-acyltransferase [Source:HGNC Symbol;Acc:HGNC:4416]	3523	0.04861285910010338	0.16253085	No	
row_21	RBP1	retinol binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9919]	3549	0.04809650033712387	0.16741632	No	
row_22	GSTK1	glutathione S-transferase kappa 1 [Source:HGNC Symbol;Acc:HGNC:16906]	3702	0.04538432136178017	0.16566277	No	
row_23	HACL1	2-hydroxyacyl-CoA lyase 1 [Source:HGNC Symbol;Acc:HGNC:17856]	3779	0.043789420276880264	0.16747242	No	
row_24	NEDD4	NEDD4 E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:7727]	3911	0.04155821353197098	0.16627234	No	
row_25	IDH1	isocitrate dehydrogenase (NADP(+)) 1 [Source:HGNC Symbol;Acc:HGNC:5382]	4035	0.039625197649002075	0.16522259	No	
row_26	HSD17B4	hydroxysteroid 17-beta dehydrogenase 4 [Source:HGNC Symbol;Acc:HGNC:5213]	4190	0.037170808762311935	0.16232406	No	
