NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD69	CD69 molecule [Source:HGNC Symbol;Acc:HGNC:1694]	12	0.8152106404304504	0.015916593	Yes	
row_1	NMI	N-myc and STAT interactor [Source:HGNC Symbol;Acc:HGNC:7854]	46	0.720503568649292	0.028869445	Yes	
row_2	TNFSF10	TNF superfamily member 10 [Source:HGNC Symbol;Acc:HGNC:11925]	54	0.6965904235839844	0.042631995	Yes	
row_3	TLR1	toll like receptor 1 [Source:HGNC Symbol;Acc:HGNC:11847]	91	0.653671145439148	0.05408169	Yes	
row_4	CXCL10	C-X-C motif chemokine ligand 10 [Source:HGNC Symbol;Acc:HGNC:10637]	101	0.6448570489883423	0.06669672	Yes	
row_5	TLR3	toll like receptor 3 [Source:HGNC Symbol;Acc:HGNC:11849]	110	0.6366909742355347	0.0791961	Yes	
row_6	HAS2	hyaluronan synthase 2 [Source:HGNC Symbol;Acc:HGNC:4819]	120	0.632376492023468	0.09155831	Yes	
row_7	GPR183	G protein-coupled receptor 183 [Source:HGNC Symbol;Acc:HGNC:3128]	125	0.6261820197105408	0.1040439	Yes	
row_8	IL7R	interleukin 7 receptor [Source:HGNC Symbol;Acc:HGNC:6024]	131	0.6195497512817383	0.116345376	Yes	
row_9	GPC3	glypican 3 [Source:HGNC Symbol;Acc:HGNC:4451]	135	0.6185919046401978	0.12872699	Yes	
row_10	OSMR	oncostatin M receptor [Source:HGNC Symbol;Acc:HGNC:8507]	137	0.6170980930328369	0.1411779	Yes	
row_11	AHR	aryl hydrocarbon receptor [Source:HGNC Symbol;Acc:HGNC:348]	179	0.5893831849098206	0.15107642	Yes	
row_12	TLR2	toll like receptor 2 [Source:HGNC Symbol;Acc:HGNC:11848]	185	0.5847089886665344	0.16267212	Yes	
row_13	C3AR1	complement C3a receptor 1 [Source:HGNC Symbol;Acc:HGNC:1319]	203	0.5767066478729248	0.17350842	Yes	
row_14	SELL	selectin L [Source:HGNC Symbol;Acc:HGNC:10720]	212	0.5714136362075806	0.18468547	Yes	
row_15	IL18	interleukin 18 [Source:HGNC Symbol;Acc:HGNC:5986]	217	0.5697541832923889	0.196028	Yes	
row_16	CCL2	C-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:10618]	223	0.5667612552642822	0.20726012	Yes	
row_17	RGS1	regulator of G protein signaling 1 [Source:HGNC Symbol;Acc:HGNC:9991]	225	0.5662471055984497	0.21868092	Yes	
row_18	F3	coagulation factor III, tissue factor [Source:HGNC Symbol;Acc:HGNC:3541]	226	0.5659180283546448	0.23014483	Yes	
row_19	MSR1	macrophage scavenger receptor 1 [Source:HGNC Symbol;Acc:HGNC:7376]	238	0.5616552233695984	0.24097487	Yes	
row_20	IL1R1	interleukin 1 receptor type 1 [Source:HGNC Symbol;Acc:HGNC:5993]	239	0.5614463090896606	0.25234818	Yes	
row_21	IFITM1	interferon induced transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:5412]	251	0.5568538904190063	0.26308098	Yes	
row_22	LYN	LYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6735]	311	0.5324130058288574	0.27092955	Yes	
row_23	CALCRL	calcitonin receptor like receptor [Source:HGNC Symbol;Acc:HGNC:16709]	316	0.5302838683128357	0.2814725	Yes	
row_24	CYBB	cytochrome b-245 beta chain [Source:HGNC Symbol;Acc:HGNC:2578]	358	0.5116788148880005	0.28979695	Yes	
row_25	CD48	CD48 molecule [Source:HGNC Symbol;Acc:HGNC:1683]	395	0.4956444203853607	0.2980455	Yes	
row_26	LCP2	lymphocyte cytosolic protein 2 [Source:HGNC Symbol;Acc:HGNC:6529]	403	0.4924062192440033	0.30767182	Yes	
row_27	EMP3	epithelial membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:3335]	448	0.4801657199859619	0.3152086	Yes	
row_28	FPR1	formyl peptide receptor 1 [Source:HGNC Symbol;Acc:HGNC:3826]	451	0.4791801869869232	0.3248159	Yes	
row_29	CXCL9	C-X-C motif chemokine ligand 9 [Source:HGNC Symbol;Acc:HGNC:7098]	462	0.47413161396980286	0.33392274	Yes	
row_30	CXCL11	C-X-C motif chemokine ligand 11 [Source:HGNC Symbol;Acc:HGNC:10638]	467	0.47331559658050537	0.3433117	Yes	
row_31	SGMS2	sphingomyelin synthase 2 [Source:HGNC Symbol;Acc:HGNC:28395]	473	0.46963512897491455	0.35257632	Yes	
row_32	IL1B	interleukin 1 beta [Source:HGNC Symbol;Acc:HGNC:5992]	483	0.46751105785369873	0.36159882	Yes	
row_33	IL10RA	interleukin 10 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5964]	487	0.46667739748954773	0.37090304	Yes	
row_34	IL4R	interleukin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6015]	539	0.4540855884552002	0.37756312	Yes	
row_35	BST2	bone marrow stromal cell antigen 2 [Source:HGNC Symbol;Acc:HGNC:1119]	544	0.4521722197532654	0.38652375	Yes	
