NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NPY5R	neuropeptide Y receptor Y5 [Source:HGNC Symbol;Acc:HGNC:7958]	1138	0.3221566379070282	-0.035692364	No	
row_1	SPATA6	spermatogenesis associated 6 [Source:HGNC Symbol;Acc:HGNC:18309]	1509	0.27565833926200867	-0.03627936	No	
row_2	ART3	ADP-ribosyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:725]	1569	0.2688893675804138	-0.021873059	No	
row_3	IL12RB2	interleukin 12 receptor subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:5972]	1627	0.2600100040435791	-0.007939923	No	
row_4	ARL4A	ADP ribosylation factor like GTPase 4A [Source:HGNC Symbol;Acc:HGNC:695]	2132	0.21354307234287262	-0.019179212	No	
row_5	ADCYAP1	adenylate cyclase activating polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:241]	2143	0.21291452646255493	-0.0059501897	No	
row_6	IDE	insulin degrading enzyme [Source:HGNC Symbol;Acc:HGNC:5381]	2221	0.20692868530750275	0.0035688942	No	
row_7	SLC2A5	solute carrier family 2 member 5 [Source:HGNC Symbol;Acc:HGNC:11010]	2438	0.19020363688468933	0.0051136184	No	
row_8	SHE	Src homology 2 domain containing E [Source:HGNC Symbol;Acc:HGNC:27004]	3255	0.1405605673789978	-0.02630962	No	
row_9	NEFH	neurofilament heavy [Source:HGNC Symbol;Acc:HGNC:7737]	3265	0.14016489684581757	-0.017720658	No	
row_10	GPR182	G protein-coupled receptor 182 [Source:HGNC Symbol;Acc:HGNC:13708]	3325	0.137360617518425	-0.011793122	No	
row_11	HSPA2	heat shock protein family A (Hsp70) member 2 [Source:HGNC Symbol;Acc:HGNC:5235]	3469	0.1307661384344101	-0.010458179	No	
row_12	STAM2	signal transducing adaptor molecule 2 [Source:HGNC Symbol;Acc:HGNC:11358]	3577	0.12489884346723557	-0.007715392	No	
