NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC30A10	solute carrier family 30 member 10 [Source:HGNC Symbol;Acc:HGNC:25355]	1064	0.14467062056064606	-0.04216924	No	
row_1	H4C3	H4 clustered histone 3 [Source:HGNC Symbol;Acc:HGNC:4787]	1230	0.13618040084838867	-0.040233582	No	
row_2	RCL1	RNA terminal phosphate cyclase like 1 [Source:HGNC Symbol;Acc:HGNC:17687]	1237	0.13563483953475952	-0.030426156	No	
row_3	HMBS	hydroxymethylbilane synthase [Source:HGNC Symbol;Acc:HGNC:4982]	1246	0.13539107143878937	-0.02073642	No	
row_4	GMPS	guanine monophosphate synthase [Source:HGNC Symbol;Acc:HGNC:4378]	1487	0.12326770275831223	-0.023495145	No	
row_5	TFDP2	transcription factor Dp-2 [Source:HGNC Symbol;Acc:HGNC:11751]	1590	0.11894023418426514	-0.019708924	No	
row_6	NNT	nicotinamide nucleotide transhydrogenase [Source:HGNC Symbol;Acc:HGNC:7863]	1973	0.1040736511349678	-0.030964212	No	
row_7	ASNS	asparagine synthetase (glutamine-hydrolyzing) [Source:HGNC Symbol;Acc:HGNC:753]	1999	0.10279206931591034	-0.024549376	No	
row_8	HBB	hemoglobin subunit beta [Source:HGNC Symbol;Acc:HGNC:4827]	2304	0.09370237588882446	-0.032695852	No	
row_9	SLC7A11	solute carrier family 7 member 11 [Source:HGNC Symbol;Acc:HGNC:11059]	2496	0.0880601555109024	-0.035639435	No	
row_10	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group) [Source:HGNC Symbol;Acc:HGNC:47]	2507	0.08764058351516724	-0.029607067	No	
row_11	MXI1	MAX interactor 1, dimerization protein [Source:HGNC Symbol;Acc:HGNC:7534]	2563	0.085839182138443	-0.02594828	No	
row_12	ARHGEF12	Rho guanine nucleotide exchange factor 12 [Source:HGNC Symbol;Acc:HGNC:14193]	2568	0.08577573299407959	-0.019756276	No	
row_13	MINPP1	multiple inositol-polyphosphate phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:7102]	2608	0.08472228795289993	-0.0153844915	No	
row_14	SLC6A8	solute carrier family 6 member 8 [Source:HGNC Symbol;Acc:HGNC:11055]	2968	0.07597915828227997	-0.027588505	No	
row_15	HDGF	heparin binding growth factor [Source:HGNC Symbol;Acc:HGNC:4856]	3163	0.07183332741260529	-0.031890422	No	
row_16	CIR1	corepressor interacting with RBPJ, CIR1 [Source:HGNC Symbol;Acc:HGNC:24217]	3380	0.06718994677066803	-0.037633114	No	
row_17	EIF2AK1	eukaryotic translation initiation factor 2 alpha kinase 1 [Source:HGNC Symbol;Acc:HGNC:24921]	3458	0.06558255851268768	-0.036578428	No	
row_18	ALAS2	5'-aminolevulinate synthase 2 [Source:HGNC Symbol;Acc:HGNC:397]	3948	0.056985631585121155	-0.0566669	No	
row_19	GCLC	glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]	4079	0.054862990975379944	-0.05904839	No	
row_20	SLC25A38	solute carrier family 25 member 38 [Source:HGNC Symbol;Acc:HGNC:26054]	4354	0.050441235303878784	-0.0689253	No	
row_21	CLCN3	chloride voltage-gated channel 3 [Source:HGNC Symbol;Acc:HGNC:2021]	4360	0.05037348344922066	-0.06542084	No	
row_22	PRDX2	peroxiredoxin 2 [Source:HGNC Symbol;Acc:HGNC:9353]	4472	0.04874829575419426	-0.06731242	No	
row_23	MBOAT2	membrane bound O-acyltransferase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25193]	4549	0.047720957547426224	-0.06753882	No	
row_24	H1-0	H1.0 linker histone [Source:HGNC Symbol;Acc:HGNC:4714]	4560	0.04754648730158806	-0.06449382	No	
row_25	FBXO34	F-box protein 34 [Source:HGNC Symbol;Acc:HGNC:20201]	4590	0.04709545522928238	-0.06242793	No	
row_26	TCEA1	transcription elongation factor A1 [Source:HGNC Symbol;Acc:HGNC:11612]	4674	0.045866288244724274	-0.06314086	No	
row_27	ADD2	adducin 2 [Source:HGNC Symbol;Acc:HGNC:244]	4786	0.04443745315074921	-0.06535364	No	
row_28	UBAC1	UBA domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30221]	4984	0.041276682168245316	-0.07208159	No	
row_29	PICALM	phosphatidylinositol binding clathrin assembly protein [Source:HGNC Symbol;Acc:HGNC:15514]	5127	0.038994524627923965	-0.07624258	No	
row_30	TSPAN5	tetraspanin 5 [Source:HGNC Symbol;Acc:HGNC:17753]	5143	0.038766518235206604	-0.074100584	No	
row_31	DCUN1D1	defective in cullin neddylation 1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18184]	5259	0.03732238709926605	-0.07704255	No	
row_32	MARK3	microtubule affinity regulating kinase 3 [Source:HGNC Symbol;Acc:HGNC:6897]	5429	0.0349942184984684	-0.08284522	No	
row_33	SLC25A37	solute carrier family 25 member 37 [Source:HGNC Symbol;Acc:HGNC:29786]	5504	0.03409815952181816	-0.08398711	No	
row_34	DCAF10	DDB1 and CUL4 associated factor 10 [Source:HGNC Symbol;Acc:HGNC:23686]	5511	0.03401483967900276	-0.08175129	No	
row_35	FN3K	fructosamine 3 kinase [Source:HGNC Symbol;Acc:HGNC:24822]	5822	0.0298883318901062	-0.09495106	No	
row_36	MOSPD1	motile sperm domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25235]	5879	0.029157545417547226	-0.09556533	No	
row_37	XPO7	exportin 7 [Source:HGNC Symbol;Acc:HGNC:14108]	5938	0.02835027687251568	-0.09633926	No	
row_38	TOP1	DNA topoisomerase I [Source:HGNC Symbol;Acc:HGNC:11986]	5986	0.027704430744051933	-0.09661393	No	
row_39	RAD23A	RAD23 homolog A, nucleotide excision repair protein [Source:HGNC Symbol;Acc:HGNC:9812]	5997	0.027596574276685715	-0.09505537	No	
row_40	AGPAT4	1-acylglycerol-3-phosphate O-acyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:20885]	6070	0.02664848044514656	-0.096652806	No	
row_41	RNF123	ring finger protein 123 [Source:HGNC Symbol;Acc:HGNC:21148]	6083	0.026473606005311012	-0.09527745	No	
row_42	DAAM1	dishevelled associated activator of morphogenesis 1 [Source:HGNC Symbol;Acc:HGNC:18142]	6173	0.02538798376917839	-0.097814776	No	
row_43	PGLS	6-phosphogluconolactonase [Source:HGNC Symbol;Acc:HGNC:8903]	6650	0.020307373255491257	-0.11998918	No	
row_44	GYPB	glycophorin B (MNS blood group) [Source:HGNC Symbol;Acc:HGNC:4703]	6715	0.019574083387851715	-0.12171561	No	
row_45	SMOX	spermine oxidase [Source:HGNC Symbol;Acc:HGNC:15862]	6736	0.019335567951202393	-0.12127021	No	
row_46	TNRC6B	trinucleotide repeat containing adaptor 6B [Source:HGNC Symbol;Acc:HGNC:29190]	6959	0.016887927427887917	-0.13105944	No	
row_47	FOXO3	forkhead box O3 [Source:HGNC Symbol;Acc:HGNC:3821]	7226	0.014218303374946117	-0.14323716	No	
row_48	SLC11A2	solute carrier family 11 member 2 [Source:HGNC Symbol;Acc:HGNC:10908]	7237	0.014087271876633167	-0.14268517	No	
row_49	TYR	tyrosinase [Source:HGNC Symbol;Acc:HGNC:12442]	7482	0.011755253188312054	-0.15395163	No	
row_50	MARCHF2	membrane associated ring-CH-type finger 2 [Source:HGNC Symbol;Acc:HGNC:28038]	7534	0.011362751014530659	-0.15564294	No	
row_51	BSG	basigin (Ok blood group) [Source:HGNC Symbol;Acc:HGNC:1116]	7596	0.010817456059157848	-0.15787253	No	
row_52	HTRA2	HtrA serine peptidase 2 [Source:HGNC Symbol;Acc:HGNC:14348]	7807	0.008713863790035248	-0.16767363	No	
row_53	UROS	uroporphyrinogen III synthase [Source:HGNC Symbol;Acc:HGNC:12592]	7870	0.008127601817250252	-0.1701534	No	
row_54	SPTB	spectrin beta, erythrocytic [Source:HGNC Symbol;Acc:HGNC:11274]	8007	0.0070356386713683605	-0.17639703	No	
row_55	TRIM58	tripartite motif containing 58 [Source:HGNC Symbol;Acc:HGNC:24150]	8098	0.0060022505931556225	-0.18042853	No	
row_56	GYPE	glycophorin E (MNS blood group) [Source:HGNC Symbol;Acc:HGNC:4705]	8124	0.0057531073689460754	-0.18124397	No	
row_57	RBM5	RNA binding motif protein 5 [Source:HGNC Symbol;Acc:HGNC:9902]	8174	0.005251128226518631	-0.18329112	No	
row_58	PC	pyruvate carboxylase [Source:HGNC Symbol;Acc:HGNC:8636]	8313	0.004049203358590603	-0.1898568	No	
row_59	IGSF3	immunoglobulin superfamily member 3 [Source:HGNC Symbol;Acc:HGNC:5950]	8422	0.0032030753791332245	-0.19499262	No	
row_60	E2F2	E2F transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3114]	8735	0.0010048899566754699	-0.21044399	No	
row_61	CA1	carbonic anhydrase 1 [Source:HGNC Symbol;Acc:HGNC:1368]	8770	6.8049127003178E-4	-0.21208526	No	
row_62	MARCHF8	membrane associated ring-CH-type finger 8 [Source:HGNC Symbol;Acc:HGNC:23356]	8813	3.58531775418669E-4	-0.21414861	No	
row_63	GAPVD1	GTPase activating protein and VPS9 domains 1 [Source:HGNC Symbol;Acc:HGNC:23375]	9048	-0.0015588296810165048	-0.22567715	No	
row_64	FECH	ferrochelatase [Source:HGNC Symbol;Acc:HGNC:3647]	9155	-0.002347617642953992	-0.23077717	No	
row_65	NARF	nuclear prelamin A recognition factor [Source:HGNC Symbol;Acc:HGNC:29916]	9355	-0.003697434440255165	-0.24040465	No	
row_66	ALDH6A1	aldehyde dehydrogenase 6 family member A1 [Source:HGNC Symbol;Acc:HGNC:7179]	9438	-0.004206190817058086	-0.24417187	No	
row_67	CPOX	coproporphyrinogen oxidase [Source:HGNC Symbol;Acc:HGNC:2321]	9453	-0.00431768037378788	-0.24454685	No	
row_68	EPB41	erythrocyte membrane protein band 4.1 [Source:HGNC Symbol;Acc:HGNC:3377]	9640	-0.005696252454072237	-0.25337845	No	
row_69	NFE2	nuclear factor, erythroid 2 [Source:HGNC Symbol;Acc:HGNC:7780]	9650	-0.00575216393917799	-0.25339776	No	
row_70	SLC6A9	solute carrier family 6 member 9 [Source:HGNC Symbol;Acc:HGNC:11056]	9652	-0.0057594082318246365	-0.25301838	No	
row_71	TSPO2	translocator protein 2 [Source:HGNC Symbol;Acc:HGNC:21256]	9765	-0.006490234285593033	-0.25810832	No	
row_72	PIGQ	phosphatidylinositol glycan anchor biosynthesis class Q [Source:HGNC Symbol;Acc:HGNC:14135]	9809	-0.006683995947241783	-0.25975016	No	
row_73	ISCA1	iron-sulfur cluster assembly 1 [Source:HGNC Symbol;Acc:HGNC:28660]	9816	-0.00678015174344182	-0.25954354	No	
row_74	HEBP1	heme binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17176]	9908	-0.007466384209692478	-0.2635157	No	
row_75	GLRX5	glutaredoxin 5 [Source:HGNC Symbol;Acc:HGNC:20134]	10041	-0.0083376569673419	-0.2694633	No	
row_76	TFRC	transferrin receptor [Source:HGNC Symbol;Acc:HGNC:11763]	10094	-0.00863308273255825	-0.27140775	No	
row_77	GYPA	glycophorin A (MNS blood group) [Source:HGNC Symbol;Acc:HGNC:4702]	10218	-0.009398826397955418	-0.27682838	No	
row_78	CDC27	cell division cycle 27 [Source:HGNC Symbol;Acc:HGNC:1728]	10539	-0.011449418030679226	-0.29189965	No	
row_79	MFHAS1	malignant fibrous histiocytoma amplified sequence 1 [Source:HGNC Symbol;Acc:HGNC:16982]	10724	-0.012516742572188377	-0.30012357	No	
row_80	BTRC	beta-transducin repeat containing E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:1144]	10981	-0.01417646836489439	-0.31180677	No	
row_81	VEZF1	vascular endothelial zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:12949]	11233	-0.015956392511725426	-0.32310855	No	
row_82	KLF1	Kruppel like factor 1 [Source:HGNC Symbol;Acc:HGNC:6345]	11298	-0.016416098922491074	-0.32507026	No	
row_83	ALDH1L1	aldehyde dehydrogenase 1 family member L1 [Source:HGNC Symbol;Acc:HGNC:3978]	11453	-0.01745973341166973	-0.33143297	No	
row_84	BACH1	BTB domain and CNC homolog 1 [Source:HGNC Symbol;Acc:HGNC:935]	11477	-0.01760396920144558	-0.33126587	No	
row_85	CDR2	cerebellar degeneration related protein 2 [Source:HGNC Symbol;Acc:HGNC:1799]	11660	-0.018732339143753052	-0.33892712	No	
row_86	BLVRA	biliverdin reductase A [Source:HGNC Symbol;Acc:HGNC:1062]	11735	-0.01922779716551304	-0.341177	No	
row_87	SLC66A2	solute carrier family 66 member 2 [Source:HGNC Symbol;Acc:HGNC:26188]	11745	-0.019267776980996132	-0.34018925	No	
row_88	GDE1	glycerophosphodiester phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:29644]	11845	-0.019852066412568092	-0.3436367	No	
row_89	PDZK1IP1	PDZK1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:16887]	11887	-0.02012510597705841	-0.34417748	No	
row_90	PPOX	protoporphyrinogen oxidase [Source:HGNC Symbol;Acc:HGNC:9280]	11912	-0.020278962329030037	-0.34386086	No	
row_91	TMCC2	transmembrane and coiled-coil domain family 2 [Source:HGNC Symbol;Acc:HGNC:24239]	11922	-0.020309822633862495	-0.34279546	No	
row_92	KLF3	Kruppel like factor 3 [Source:HGNC Symbol;Acc:HGNC:16516]	12102	-0.021563485264778137	-0.3500965	No	
