NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ME1	malic enzyme 1 [Source:HGNC Symbol;Acc:HGNC:6983]	672	0.07227733731269836	-0.017545046	No	
row_1	BCAT1	branched chain amino acid transaminase 1 [Source:HGNC Symbol;Acc:HGNC:976]	954	0.06226477026939392	-0.017831648	No	
row_2	SC5D	sterol-C5-desaturase [Source:HGNC Symbol;Acc:HGNC:10547]	1076	0.05923714488744736	-0.0108206365	No	
row_3	IFRD1	interferon related developmental regulator 1 [Source:HGNC Symbol;Acc:HGNC:5456]	1229	0.05572066828608513	-0.0061263144	No	
row_4	CD9	CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709]	1609	0.0486728809773922	-0.014281268	No	
row_5	RAB1A	RAB1A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9758]	1763	0.04655136913061142	-0.011654188	No	
row_6	IDH1	isocitrate dehydrogenase (NADP(+)) 1 [Source:HGNC Symbol;Acc:HGNC:5382]	2081	0.0420302115380764	-0.01818473	No	
row_7	RIT1	Ras like without CAAX 1 [Source:HGNC Symbol;Acc:HGNC:10023]	2174	0.04112345725297928	-0.0137157375	No	
row_8	NFIL3	nuclear factor, interleukin 3 regulated [Source:HGNC Symbol;Acc:HGNC:7787]	2306	0.03947378322482109	-0.011550879	No	
row_9	ACACA	acetyl-CoA carboxylase alpha [Source:HGNC Symbol;Acc:HGNC:84]	2315	0.03935821354389191	-0.0032893063	No	
row_10	GSK3B	glycogen synthase kinase 3 beta [Source:HGNC Symbol;Acc:HGNC:4617]	2393	0.038528911769390106	0.0013554274	No	
row_11	EGLN3	egl-9 family hypoxia inducible factor 3 [Source:HGNC Symbol;Acc:HGNC:14661]	2401	0.03845318406820297	0.0094676465	No	
row_12	MLLT11	MLLT11 transcription factor 7 cofactor [Source:HGNC Symbol;Acc:HGNC:16997]	2493	0.03763093426823616	0.0132179735	No	
row_13	RPA1	replication protein A1 [Source:HGNC Symbol;Acc:HGNC:10289]	2519	0.03739624097943306	0.020201715	No	
row_14	SRD5A1	steroid 5 alpha-reductase 1 [Source:HGNC Symbol;Acc:HGNC:11284]	2972	0.03299517184495926	0.0049638175	No	
row_15	SYTL2	synaptotagmin like 2 [Source:HGNC Symbol;Acc:HGNC:15585]	3022	0.03259407728910446	0.009696403	No	
row_16	SLC7A11	solute carrier family 7 member 11 [Source:HGNC Symbol;Acc:HGNC:11059]	3065	0.03226519748568535	0.0147050405	No	
row_17	CYP51A1	cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649]	3184	0.031393177807331085	0.015739024	No	
row_18	PSMC2	proteasome 26S subunit, ATPase 2 [Source:HGNC Symbol;Acc:HGNC:9548]	3210	0.031184757128357887	0.021356089	No	
row_19	NFYC	nuclear transcription factor Y subunit gamma [Source:HGNC Symbol;Acc:HGNC:7806]	3418	0.029582077637314796	0.017561743	No	
row_20	ACSL3	acyl-CoA synthetase long chain family member 3 [Source:HGNC Symbol;Acc:HGNC:3570]	3733	0.027257787063717842	0.0079302285	No	
row_21	GOT1	glutamic-oxaloacetic transaminase 1 [Source:HGNC Symbol;Acc:HGNC:4432]	3914	0.025899171829223633	0.004669439	No	
row_22	QDPR	quinoid dihydropteridine reductase [Source:HGNC Symbol;Acc:HGNC:9752]	3954	0.025573071092367172	0.008354967	No	
row_23	CCNG1	cyclin G1 [Source:HGNC Symbol;Acc:HGNC:1592]	3964	0.025523919612169266	0.013522888	No	
row_24	PFKL	phosphofructokinase, liver type [Source:HGNC Symbol;Acc:HGNC:8876]	3967	0.025495605543255806	0.019032992	No	
row_25	PSPH	phosphoserine phosphatase [Source:HGNC Symbol;Acc:HGNC:9577]	4103	0.024645691737532616	0.017736215	No	
row_26	SLC1A4	solute carrier family 1 member 4 [Source:HGNC Symbol;Acc:HGNC:10942]	4311	0.023392463102936745	0.012580004	No	
row_27	NUP205	nucleoporin 205 [Source:HGNC Symbol;Acc:HGNC:18658]	4476	0.022335190325975418	0.009331428	No	
row_28	ACTR3	actin related protein 3 [Source:HGNC Symbol;Acc:HGNC:170]	4634	0.021349914371967316	0.0062144836	No	
row_29	ACTR2	actin related protein 2 [Source:HGNC Symbol;Acc:HGNC:169]	4736	0.02078649401664734	0.0057608895	No	
row_30	IMMT	inner membrane mitochondrial protein [Source:HGNC Symbol;Acc:HGNC:6047]	5094	0.01870635151863098	-0.007892409	No	
row_31	CANX	calnexin [Source:HGNC Symbol;Acc:HGNC:1473]	5248	0.01783602498471737	-0.011583402	No	
row_32	EPRS1	glutamyl-prolyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:3418]	5393	0.017028851434588432	-0.0150040295	No	
row_33	ADD3	adducin 3 [Source:HGNC Symbol;Acc:HGNC:245]	5470	0.01661977544426918	-0.015130064	No	
row_34	HMGCR	3-hydroxy-3-methylglutaryl-CoA reductase [Source:HGNC Symbol;Acc:HGNC:5006]	5540	0.016268499195575714	-0.014984974	No	
