NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PREP	prolyl endopeptidase [Source:HGNC Symbol;Acc:HGNC:9358]	654	0.1786995828151703	-0.021997068	No	
row_1	PLG	plasminogen [Source:HGNC Symbol;Acc:HGNC:9071]	1804	0.11059479415416718	-0.072538815	No	
row_2	LTA4H	leukotriene A4 hydrolase [Source:HGNC Symbol;Acc:HGNC:6710]	2135	0.09862098842859268	-0.08314388	No	
row_3	DCT	dopachrome tautomerase [Source:HGNC Symbol;Acc:HGNC:2709]	4447	0.04901893809437752	-0.19494358	No	
row_4	FGA	fibrinogen alpha chain [Source:HGNC Symbol;Acc:HGNC:3661]	4740	0.04506611451506615	-0.20679587	No	
row_5	ARF4	ADP ribosylation factor 4 [Source:HGNC Symbol;Acc:HGNC:655]	5022	0.04067543148994446	-0.21835919	No	
row_6	CPB2	carboxypeptidase B2 [Source:HGNC Symbol;Acc:HGNC:2300]	5236	0.03751431405544281	-0.2267334	No	
row_7	F13B	coagulation factor XIII B chain [Source:HGNC Symbol;Acc:HGNC:3534]	5571	0.03322998061776161	-0.241362	No	
row_8	MSRB2	methionine sulfoxide reductase B2 [Source:HGNC Symbol;Acc:HGNC:17061]	5679	0.031834207475185394	-0.24480897	No	
row_9	MST1	macrophage stimulating 1 [Source:HGNC Symbol;Acc:HGNC:7380]	6159	0.025529462844133377	-0.2670826	No	
row_10	FYN	FYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4037]	6568	0.02111075446009636	-0.28609186	No	
row_11	HRG	histidine rich glycoprotein [Source:HGNC Symbol;Acc:HGNC:5181]	6666	0.020127534866333008	-0.28972745	No	
row_12	KLK8	kallikrein related peptidase 8 [Source:HGNC Symbol;Acc:HGNC:6369]	7208	0.014373758807778358	-0.31572995	No	
row_13	F9	coagulation factor IX [Source:HGNC Symbol;Acc:HGNC:3551]	7547	0.01127349492162466	-0.33184135	No	
row_14	C8B	complement C8 beta chain [Source:HGNC Symbol;Acc:HGNC:1353]	8553	0.0022801277227699757	-0.381574	No	
row_15	F2	coagulation factor II, thrombin [Source:HGNC Symbol;Acc:HGNC:3535]	9136	-0.002253748942166567	-0.41031983	No	
row_16	USP11	ubiquitin specific peptidase 11 [Source:HGNC Symbol;Acc:HGNC:12609]	9335	-0.003563870908692479	-0.4199357	No	
row_17	SERPINC1	serpin family C member 1 [Source:HGNC Symbol;Acc:HGNC:775]	9421	-0.004135069902986288	-0.42391136	No	
row_18	GP9	glycoprotein IX platelet [Source:HGNC Symbol;Acc:HGNC:4444]	9511	-0.004655425436794758	-0.42805502	No	
row_19	PROZ	protein Z, vitamin K dependent plasma glycoprotein [Source:HGNC Symbol;Acc:HGNC:9460]	9808	-0.006682231090962887	-0.44235107	No	
row_20	FGG	fibrinogen gamma chain [Source:HGNC Symbol;Acc:HGNC:3694]	9834	-0.006847437471151352	-0.44319096	No	
row_21	MMP2	matrix metallopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:7166]	10069	-0.008484364487230778	-0.45430526	No	
row_22	F12	coagulation factor XII [Source:HGNC Symbol;Acc:HGNC:3530]	10079	-0.008538631722331047	-0.45425236	No	
row_23	APOA1	apolipoprotein A1 [Source:HGNC Symbol;Acc:HGNC:600]	10251	-0.009621339850127697	-0.46217424	No	
row_24	MBL2	mannose binding lectin 2 [Source:HGNC Symbol;Acc:HGNC:6922]	10276	-0.009826171211898327	-0.46279028	No	
row_25	KLF7	Kruppel like factor 7 [Source:HGNC Symbol;Acc:HGNC:6350]	10905	-0.013773017562925816	-0.4931447	No	
row_26	TMPRSS6	transmembrane serine protease 6 [Source:HGNC Symbol;Acc:HGNC:16517]	11038	-0.014652224257588387	-0.49883717	No	
row_27	SH2B2	SH2B adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:17381]	11210	-0.0157682653516531	-0.50639945	No	
row_28	CAPN2	calpain 2 [Source:HGNC Symbol;Acc:HGNC:1479]	11244	-0.016021830961108208	-0.5070997	No	
row_29	APOC3	apolipoprotein C3 [Source:HGNC Symbol;Acc:HGNC:610]	11247	-0.016028432175517082	-0.5062613	No	
row_30	CAPN5	calpain 5 [Source:HGNC Symbol;Acc:HGNC:1482]	11645	-0.018638065084815025	-0.5248694	No	
row_31	MMP8	matrix metallopeptidase 8 [Source:HGNC Symbol;Acc:HGNC:7175]	11923	-0.020314965397119522	-0.5374252	No	
row_32	PF4	platelet factor 4 [Source:HGNC Symbol;Acc:HGNC:8861]	12013	-0.02093939110636711	-0.5406164	No	
row_33	ITIH1	inter-alpha-trypsin inhibitor heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:6166]	12037	-0.021078811958432198	-0.5405246	No	
row_34	C8A	complement C8 alpha chain [Source:HGNC Symbol;Acc:HGNC:1352]	12173	-0.02198478952050209	-0.545937	No	
row_35	MMP3	matrix metallopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:7173]	12184	-0.022058675065636635	-0.5451429	No	
row_36	MMP1	matrix metallopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:7155]	12211	-0.022234534844756126	-0.54513234	No	
row_37	MMP10	matrix metallopeptidase 10 [Source:HGNC Symbol;Acc:HGNC:7156]	12614	-0.025116272270679474	-0.56360954	No	
row_38	F11	coagulation factor XI [Source:HGNC Symbol;Acc:HGNC:3529]	12626	-0.02521197311580181	-0.56268054	No	
