NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PTPRH	protein tyrosine phosphatase receptor type H [Source:HGNC Symbol;Acc:HGNC:9672]	702	0.07082760334014893	0.016001962	No	
row_1	CDH17	cadherin 17 [Source:HGNC Symbol;Acc:HGNC:1756]	2252	0.04014104977250099	-0.031860113	No	
row_2	ENPP3	ectonucleotide pyrophosphatase/phosphodiesterase 3 [Source:HGNC Symbol;Acc:HGNC:3358]	2750	0.03514774888753891	-0.03127023	No	
row_3	ARL14	ADP ribosylation factor like GTPase 14 [Source:HGNC Symbol;Acc:HGNC:22974]	2794	0.03463330119848251	-0.008595725	No	
row_4	KRT20	keratin 20 [Source:HGNC Symbol;Acc:HGNC:20412]	3500	0.028919417411088943	-0.022752829	No	
row_5	CLRN3	clarin 3 [Source:HGNC Symbol;Acc:HGNC:20795]	3536	0.02868655137717724	-0.0039411816	No	
row_6	MS4A18	membrane spanning 4-domains A18 [Source:HGNC Symbol;Acc:HGNC:37636]	3973	0.025458071380853653	-0.007273315	No	
row_7	MALRD1	MAM and LDL receptor class A domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24331]	4225	0.023864509537816048	-0.0025972507	No	
row_8	ISX	intestine specific homeobox [Source:HGNC Symbol;Acc:HGNC:28084]	6059	0.013676408678293228	-0.08345631	No	
row_9	ASAH2	N-acylsphingosine amidohydrolase 2 [Source:HGNC Symbol;Acc:HGNC:18860]	6526	0.011523246765136719	-0.09825093	No	
row_10	SLC7A9	solute carrier family 7 member 9 [Source:HGNC Symbol;Acc:HGNC:11067]	7707	0.0067039853893220425	-0.15180823	No	
row_11	ST3GAL4	ST3 beta-galactoside alpha-2,3-sialyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:10864]	7766	0.006474221125245094	-0.15004045	No	
row_12	MYRFL	myelin regulatory factor like [Source:HGNC Symbol;Acc:HGNC:26316]	7795	0.006369934417307377	-0.14686367	No	
row_13	SLC28A1	solute carrier family 28 member 1 [Source:HGNC Symbol;Acc:HGNC:11001]	7796	0.006369482725858688	-0.14230244	No	
row_14	GUCY2C	guanylate cyclase 2C [Source:HGNC Symbol;Acc:HGNC:4688]	8090	0.00521866837516427	-0.15305594	No	
row_15	HNF4G	hepatocyte nuclear factor 4 gamma [Source:HGNC Symbol;Acc:HGNC:5026]	8286	0.004497386049479246	-0.15947925	No	
row_16	ANXA13	annexin A13 [Source:HGNC Symbol;Acc:HGNC:536]	8988	0.0021051859948784113	-0.19264035	No	
row_17	MS4A10	membrane spanning 4-domains A10 [Source:HGNC Symbol;Acc:HGNC:13368]	9051	0.001916752546094358	-0.19433402	No	
row_18	CDHR2	cadherin related family member 2 [Source:HGNC Symbol;Acc:HGNC:18231]	9096	0.0017386003164574504	-0.19526507	No	
row_19	ENPP7	ectonucleotide pyrophosphatase/phosphodiesterase 7 [Source:HGNC Symbol;Acc:HGNC:23764]	9249	0.0012446028413251042	-0.20189111	No	
