NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL7	interleukin 7 [Source:HGNC Symbol;Acc:HGNC:6023]	5	0.5567091107368469	0.051618855	Yes	
row_1	KLRK1	killer cell lectin like receptor K1 [Source:HGNC Symbol;Acc:HGNC:18788]	117	0.24328193068504333	0.068761	Yes	
row_2	BANK1	B cell scaffold protein with ankyrin repeats 1 [Source:HGNC Symbol;Acc:HGNC:18233]	155	0.22523252665996552	0.08790421	Yes	
row_3	IDO1	indoleamine 2,3-dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:6059]	196	0.21378102898597717	0.10583119	Yes	
row_4	CD69	CD69 molecule [Source:HGNC Symbol;Acc:HGNC:1694]	331	0.17265720665454865	0.115248725	Yes	
row_5	GCH1	GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193]	344	0.16908107697963715	0.13040455	Yes	
row_6	IRF8	interferon regulatory factor 8 [Source:HGNC Symbol;Acc:HGNC:5358]	355	0.1667536497116089	0.14544305	Yes	
row_7	CXCL9	C-X-C motif chemokine ligand 9 [Source:HGNC Symbol;Acc:HGNC:7098]	397	0.1575227677822113	0.15807877	Yes	
row_8	SLAMF7	SLAM family member 7 [Source:HGNC Symbol;Acc:HGNC:21394]	416	0.1558181196451187	0.17170031	Yes	
row_9	GPR18	G protein-coupled receptor 18 [Source:HGNC Symbol;Acc:HGNC:4472]	453	0.15060387551784515	0.18394025	Yes	
row_10	HLA-DRB1	major histocompatibility complex, class II, DR beta 1 [Source:HGNC Symbol;Acc:HGNC:4948]	470	0.14746028184890747	0.19688264	Yes	
row_11	CXCL10	C-X-C motif chemokine ligand 10 [Source:HGNC Symbol;Acc:HGNC:10637]	503	0.14304780960083008	0.20861764	Yes	
row_12	XCL1	X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:10645]	595	0.1314729005098343	0.21633805	Yes	
row_13	CCL2	C-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:10618]	773	0.11448296904563904	0.21819565	Yes	
row_14	CD38	CD38 molecule [Source:HGNC Symbol;Acc:HGNC:1667]	902	0.10533719509840012	0.22163968	Yes	
row_15	PTPN6	protein tyrosine phosphatase non-receptor type 6 [Source:HGNC Symbol;Acc:HGNC:9658]	968	0.10115548223257065	0.22782937	Yes	
row_16	VCAM1	vascular cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:12663]	1074	0.09501410275697708	0.23145624	Yes	
row_17	TNFAIP3	TNF alpha induced protein 3 [Source:HGNC Symbol;Acc:HGNC:11896]	1100	0.09422091394662857	0.2389905	Yes	
row_18	CXCL11	C-X-C motif chemokine ligand 11 [Source:HGNC Symbol;Acc:HGNC:10638]	1234	0.0883360430598259	0.24060173	Yes	
row_19	STAT1	signal transducer and activator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:11362]	1278	0.08663088083267212	0.24653305	Yes	
row_20	AUTS2	activator of transcription and developmental regulator AUTS2 [Source:HGNC Symbol;Acc:HGNC:14262]	1308	0.08553704619407654	0.25305918	Yes	
row_21	IRF4	interferon regulatory factor 4 [Source:HGNC Symbol;Acc:HGNC:6119]	1361	0.08369211852550507	0.2582688	Yes	
row_22	SP110	SP110 nuclear body protein [Source:HGNC Symbol;Acc:HGNC:5401]	1513	0.07881367206573486	0.25809705	Yes	
row_23	ITGB7	integrin subunit beta 7 [Source:HGNC Symbol;Acc:HGNC:6162]	1517	0.07872826606035233	0.26528275	Yes	
row_24	LCP2	lymphocyte cytosolic protein 2 [Source:HGNC Symbol;Acc:HGNC:6529]	1633	0.07479945570230484	0.2665286	Yes	
row_25	OAS2	2'-5'-oligoadenylate synthetase 2 [Source:HGNC Symbol;Acc:HGNC:8087]	1788	0.07032153010368347	0.26541635	Yes	
row_26	NCOA3	nuclear receptor coactivator 3 [Source:HGNC Symbol;Acc:HGNC:7670]	1820	0.06926874071359634	0.27032727	Yes	
