NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IRAG2	inositol 1,4,5-triphosphate receptor associated 2 [Source:HGNC Symbol;Acc:HGNC:6690]	123	0.2624630331993103	0.019574597	Yes	
row_1	CASP1	caspase 1 [Source:HGNC Symbol;Acc:HGNC:1499]	294	0.20052053034305573	0.030745286	Yes	
row_2	CDH13	cadherin 13 [Source:HGNC Symbol;Acc:HGNC:1753]	324	0.19256983697414398	0.048155624	Yes	
row_3	IFI30	IFI30 lysosomal thiol reductase [Source:HGNC Symbol;Acc:HGNC:5398]	424	0.17404629290103912	0.060268246	Yes	
row_4	RAD51C	RAD51 paralog C [Source:HGNC Symbol;Acc:HGNC:9820]	497	0.16213546693325043	0.07255861	Yes	
row_5	FUCA1	alpha-L-fucosidase 1 [Source:HGNC Symbol;Acc:HGNC:4006]	514	0.15966643393039703	0.08739456	Yes	
row_6	TOB1	transducer of ERBB2, 1 [Source:HGNC Symbol;Acc:HGNC:11979]	521	0.15858958661556244	0.10262281	Yes	
row_7	S100A10	S100 calcium binding protein A10 [Source:HGNC Symbol;Acc:HGNC:10487]	626	0.14516456425189972	0.11165886	Yes	
row_8	TAP1	transporter 1, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:43]	669	0.1415429413318634	0.123426296	Yes	
row_9	PCNA	proliferating cell nuclear antigen [Source:HGNC Symbol;Acc:HGNC:8729]	680	0.1408446878194809	0.13671812	Yes	
row_10	SAT1	spermidine/spermine N1-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10540]	808	0.12955939769744873	0.14308155	Yes	
row_11	DGKA	diacylglycerol kinase alpha [Source:HGNC Symbol;Acc:HGNC:2849]	813	0.12932895123958588	0.15554455	Yes	
row_12	RB1	RB transcriptional corepressor 1 [Source:HGNC Symbol;Acc:HGNC:9884]	839	0.12782426178455353	0.16681498	Yes	
row_13	ZFP36L1	ZFP36 ring finger protein like 1 [Source:HGNC Symbol;Acc:HGNC:1107]	844	0.12771880626678467	0.17912035	Yes	
row_14	CGRRF1	cell growth regulator with ring finger domain 1 [Source:HGNC Symbol;Acc:HGNC:15528]	875	0.12506534159183502	0.1898718	Yes	
row_15	PPM1D	protein phosphatase, Mg2+/Mn2+ dependent 1D [Source:HGNC Symbol;Acc:HGNC:9277]	909	0.12321999669075012	0.20029327	Yes	
row_16	CCP110	centriolar coiled-coil protein 110 [Source:HGNC Symbol;Acc:HGNC:24342]	1125	0.11125604063272476	0.20048462	Yes	
row_17	TGFB1	transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]	1160	0.10959050804376602	0.2095219	Yes	
row_18	CCND2	cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]	1310	0.10427867621183395	0.21231516	Yes	
row_19	FAS	Fas cell surface death receptor [Source:HGNC Symbol;Acc:HGNC:11920]	1319	0.1039724051952362	0.22209652	Yes	
row_20	TM4SF1	transmembrane 4 L six family member 1 [Source:HGNC Symbol;Acc:HGNC:11853]	1383	0.10161986947059631	0.22890998	Yes	
row_21	ADA	adenosine deaminase [Source:HGNC Symbol;Acc:HGNC:186]	1394	0.1011342853307724	0.23831391	Yes	
row_22	RNF19B	ring finger protein 19B [Source:HGNC Symbol;Acc:HGNC:26886]	1400	0.10096965730190277	0.2479506	Yes	
row_23	H1-2	H1.2 linker histone, cluster member [Source:HGNC Symbol;Acc:HGNC:4716]	1461	0.09891260415315628	0.25464833	Yes	
row_24	SLC35D1	solute carrier family 35 member D1 [Source:HGNC Symbol;Acc:HGNC:20800]	1532	0.09690356999635696	0.26065165	Yes	
row_25	SERTAD3	SERTA domain containing 3 [Source:HGNC Symbol;Acc:HGNC:17931]	1573	0.0954107865691185	0.268002	Yes	
row_26	ISCU	iron-sulfur cluster assembly enzyme [Source:HGNC Symbol;Acc:HGNC:29882]	1580	0.09533378481864929	0.27703714	Yes	
row_27	BMP2	bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]	1618	0.0942680686712265	0.28442493	Yes	
row_28	GM2A	GM2 ganglioside activator [Source:HGNC Symbol;Acc:HGNC:4367]	1624	0.09416886419057846	0.2933958	Yes	
row_29	KLF4	Kruppel like factor 4 [Source:HGNC Symbol;Acc:HGNC:6348]	1635	0.093989297747612	0.30210018	Yes	
row_30	CCNK	cyclin K [Source:HGNC Symbol;Acc:HGNC:1596]	1718	0.09125177562236786	0.30695283	Yes	
row_31	RCHY1	ring finger and CHY zinc finger domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17479]	1800	0.0887472853064537	0.3116101	Yes	
row_32	CD82	CD82 molecule [Source:HGNC Symbol;Acc:HGNC:6210]	1865	0.08710838854312897	0.31695303	Yes	
row_33	PTPRE	protein tyrosine phosphatase receptor type E [Source:HGNC Symbol;Acc:HGNC:9669]	1915	0.08612077683210373	0.3229459	Yes	
row_34	VAMP8	vesicle associated membrane protein 8 [Source:HGNC Symbol;Acc:HGNC:12647]	2026	0.084000363945961	0.32569495	Yes	
row_35	BTG2	BTG anti-proliferation factor 2 [Source:HGNC Symbol;Acc:HGNC:1131]	2072	0.08279523253440857	0.3315613	Yes	
row_36	RRP8	ribosomal RNA processing 8 [Source:HGNC Symbol;Acc:HGNC:29030]	2109	0.08180304616689682	0.33777848	Yes	
row_37	APAF1	apoptotic peptidase activating factor 1 [Source:HGNC Symbol;Acc:HGNC:576]	2205	0.07974015921354294	0.34085703	Yes	
row_38	HINT1	histidine triad nucleotide binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4912]	2348	0.07654257863759995	0.34128317	Yes	
row_39	FOS	Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]	2374	0.07604468613862991	0.34748408	Yes	
row_40	FBXW7	F-box and WD repeat domain containing 7 [Source:HGNC Symbol;Acc:HGNC:16712]	2464	0.07452963292598724	0.35035115	Yes	
row_41	TRAFD1	TRAF-type zinc finger domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24808]	2511	0.07370588183403015	0.35527784	Yes	
row_42	PRKAB1	protein kinase AMP-activated non-catalytic subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:9378]	2558	0.07281744480133057	0.36011752	Yes	
row_43	DDIT3	DNA damage inducible transcript 3 [Source:HGNC Symbol;Acc:HGNC:2726]	2602	0.07226008176803589	0.36505195	Yes	
row_44	STOM	stomatin [Source:HGNC Symbol;Acc:HGNC:3383]	2728	0.07032378762960434	0.3657154	Yes	
row_45	HEXIM1	HEXIM P-TEFb complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:24953]	2737	0.07015813142061234	0.37218612	Yes	
row_46	DNTTIP2	deoxynucleotidyltransferase terminal interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:24013]	2858	0.06838060170412064	0.37290817	Yes	
