NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GRIN3A	glutamate ionotropic receptor NMDA type subunit 3A [Source:HGNC Symbol;Acc:HGNC:16767]	3	0.26977965235710144	0.013832074	Yes	
row_1	SLC18A2	solute carrier family 18 member A2 [Source:HGNC Symbol;Acc:HGNC:10935]	7	0.24163296818733215	0.02620525	Yes	
row_2	HS3ST5	heparan sulfate-glucosamine 3-sulfotransferase 5 [Source:HGNC Symbol;Acc:HGNC:19419]	13	0.22824369370937347	0.03778367	Yes	
row_3	EPB41L4A	erythrocyte membrane protein band 4.1 like 4A [Source:HGNC Symbol;Acc:HGNC:13278]	15	0.22603461146354675	0.049449116	Yes	
row_4	VWDE	von Willebrand factor D and EGF domains [Source:HGNC Symbol;Acc:HGNC:21897]	16	0.22525133192539215	0.06112434	Yes	
row_5	CDH12	cadherin 12 [Source:HGNC Symbol;Acc:HGNC:1751]	19	0.22335460782051086	0.07260049	Yes	
row_6	SLC18A1	solute carrier family 18 member A1 [Source:HGNC Symbol;Acc:HGNC:10934]	22	0.21996712684631348	0.08390106	Yes	
row_7	DCC	DCC netrin 1 receptor [Source:HGNC Symbol;Acc:HGNC:2701]	36	0.19554917514324188	0.09338182	Yes	
row_8	PRUNE2	prune homolog 2 with BCH domain [Source:HGNC Symbol;Acc:HGNC:25209]	64	0.16776247322559357	0.100717016	Yes	
row_9	SPOCK3	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 3 [Source:HGNC Symbol;Acc:HGNC:13565]	75	0.16009286046028137	0.10851114	Yes	
row_10	ABCA5	ATP binding cassette subfamily A member 5 [Source:HGNC Symbol;Acc:HGNC:35]	76	0.15967532992362976	0.116787426	Yes	
row_11	TTLL7	tubulin tyrosine ligase like 7 [Source:HGNC Symbol;Acc:HGNC:26242]	89	0.1538649946451187	0.124157995	Yes	
row_12	PLXNC1	plexin C1 [Source:HGNC Symbol;Acc:HGNC:9106]	93	0.1514769196510315	0.1318582	Yes	
row_13	PTPRD	protein tyrosine phosphatase receptor type D [Source:HGNC Symbol;Acc:HGNC:9668]	121	0.1399722844362259	0.13775297	Yes	
row_14	ENTPD3	ectonucleoside triphosphate diphosphohydrolase 3 [Source:HGNC Symbol;Acc:HGNC:3365]	137	0.1367032825946808	0.14408287	Yes	
row_15	CYP3A5	cytochrome P450 family 3 subfamily A member 5 [Source:HGNC Symbol;Acc:HGNC:2638]	153	0.13332170248031616	0.15023749	Yes	
row_16	PCLO	piccolo presynaptic cytomatrix protein [Source:HGNC Symbol;Acc:HGNC:13406]	164	0.13123586773872375	0.15653591	Yes	
row_17	RAPGEF5	Rap guanine nucleotide exchange factor 5 [Source:HGNC Symbol;Acc:HGNC:16862]	170	0.12940643727779388	0.16299139	Yes	
row_18	AK5	adenylate kinase 5 [Source:HGNC Symbol;Acc:HGNC:365]	203	0.12292258441448212	0.16775054	Yes	
