NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RASGRP1	RAS guanyl releasing protein 1 [Source:HGNC Symbol;Acc:HGNC:9878]	142	0.25394687056541443	0.02654813	Yes	
row_1	GCH1	GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193]	246	0.2135399580001831	0.0496869	Yes	
row_2	ICAM1	intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5344]	334	0.1904599517583847	0.07056653	Yes	
row_3	CTSV	cathepsin V [Source:HGNC Symbol;Acc:HGNC:2538]	338	0.18990202248096466	0.09554459	Yes	
row_4	NTRK3	neurotrophic receptor tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:8033]	544	0.15352480113506317	0.10567609	Yes	
row_5	LYN	LYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6735]	574	0.14995242655277252	0.12407677	Yes	
row_6	HLA-F	major histocompatibility complex, class I, F [Source:HGNC Symbol;Acc:HGNC:4963]	667	0.1416851133108139	0.13825436	Yes	
row_7	TAP1	transporter 1, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:43]	669	0.1415429413318634	0.15693308	Yes	
row_8	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	747	0.13467349112033844	0.17092797	Yes	
row_9	MAOA	monoamine oxidase A [Source:HGNC Symbol;Acc:HGNC:6833]	793	0.1305505782365799	0.18596676	Yes	
row_10	RFC4	replication factor C subunit 4 [Source:HGNC Symbol;Acc:HGNC:9972]	835	0.1281338632106781	0.20088446	Yes	
row_11	FEN1	flap structure-specific endonuclease 1 [Source:HGNC Symbol;Acc:HGNC:3650]	838	0.12794463336467743	0.21771425	Yes	
row_12	TFRC	transferrin receptor [Source:HGNC Symbol;Acc:HGNC:11763]	848	0.12758436799049377	0.23414867	Yes	
row_13	CDK2	cyclin dependent kinase 2 [Source:HGNC Symbol;Acc:HGNC:1771]	896	0.12381058931350708	0.24819632	Yes	
row_14	IRF1	interferon regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:6116]	932	0.12157206982374191	0.2625438	Yes	
row_15	GGH	gamma-glutamyl hydrolase [Source:HGNC Symbol;Acc:HGNC:4248]	958	0.11986245959997177	0.27716178	Yes	
row_16	NFKBIA	NFKB inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:7797]	1132	0.11083391308784485	0.28323403	Yes	
row_17	POLG2	DNA polymerase gamma 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:9180]	1164	0.10941746830940247	0.29617193	Yes	
row_18	DNAJA1	DnaJ heat shock protein family (Hsp40) member A1 [Source:HGNC Symbol;Acc:HGNC:5229]	1260	0.10606537759304047	0.30548745	Yes	
row_19	CXCL2	C-X-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:4603]	1390	0.10132584720849991	0.3124871	Yes	
row_20	SOD2	superoxide dismutase 2 [Source:HGNC Symbol;Acc:HGNC:11180]	1424	0.10016033053398132	0.32410082	Yes	
row_21	YKT6	YKT6 v-SNARE homolog [Source:HGNC Symbol;Acc:HGNC:16959]	1537	0.09672491252422333	0.33133605	Yes	
row_22	BMP2	bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]	1618	0.0942680686712265	0.33983564	Yes	
row_23	CHKA	choline kinase alpha [Source:HGNC Symbol;Acc:HGNC:1937]	1689	0.0921650230884552	0.3485537	Yes	
row_24	IL6ST	interleukin 6 signal transducer [Source:HGNC Symbol;Acc:HGNC:6021]	1696	0.09207058697938919	0.36043808	Yes	
row_25	MARK2	microtubule affinity regulating kinase 2 [Source:HGNC Symbol;Acc:HGNC:3332]	1948	0.08527471125125885	0.35925418	Yes	
row_26	BTG2	BTG anti-proliferation factor 2 [Source:HGNC Symbol;Acc:HGNC:1131]	2072	0.08279523253440857	0.36409995	Yes	
row_27	ATP6V1C1	ATPase H+ transporting V1 subunit C1 [Source:HGNC Symbol;Acc:HGNC:856]	2084	0.08255700767040253	0.37447718	Yes	
row_28	PPP1R2	protein phosphatase 1 regulatory inhibitor subunit 2 [Source:HGNC Symbol;Acc:HGNC:9288]	2144	0.08109413832426071	0.3822767	Yes	
row_29	HSPA2	heat shock protein family A (Hsp70) member 2 [Source:HGNC Symbol;Acc:HGNC:5235]	2278	0.07821789383888245	0.38602012	Yes	
row_30	FOS	Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]	2374	0.07604468613862991	0.39136344	Yes	
row_31	PARP2	poly(ADP-ribose) polymerase 2 [Source:HGNC Symbol;Acc:HGNC:272]	2385	0.07593540102243423	0.4009142	Yes	
row_32	PPT1	palmitoyl-protein thioesterase 1 [Source:HGNC Symbol;Acc:HGNC:9325]	2394	0.07572772353887558	0.41053683	Yes	
row_33	NUP58	nucleoporin 58 [Source:HGNC Symbol;Acc:HGNC:20261]	2396	0.07567901164293289	0.4205007	Yes	
row_34	CYB5B	cytochrome b5 type B [Source:HGNC Symbol;Acc:HGNC:24374]	2399	0.07564350217580795	0.4304102	Yes	
row_35	NXF1	nuclear RNA export factor 1 [Source:HGNC Symbol;Acc:HGNC:8071]	2432	0.07502744346857071	0.43874812	Yes	
row_36	PLCL1	phospholipase C like 1 (inactive) [Source:HGNC Symbol;Acc:HGNC:9063]	2486	0.07406240701675415	0.44591525	Yes	
row_37	RAB27A	RAB27A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9766]	2772	0.06968224048614502	0.44097948	No	
row_38	HMOX1	heme oxygenase 1 [Source:HGNC Symbol;Acc:HGNC:5013]	3114	0.06463620066642761	0.4325945	No	
row_39	DNAJB1	DnaJ heat shock protein family (Hsp40) member B1 [Source:HGNC Symbol;Acc:HGNC:5270]	3318	0.06207473203539848	0.43072504	No	
row_40	STIP1	stress induced phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11387]	3347	0.06167670711874962	0.4374951	No	
row_41	CREG1	cellular repressor of E1A stimulated genes 1 [Source:HGNC Symbol;Acc:HGNC:2351]	3455	0.06046561151742935	0.44018102	No	
row_42	TMBIM6	transmembrane BAX inhibitor motif containing 6 [Source:HGNC Symbol;Acc:HGNC:11723]	3798	0.056234125047922134	0.43063465	No	
row_43	PDAP1	PDGFA associated protein 1 [Source:HGNC Symbol;Acc:HGNC:14634]	4179	0.05218672379851341	0.4186653	No	
row_44	JUNB	JunB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6205]	4423	0.04999731853604317	0.41321102	No	
row_45	EIF5	eukaryotic translation initiation factor 5 [Source:HGNC Symbol;Acc:HGNC:3299]	4673	0.04722333699464798	0.40709165	No	
row_46	BTG1	BTG anti-proliferation factor 1 [Source:HGNC Symbol;Acc:HGNC:1130]	4855	0.04540606215596199	0.4041094	No	
row_47	MMP14	matrix metallopeptidase 14 [Source:HGNC Symbol;Acc:HGNC:7160]	5068	0.04346253722906113	0.3993302	No	
row_48	CNP	2',3'-cyclic nucleotide 3' phosphodiesterase [Source:HGNC Symbol;Acc:HGNC:2158]	5098	0.04319741576910019	0.4036055	No	
row_49	PSMC3	proteasome 26S subunit, ATPase 3 [Source:HGNC Symbol;Acc:HGNC:9549]	5216	0.042100828140974045	0.40336475	No	
row_50	CEBPG	CCAAT enhancer binding protein gamma [Source:HGNC Symbol;Acc:HGNC:1837]	5329	0.041241154074668884	0.4032586	No	
row_51	PRKACA	protein kinase cAMP-activated catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9380]	5436	0.0403284952044487	0.40332973	No	
row_52	ATP6V1F	ATPase H+ transporting V1 subunit F [Source:HGNC Symbol;Acc:HGNC:16832]	5451	0.040144920349121094	0.40794617	No	
row_53	POLR2H	RNA polymerase II subunit H [Source:HGNC Symbol;Acc:HGNC:9195]	5543	0.03932831063866615	0.40862998	No	
row_54	DDX21	DExD-box helicase 21 [Source:HGNC Symbol;Acc:HGNC:2744]	5657	0.038189563900232315	0.4080704	No	
row_55	CHRNA5	cholinergic receptor nicotinic alpha 5 subunit [Source:HGNC Symbol;Acc:HGNC:1959]	5871	0.03641002997756004	0.40230837	No	
row_56	RPN1	ribophorin I [Source:HGNC Symbol;Acc:HGNC:10381]	5921	0.03600194677710533	0.4046382	No	
row_57	BAK1	BCL2 antagonist/killer 1 [Source:HGNC Symbol;Acc:HGNC:949]	6024	0.035113509744405746	0.40421796	No	
row_58	HNRNPU	heterogeneous nuclear ribonucleoprotein U [Source:HGNC Symbol;Acc:HGNC:5048]	6054	0.03492053970694542	0.40739807	No	
row_59	HSPA13	heat shock protein family A (Hsp70) member 13 [Source:HGNC Symbol;Acc:HGNC:11375]	6107	0.03440519794821739	0.40936762	No	
row_60	CDC5L	cell division cycle 5 like [Source:HGNC Symbol;Acc:HGNC:1743]	6111	0.03437264636158943	0.41376665	No	
row_61	MGAT1	alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:HGNC:7044]	6138	0.03414926305413246	0.41699374	No	
row_62	SQSTM1	sequestosome 1 [Source:HGNC Symbol;Acc:HGNC:11280]	6212	0.03346036374568939	0.41779518	No	
row_63	EIF2S3	eukaryotic translation initiation factor 2 subunit gamma [Source:HGNC Symbol;Acc:HGNC:3267]	6470	0.031206894665956497	0.40915924	No	
row_64	GLS	glutaminase [Source:HGNC Symbol;Acc:HGNC:4331]	6495	0.030972346663475037	0.41206533	No	
row_65	STARD3	StAR related lipid transfer domain containing 3 [Source:HGNC Symbol;Acc:HGNC:17579]	6579	0.030202925205230713	0.41193905	No	
row_66	ASNS	asparagine synthetase (glutamine-hydrolyzing) [Source:HGNC Symbol;Acc:HGNC:753]	6727	0.028970180079340935	0.40847084	No	
row_67	NAT1	N-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:7645]	7056	0.02648506499826908	0.39568356	No	
row_68	CDKN1C	cyclin dependent kinase inhibitor 1C [Source:HGNC Symbol;Acc:HGNC:1786]	7111	0.026074117049574852	0.39645144	No	
row_69	AMD1	adenosylmethionine decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:457]	7167	0.02564137615263462	0.39711237	No	
row_70	CYP1A1	cytochrome P450 family 1 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2595]	7294	0.0247134231030941	0.39412397	No	
row_71	TUBA4A	tubulin alpha 4a [Source:HGNC Symbol;Acc:HGNC:12407]	7366	0.024018121883273125	0.3937754	No	
row_72	AGO2	argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]	7468	0.023346921429038048	0.39184794	No	
row_73	AQP3	aquaporin 3 (Gill blood group) [Source:HGNC Symbol;Acc:HGNC:636]	7701	0.021445732563734055	0.38316217	No	
row_74	FKBP4	FKBP prolyl isomerase 4 [Source:HGNC Symbol;Acc:HGNC:3720]	7885	0.020189983770251274	0.37674406	No	
row_75	FMO1	flavin containing dimethylaniline monoxygenase 1 [Source:HGNC Symbol;Acc:HGNC:3769]	7918	0.02000291645526886	0.37780136	No	
row_76	PPIF	peptidylprolyl isomerase F [Source:HGNC Symbol;Acc:HGNC:9259]	8019	0.019233983010053635	0.37537935	No	
row_77	NPTX2	neuronal pentraxin 2 [Source:HGNC Symbol;Acc:HGNC:7953]	8317	0.016926277428865433	0.36286706	No	
row_78	CDC34	cell division cycle 34, ubiqiutin conjugating enzyme [Source:HGNC Symbol;Acc:HGNC:1734]	8319	0.016904065385460854	0.36505407	No	
row_79	E2F5	E2F transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:3119]	8436	0.01591869443655014	0.36139867	No	
row_80	TST	thiosulfate sulfurtransferase [Source:HGNC Symbol;Acc:HGNC:12388]	8480	0.015628263354301453	0.36133075	No	
row_81	FOSB	FosB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3797]	8495	0.015535479411482811	0.36269096	No	
row_82	UROD	uroporphyrinogen decarboxylase [Source:HGNC Symbol;Acc:HGNC:12591]	8762	0.013419912196695805	0.3512545	No	
row_83	ALDOA	aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]	8925	0.012313838116824627	0.3448373	No	
row_84	CCND3	cyclin D3 [Source:HGNC Symbol;Acc:HGNC:1585]	9060	0.0113760931417346	0.3396868	No	
row_85	CCNE1	cyclin E1 [Source:HGNC Symbol;Acc:HGNC:1589]	9169	0.010534960776567459	0.33571643	No	
row_86	CDKN2B	cyclin dependent kinase inhibitor 2B [Source:HGNC Symbol;Acc:HGNC:1788]	9182	0.010444833897054195	0.33650243	No	
row_87	PPAT	phosphoribosyl pyrophosphate amidotransferase [Source:HGNC Symbol;Acc:HGNC:9238]	9191	0.010339991189539433	0.3374732	No	
row_88	RHOB	ras homolog family member B [Source:HGNC Symbol;Acc:HGNC:668]	9552	0.007427855394780636	0.32057494	No	
row_89	PDLIM3	PDZ and LIM domain 3 [Source:HGNC Symbol;Acc:HGNC:20767]	9553	0.007418540772050619	0.32155654	No	
row_90	SHOX2	short stature homeobox 2 [Source:HGNC Symbol;Acc:HGNC:10854]	9670	0.006590317934751511	0.31666684	No	
row_91	RXRB	retinoid X receptor beta [Source:HGNC Symbol;Acc:HGNC:10478]	10027	0.003967576660215855	0.2995094	No	
row_92	MRPL23	mitochondrial ribosomal protein L23 [Source:HGNC Symbol;Acc:HGNC:10322]	10113	0.0033490373753011227	0.29573062	No	
