NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PCGF5	polycomb group ring finger 5 [Source:HGNC Symbol;Acc:HGNC:28264]	169	0.3124728500843048	0.012333256	Yes	
row_1	MYO1E	myosin IE [Source:HGNC Symbol;Acc:HGNC:7599]	357	0.2646580636501312	0.020596286	Yes	
row_2	EPB41L2	erythrocyte membrane protein band 4.1 like 2 [Source:HGNC Symbol;Acc:HGNC:3379]	398	0.2587234377861023	0.035781674	Yes	
row_3	TUBA4A	tubulin alpha 4a [Source:HGNC Symbol;Acc:HGNC:12407]	525	0.2409752756357193	0.045508474	Yes	
row_4	RAPGEF5	Rap guanine nucleotide exchange factor 5 [Source:HGNC Symbol;Acc:HGNC:16862]	680	0.22316956520080566	0.052659597	Yes	
row_5	DOCK2	dedicator of cytokinesis 2 [Source:HGNC Symbol;Acc:HGNC:2988]	800	0.21211473643779755	0.060818795	Yes	
row_6	NOTCH2	notch receptor 2 [Source:HGNC Symbol;Acc:HGNC:7882]	804	0.2118455320596695	0.07473356	Yes	
row_7	PDLIM5	PDZ and LIM domain 5 [Source:HGNC Symbol;Acc:HGNC:17468]	924	0.20242610573768616	0.082249545	Yes	
row_8	KIFAP3	kinesin associated protein 3 [Source:HGNC Symbol;Acc:HGNC:17060]	987	0.19755782186985016	0.092279285	Yes	
row_9	NEDD9	neural precursor cell expressed, developmentally down-regulated 9 [Source:HGNC Symbol;Acc:HGNC:7733]	1196	0.18405485153198242	0.094146006	Yes	
row_10	VCL	vinculin [Source:HGNC Symbol;Acc:HGNC:12665]	1229	0.1823008507490158	0.10465599	Yes	
row_11	ARHGAP10	Rho GTPase activating protein 10 [Source:HGNC Symbol;Acc:HGNC:26099]	1332	0.17634528875350952	0.11128662	Yes	
row_12	ARHGAP5	Rho GTPase activating protein 5 [Source:HGNC Symbol;Acc:HGNC:675]	1441	0.17087310552597046	0.11725533	Yes	
row_13	ARHGEF3	Rho guanine nucleotide exchange factor 3 [Source:HGNC Symbol;Acc:HGNC:683]	1699	0.16065701842308044	0.115129925	Yes	
row_14	MYH9	myosin heavy chain 9 [Source:HGNC Symbol;Acc:HGNC:7579]	1705	0.1604100614786148	0.12553044	Yes	
row_15	ARHGAP29	Rho GTPase activating protein 29 [Source:HGNC Symbol;Acc:HGNC:30207]	1755	0.15837684273719788	0.13360603	Yes	
row_16	GSN	gelsolin [Source:HGNC Symbol;Acc:HGNC:4620]	1893	0.15310516953468323	0.1369518	Yes	
row_17	EZR	ezrin [Source:HGNC Symbol;Acc:HGNC:12691]	1941	0.1514737904071808	0.14466867	Yes	
row_18	CD2AP	CD2 associated protein [Source:HGNC Symbol;Acc:HGNC:14258]	2096	0.1462016999721527	0.14671001	Yes	
row_19	STK38L	serine/threonine kinase 38 like [Source:HGNC Symbol;Acc:HGNC:17848]	2249	0.14107269048690796	0.1485104	Yes	
row_20	PALLD	palladin, cytoskeletal associated protein [Source:HGNC Symbol;Acc:HGNC:17068]	2307	0.13887286186218262	0.154893	Yes	
row_21	CAPZB	capping actin protein of muscle Z-line subunit beta [Source:HGNC Symbol;Acc:HGNC:1491]	2332	0.13794471323490143	0.16285641	Yes	
row_22	MID1	midline 1 [Source:HGNC Symbol;Acc:HGNC:7095]	2440	0.13518257439136505	0.16650546	Yes	
row_23	WASF2	WASP family member 2 [Source:HGNC Symbol;Acc:HGNC:12733]	2588	0.13172151148319244	0.1679339	Yes	
row_24	ABI1	abl interactor 1 [Source:HGNC Symbol;Acc:HGNC:11320]	2607	0.1312829852104187	0.17575368	Yes	
row_25	FLNA	filamin A [Source:HGNC Symbol;Acc:HGNC:3754]	2672	0.1295342743396759	0.1811679	Yes	
row_26	CDC42	cell division cycle 42 [Source:HGNC Symbol;Acc:HGNC:1736]	2819	0.12664882838726044	0.18230934	Yes	
row_27	ARL8A	ADP ribosylation factor like GTPase 8A [Source:HGNC Symbol;Acc:HGNC:25192]	2917	0.12440074235200882	0.1857403	Yes	
row_28	PREX1	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:32594]	2960	0.1233338862657547	0.19183786	Yes	
row_29	CDC42BPA	CDC42 binding protein kinase alpha [Source:HGNC Symbol;Acc:HGNC:1737]	2982	0.12297677248716354	0.19895689	Yes	
row_30	SPTBN1	spectrin beta, non-erythrocytic 1 [Source:HGNC Symbol;Acc:HGNC:11275]	3140	0.11936626583337784	0.19906737	Yes	
row_31	HOOK3	hook microtubule tethering protein 3 [Source:HGNC Symbol;Acc:HGNC:23576]	3211	0.11775065958499908	0.20340067	Yes	
row_32	FGD6	FYVE, RhoGEF and PH domain containing 6 [Source:HGNC Symbol;Acc:HGNC:21740]	3246	0.116989865899086	0.20947522	Yes	
row_33	MID1IP1	MID1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:20715]	3280	0.11649668961763382	0.2155668	Yes	
row_34	KIF1B	kinesin family member 1B [Source:HGNC Symbol;Acc:HGNC:16636]	3416	0.11392766237258911	0.21641119	Yes	
row_35	NCK1	NCK adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:7664]	3712	0.10828302800655365	0.20891745	Yes	
row_36	CLIP1	CAP-Gly domain containing linker protein 1 [Source:HGNC Symbol;Acc:HGNC:10461]	3816	0.10632871836423874	0.21085003	Yes	
row_37	SYNPO	synaptopodin [Source:HGNC Symbol;Acc:HGNC:30672]	3974	0.10337501764297485	0.20989887	Yes	
row_38	DST	dystonin [Source:HGNC Symbol;Acc:HGNC:1090]	3995	0.10297313332557678	0.21573967	Yes	
row_39	RASAL2	RAS protein activator like 2 [Source:HGNC Symbol;Acc:HGNC:9874]	4014	0.10258088260889053	0.22165397	Yes	
row_40	PPP4R2	protein phosphatase 4 regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:18296]	4129	0.10070811212062836	0.22266592	Yes	
row_41	RANBP9	RAN binding protein 9 [Source:HGNC Symbol;Acc:HGNC:13727]	4150	0.10013718158006668	0.22831844	Yes	
row_42	CDC27	cell division cycle 27 [Source:HGNC Symbol;Acc:HGNC:1728]	4188	0.0994175523519516	0.23307708	Yes	
row_43	KIF3C	kinesin family member 3C [Source:HGNC Symbol;Acc:HGNC:6321]	4305	0.09785007685422897	0.23379976	Yes	
row_44	RICTOR	RPTOR independent companion of MTOR complex 2 [Source:HGNC Symbol;Acc:HGNC:28611]	4477	0.09517817944288254	0.23160762	Yes	
row_45	PAFAH1B1	platelet activating factor acetylhydrolase 1b regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8574]	4577	0.0935126468539238	0.23288845	Yes	
row_46	ACTN4	actinin alpha 4 [Source:HGNC Symbol;Acc:HGNC:166]	4612	0.0931495800614357	0.23738028	Yes	
row_47	DYNLL2	dynein light chain LC8-type 2 [Source:HGNC Symbol;Acc:HGNC:24596]	4765	0.09068413823843002	0.23583545	Yes	
row_48	RAB3GAP1	RAB3 GTPase activating protein catalytic subunit 1 [Source:HGNC Symbol;Acc:HGNC:17063]	4770	0.09061311930418015	0.24165203	Yes	
row_49	APC	APC regulator of WNT signaling pathway [Source:HGNC Symbol;Acc:HGNC:583]	4809	0.09004618227481842	0.24573874	Yes	
row_50	ARHGEF11	Rho guanine nucleotide exchange factor 11 [Source:HGNC Symbol;Acc:HGNC:14580]	4859	0.08925486356019974	0.24922544	Yes	
row_51	ARHGDIA	Rho GDP dissociation inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:678]	4888	0.08872447162866592	0.25372213	Yes	
row_52	AKAP13	A-kinase anchoring protein 13 [Source:HGNC Symbol;Acc:HGNC:371]	4905	0.08849430084228516	0.25880077	Yes	
row_53	KIF3B	kinesin family member 3B [Source:HGNC Symbol;Acc:HGNC:6320]	5025	0.08686576038599014	0.2586449	Yes	
row_54	RALBP1	ralA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9841]	5091	0.08610717952251434	0.2611263	Yes	
row_55	ALS2	alsin Rho guanine nucleotide exchange factor ALS2 [Source:HGNC Symbol;Acc:HGNC:443]	5096	0.08602095395326614	0.266638	Yes	
row_56	ARF6	ADP ribosylation factor 6 [Source:HGNC Symbol;Acc:HGNC:659]	5146	0.08539198338985443	0.26986825	Yes	
row_57	WASL	WASP like actin nucleation promoting factor [Source:HGNC Symbol;Acc:HGNC:12735]	5195	0.08460360020399094	0.27309594	Yes	
row_58	RASA2	RAS p21 protein activator 2 [Source:HGNC Symbol;Acc:HGNC:9872]	5680	0.07829297333955765	0.2542045	No	
row_59	TLK1	tousled like kinase 1 [Source:HGNC Symbol;Acc:HGNC:11841]	5818	0.07645898312330246	0.25246185	No	
row_60	DLG1	discs large MAGUK scaffold protein 1 [Source:HGNC Symbol;Acc:HGNC:2900]	5840	0.07617373764514923	0.25647372	No	
row_61	ARFGEF1	ADP ribosylation factor guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:15772]	6045	0.07389392703771591	0.25122613	No	
row_62	RABGAP1	RAB GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:17155]	6174	0.07216968387365341	0.24964665	No	
row_63	OPHN1	oligophrenin 1 [Source:HGNC Symbol;Acc:HGNC:8148]	6228	0.07138239592313766	0.25174773	No	
row_64	RFC1	replication factor C subunit 1 [Source:HGNC Symbol;Acc:HGNC:9969]	6391	0.06925056874752045	0.24828227	No	
row_65	TAOK2	TAO kinase 2 [Source:HGNC Symbol;Acc:HGNC:16835]	6511	0.0677817240357399	0.24685943	No	
row_66	CSNK1D	casein kinase 1 delta [Source:HGNC Symbol;Acc:HGNC:2452]	6600	0.06671611219644547	0.24690875	No	
row_67	FGD4	FYVE, RhoGEF and PH domain containing 4 [Source:HGNC Symbol;Acc:HGNC:19125]	6608	0.06664705276489258	0.25098494	No	
