NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PAICS	phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase [Source:HGNC Symbol;Acc:HGNC:8587]	213	0.3202705383300781	0.019271294	No	
row_1	BRCA1	BRCA1 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1100]	366	0.26954126358032227	0.036841314	No	
row_2	UHRF1	ubiquitin like with PHD and ring finger domains 1 [Source:HGNC Symbol;Acc:HGNC:12556]	391	0.2625449597835541	0.060103904	No	
row_3	FRMD4B	FERM domain containing 4B [Source:HGNC Symbol;Acc:HGNC:24886]	771	0.20330730080604553	0.06025423	No	
row_4	RBL1	RB transcriptional corepressor like 1 [Source:HGNC Symbol;Acc:HGNC:9893]	1063	0.17709895968437195	0.062325265	No	
row_5	ATM	ATM serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:795]	1500	0.14806559681892395	0.05450552	No	
row_6	RPS27A	ribosomal protein S27a [Source:HGNC Symbol;Acc:HGNC:10417]	1696	0.1381838321685791	0.05771032	No	
row_7	ZFAND4	zinc finger AN1-type containing 4 [Source:HGNC Symbol;Acc:HGNC:23504]	1838	0.13087818026542664	0.06291116	No	
row_8	SUMO2	small ubiquitin like modifier 2 [Source:HGNC Symbol;Acc:HGNC:11125]	2270	0.11285540461540222	0.05205993	No	
row_9	SUMO1	small ubiquitin like modifier 1 [Source:HGNC Symbol;Acc:HGNC:12502]	2501	0.10502668470144272	0.050441906	No	
row_10	EPB41L5	erythrocyte membrane protein band 4.1 like 5 [Source:HGNC Symbol;Acc:HGNC:19819]	2611	0.10167287290096283	0.05450875	No	
row_11	UIMC1	ubiquitin interaction motif containing 1 [Source:HGNC Symbol;Acc:HGNC:30298]	2887	0.09334516525268555	0.049572393	No	
row_12	UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1 [Source:HGNC Symbol;Acc:HGNC:12458]	3267	0.08306047320365906	0.038523536	No	
row_13	FERMT2	fermitin family member 2 [Source:HGNC Symbol;Acc:HGNC:15767]	3651	0.07387573271989822	0.026421001	No	
row_14	NF2	neurofibromin 2 [Source:HGNC Symbol;Acc:HGNC:7773]	4078	0.06460855901241302	0.0113241235	No	
