NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RFC5	replication factor C subunit 5 [Source:HGNC Symbol;Acc:HGNC:9973]	279	0.20503991842269897	0.014096145	Yes	
row_1	POLA2	DNA polymerase alpha 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:30073]	412	0.1749708205461502	0.03139219	Yes	
row_2	TAF13	TATA-box binding protein associated factor 13 [Source:HGNC Symbol;Acc:HGNC:11546]	444	0.1706915646791458	0.05311959	Yes	
row_3	RAD51	RAD51 recombinase [Source:HGNC Symbol;Acc:HGNC:9817]	655	0.14259815216064453	0.0621303	Yes	
row_4	TYMS	thymidylate synthetase [Source:HGNC Symbol;Acc:HGNC:12441]	673	0.14136852324008942	0.08055584	Yes	
row_5	PCNA	proliferating cell nuclear antigen [Source:HGNC Symbol;Acc:HGNC:8729]	680	0.1408446878194809	0.09945614	Yes	
row_6	RFC3	replication factor C subunit 3 [Source:HGNC Symbol;Acc:HGNC:9971]	699	0.13896417617797852	0.1175043	Yes	
row_7	POLA1	DNA polymerase alpha 1, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9173]	724	0.13652189075946808	0.13492167	Yes	
row_8	ZWINT	ZW10 interacting kinetochore protein [Source:HGNC Symbol;Acc:HGNC:13195]	731	0.1360432356595993	0.15316749	Yes	
row_9	RFC4	replication factor C subunit 4 [Source:HGNC Symbol;Acc:HGNC:9972]	835	0.1281338632106781	0.16551915	Yes	
row_10	FEN1	flap structure-specific endonuclease 1 [Source:HGNC Symbol;Acc:HGNC:3650]	838	0.12794463336467743	0.18285967	Yes	
row_11	PNP	purine nucleoside phosphorylase [Source:HGNC Symbol;Acc:HGNC:7892]	889	0.12409782409667969	0.19729264	Yes	
row_12	HCLS1	hematopoietic cell-specific Lyn substrate 1 [Source:HGNC Symbol;Acc:HGNC:4844]	1098	0.11282279342412949	0.20234405	Yes	
row_13	TAF12	TATA-box binding protein associated factor 12 [Source:HGNC Symbol;Acc:HGNC:11545]	1211	0.1076013520359993	0.21145011	Yes	
row_14	CANT1	calcium activated nucleotidase 1 [Source:HGNC Symbol;Acc:HGNC:19721]	1228	0.10709015280008316	0.22525291	Yes	
row_15	SDCBP	syndecan binding protein [Source:HGNC Symbol;Acc:HGNC:10662]	1261	0.10606078058481216	0.238121	Yes	
row_16	ADA	adenosine deaminase [Source:HGNC Symbol;Acc:HGNC:186]	1394	0.1011342853307724	0.24535257	Yes	
row_17	SUPT4H1	SPT4 homolog, DSIF elongation factor subunit [Source:HGNC Symbol;Acc:HGNC:11467]	1446	0.09952546656131744	0.2563865	Yes	
row_18	AGO4	argonaute RISC component 4 [Source:HGNC Symbol;Acc:HGNC:18424]	1500	0.09775590896606445	0.26707992	Yes	
row_19	GTF2A2	general transcription factor IIA subunit 2 [Source:HGNC Symbol;Acc:HGNC:4647]	1512	0.09746584296226501	0.2798191	Yes	
row_20	SF3A3	splicing factor 3a subunit 3 [Source:HGNC Symbol;Acc:HGNC:10767]	1518	0.097405344247818	0.29284793	Yes	
row_21	ELOA	elongin A [Source:HGNC Symbol;Acc:HGNC:11620]	1557	0.09605573117733002	0.30405435	Yes	
row_22	PRIM1	DNA primase subunit 1 [Source:HGNC Symbol;Acc:HGNC:9369]	1944	0.08541946113109589	0.29653278	Yes	
row_23	RFC2	replication factor C subunit 2 [Source:HGNC Symbol;Acc:HGNC:9970]	1972	0.08485263586044312	0.30675828	Yes	
row_24	RAE1	ribonucleic acid export 1 [Source:HGNC Symbol;Acc:HGNC:9828]	2130	0.08131958544254303	0.31004772	Yes	
row_25	SNAPC5	small nuclear RNA activating complex polypeptide 5 [Source:HGNC Symbol;Acc:HGNC:15484]	2178	0.08043454587459564	0.318678	Yes	
row_26	GTF2H3	general transcription factor IIH subunit 3 [Source:HGNC Symbol;Acc:HGNC:4657]	2372	0.0760972872376442	0.3194682	Yes	
row_27	RPA2	replication protein A2 [Source:HGNC Symbol;Acc:HGNC:10290]	2479	0.07423054426908493	0.32432348	Yes	
row_28	UMPS	uridine monophosphate synthetase [Source:HGNC Symbol;Acc:HGNC:12563]	2548	0.07295884937047958	0.33089212	Yes	
row_29	GTF2H1	general transcription factor IIH subunit 1 [Source:HGNC Symbol;Acc:HGNC:4655]	2557	0.07281982153654099	0.3404208	Yes	
row_30	RNMT	RNA guanine-7 methyltransferase [Source:HGNC Symbol;Acc:HGNC:10075]	2592	0.07240089774131775	0.3486015	Yes	
row_31	POLR2J	RNA polymerase II subunit J [Source:HGNC Symbol;Acc:HGNC:9197]	2713	0.07057412713766098	0.35226327	Yes	
