NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TMED5	transmembrane p24 trafficking protein 5 [Source:HGNC Symbol;Acc:HGNC:24251]	1028	0.19496126472949982	0.044664137	Yes	
row_1	FAR2	fatty acyl-CoA reductase 2 [Source:HGNC Symbol;Acc:HGNC:25531]	1149	0.18715974688529968	0.13031319	Yes	
row_2	NDUFAF1	NADH:ubiquinone oxidoreductase complex assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:18828]	1274	0.1804271638393402	0.21247089	Yes	
row_3	DPY19L1	dpy-19 like C-mannosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:22205]	1315	0.17725148797035217	0.2972195	Yes	
row_4	NDFIP2	Nedd4 family interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:18537]	1733	0.15945464372634888	0.3546592	Yes	
row_5	GHITM	growth hormone inducible transmembrane protein [Source:HGNC Symbol;Acc:HGNC:17281]	2139	0.14498622715473175	0.4056121	Yes	
row_6	NDUFB9	NADH:ubiquinone oxidoreductase subunit B9 [Source:HGNC Symbol;Acc:HGNC:7704]	2630	0.1306248903274536	0.44534457	Yes	
row_7	TAPT1	transmembrane anterior posterior transformation 1 [Source:HGNC Symbol;Acc:HGNC:26887]	2726	0.12820172309875488	0.50338125	Yes	
row_8	UBXN8	UBX domain protein 8 [Source:HGNC Symbol;Acc:HGNC:30307]	3239	0.11707150191068649	0.53539705	Yes	
row_9	SLC30A6	solute carrier family 30 member 6 [Source:HGNC Symbol;Acc:HGNC:19305]	4095	0.10126087814569473	0.5427533	Yes	
row_10	F2RL1	F2R like trypsin receptor 1 [Source:HGNC Symbol;Acc:HGNC:3538]	4637	0.09278709441423416	0.5614568	Yes	
row_11	GPAA1	glycosylphosphatidylinositol anchor attachment 1 [Source:HGNC Symbol;Acc:HGNC:4446]	5157	0.08519214391708374	0.57752985	Yes	
row_12	BCS1L	BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone [Source:HGNC Symbol;Acc:HGNC:1020]	6509	0.0678146556019783	0.54404885	No	
row_13	WFS1	wolframin ER transmembrane glycoprotein [Source:HGNC Symbol;Acc:HGNC:12762]	6803	0.06446242332458496	0.5611308	No	
row_14	PIGS	phosphatidylinositol glycan anchor biosynthesis class S [Source:HGNC Symbol;Acc:HGNC:14937]	8910	0.04301108419895172	0.4782617	No	
row_15	RETREG3	reticulophagy regulator family member 3 [Source:HGNC Symbol;Acc:HGNC:27258]	9388	0.038616761565208435	0.4736196	No	
row_16	SCAP	SREBF chaperone [Source:HGNC Symbol;Acc:HGNC:30634]	11654	0.016832469031214714	0.37009704	No	
row_17	NLRX1	NLR family member X1 [Source:HGNC Symbol;Acc:HGNC:29890]	12005	0.013537752442061901	0.3594511	No	
row_18	TMEM39B	transmembrane protein 39B [Source:HGNC Symbol;Acc:HGNC:25510]	12931	0.0049818153493106365	0.3162478	No	
row_19	ALG8	ALG8 alpha-1,3-glucosyltransferase [Source:HGNC Symbol;Acc:HGNC:23161]	13303	0.0016146012349054217	0.29873213	No	
row_20	ECSIT	ECSIT signaling integrator [Source:HGNC Symbol;Acc:HGNC:29548]	13690	-0.0018590021645650268	0.28059593	No	
row_21	ABCC1	ATP binding cassette subfamily C member 1 [Source:HGNC Symbol;Acc:HGNC:51]	14282	-0.006458617746829987	0.2545952	No	
row_22	PIGO	phosphatidylinositol glycan anchor biosynthesis class O [Source:HGNC Symbol;Acc:HGNC:23215]	15985	-0.020742904394865036	0.18076499	No	
row_23	TMEM97	transmembrane protein 97 [Source:HGNC Symbol;Acc:HGNC:28106]	19165	-0.06458693742752075	0.055508904	No	
