NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CAB39L	calcium binding protein 39 like [Source:HGNC Symbol;Acc:HGNC:20290]	42	0.17497363686561584	0.0262601	Yes	
row_1	EPB41L3	erythrocyte membrane protein band 4.1 like 3 [Source:HGNC Symbol;Acc:HGNC:3380]	66	0.15314169228076935	0.04992848	Yes	
row_2	CROT	carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:HGNC:2366]	98	0.14014098048210144	0.071092226	Yes	
row_3	BTBD3	BTB domain containing 3 [Source:HGNC Symbol;Acc:HGNC:15854]	134	0.1257914900779724	0.08973188	Yes	
row_4	IL33	interleukin 33 [Source:HGNC Symbol;Acc:HGNC:16028]	249	0.10183842480182648	0.10055857	Yes	
row_5	MAP7	microtubule associated protein 7 [Source:HGNC Symbol;Acc:HGNC:6869]	420	0.08540855348110199	0.105936	Yes	
row_6	SNAP91	synaptosome associated protein 91 [Source:HGNC Symbol;Acc:HGNC:14986]	694	0.07125072926282883	0.10389305	Yes	
row_7	JUP	junction plakoglobin [Source:HGNC Symbol;Acc:HGNC:6207]	697	0.07112536579370499	0.115317754	Yes	
row_8	PTBP2	polypyrimidine tract binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17662]	713	0.07042750716209412	0.12598236	Yes	
row_9	PPBP	pro-platelet basic protein [Source:HGNC Symbol;Acc:HGNC:9240]	752	0.06853902339935303	0.13519624	Yes	
row_10	PEG3	paternally expressed 3 [Source:HGNC Symbol;Acc:HGNC:8826]	766	0.06807328760623932	0.14557894	Yes	
row_11	SCG5	secretogranin V [Source:HGNC Symbol;Acc:HGNC:10816]	829	0.06609220802783966	0.15320186	Yes	
row_12	TMEM176B	transmembrane protein 176B [Source:HGNC Symbol;Acc:HGNC:29596]	934	0.06276802718639374	0.1581958	Yes	
row_13	ZNF277	zinc finger protein 277 [Source:HGNC Symbol;Acc:HGNC:13070]	942	0.06260515004396439	0.16799113	Yes	
row_14	ETV1	ETS variant transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3490]	1009	0.06062106788158417	0.17452851	Yes	
row_15	ATG10	autophagy related 10 [Source:HGNC Symbol;Acc:HGNC:20315]	1063	0.05943060293793678	0.18152002	Yes	
row_16	CPE	carboxypeptidase E [Source:HGNC Symbol;Acc:HGNC:2303]	1074	0.0592479407787323	0.19062208	Yes	
row_17	TRIB2	tribbles pseudokinase 2 [Source:HGNC Symbol;Acc:HGNC:30809]	1092	0.058859724551439285	0.19931285	Yes	
row_18	KIF5C	kinesin family member 5C [Source:HGNC Symbol;Acc:HGNC:6325]	1127	0.0578305684030056	0.20699075	Yes	
row_19	BPGM	bisphosphoglycerate mutase [Source:HGNC Symbol;Acc:HGNC:1093]	1231	0.05570196360349655	0.21088956	Yes	
row_20	TMEM176A	transmembrane protein 176A [Source:HGNC Symbol;Acc:HGNC:24930]	1261	0.055090807378292084	0.21837242	Yes	
row_21	TSPAN13	tetraspanin 13 [Source:HGNC Symbol;Acc:HGNC:21643]	1309	0.05402902886271477	0.22478734	Yes	
row_22	CDADC1	cytidine and dCMP deaminase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20299]	1409	0.052138812839984894	0.22830792	Yes	
row_23	MMP9	matrix metallopeptidase 9 [Source:HGNC Symbol;Acc:HGNC:7176]	1454	0.051396336406469345	0.23444559	Yes	
row_24	SPRY2	sprouty RTK signaling antagonist 2 [Source:HGNC Symbol;Acc:HGNC:11270]	1460	0.0512801893055439	0.24250552	Yes	
row_25	CCSER2	coiled-coil serine rich protein 2 [Source:HGNC Symbol;Acc:HGNC:29197]	1490	0.05078195407986641	0.24929021	Yes	
row_26	NRP1	neuropilin 1 [Source:HGNC Symbol;Acc:HGNC:8004]	1494	0.05072628706693649	0.25735995	Yes	
row_27	ADAMDEC1	ADAM like decysin 1 [Source:HGNC Symbol;Acc:HGNC:16299]	1627	0.04846316576004028	0.25864252	Yes	
row_28	EVI5	ecotropic viral integration site 5 [Source:HGNC Symbol;Acc:HGNC:3501]	1699	0.04748426750302315	0.2628025	Yes	
row_29	MMD	monocyte to macrophage differentiation associated [Source:HGNC Symbol;Acc:HGNC:7153]	1719	0.04727455973625183	0.26951662	Yes	
row_30	VWA5A	von Willebrand factor A domain containing 5A [Source:HGNC Symbol;Acc:HGNC:6658]	1730	0.04711977764964104	0.2766536	Yes	
row_31	GALNT3	polypeptide N-acetylgalactosaminyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:4125]	1746	0.04685613512992859	0.283499	Yes	
row_32	AVL9	AVL9 cell migration associated [Source:HGNC Symbol;Acc:HGNC:28994]	1914	0.044295184314250946	0.28236425	Yes	
