NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EIF1AY	eukaryotic translation initiation factor 1A Y-linked [Source:HGNC Symbol;Acc:HGNC:3252]	251	0.10590200871229172	0.053760502	No	
row_1	MRPS18B	mitochondrial ribosomal protein S18B [Source:HGNC Symbol;Acc:HGNC:14516]	3572	0.030896812677383423	-0.09092096	No	
row_2	GPAM	glycerol-3-phosphate acyltransferase, mitochondrial [Source:HGNC Symbol;Acc:HGNC:24865]	5437	0.01893257163465023	-0.17116117	No	
row_3	RPL22	ribosomal protein L22 [Source:HGNC Symbol;Acc:HGNC:10315]	7935	0.007019036449491978	-0.2901093	No	
row_4	UQCRC1	ubiquinol-cytochrome c reductase core protein 1 [Source:HGNC Symbol;Acc:HGNC:12585]	8707	0.0039460803382098675	-0.32572573	No	
row_5	GPI	glucose-6-phosphate isomerase [Source:HGNC Symbol;Acc:HGNC:4458]	10780	-0.0038548370357602835	-0.4256588	No	
row_6	RPL5	ribosomal protein L5 [Source:HGNC Symbol;Acc:HGNC:10360]	10940	-0.00445267278701067	-0.43073058	No	
row_7	DTD1	D-aminoacyl-tRNA deacylase 1 [Source:HGNC Symbol;Acc:HGNC:16219]	12146	-0.008435295894742012	-0.48497888	No	
row_8	RARS1	arginyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:9870]	12686	-0.010197239927947521	-0.50523114	No	
row_9	RAD23B	RAD23 homolog B, nucleotide excision repair protein [Source:HGNC Symbol;Acc:HGNC:9813]	13687	-0.013478491455316544	-0.54620343	No	
row_10	SRM	spermidine synthase [Source:HGNC Symbol;Acc:HGNC:11296]	13702	-0.013530885800719261	-0.5384421	No	
row_11	HSPA9	heat shock protein family A (Hsp70) member 9 [Source:HGNC Symbol;Acc:HGNC:5244]	13881	-0.014039463363587856	-0.53846335	No	
row_12	C1QBP	complement C1q binding protein [Source:HGNC Symbol;Acc:HGNC:1243]	14169	-0.014991800300776958	-0.54327345	No	
row_13	IPO5	importin 5 [Source:HGNC Symbol;Acc:HGNC:6402]	14633	-0.016615090891718864	-0.5557625	No	
row_14	BABAM1	BRISC and BRCA1 A complex member 1 [Source:HGNC Symbol;Acc:HGNC:25008]	15032	-0.017996104434132576	-0.5641784	No	
row_15	METTL26	methyltransferase like 26 [Source:HGNC Symbol;Acc:HGNC:14141]	15087	-0.01820259727537632	-0.5554743	No	
row_16	HNRNPH2	heterogeneous nuclear ribonucleoprotein H2 [Source:HGNC Symbol;Acc:HGNC:5042]	15096	-0.01824093423783779	-0.5444741	No	
row_17	EEF2	eukaryotic translation elongation factor 2 [Source:HGNC Symbol;Acc:HGNC:3214]	15827	-0.020936066284775734	-0.56745166	No	
row_18	RPL18	ribosomal protein L18 [Source:HGNC Symbol;Acc:HGNC:10310]	16588	-0.024444783106446266	-0.58971906	Yes	
row_19	GGA2	golgi associated, gamma adaptin ear containing, ARF binding protein 2 [Source:HGNC Symbol;Acc:HGNC:16064]	16609	-0.024558406323194504	-0.575365	Yes	
