NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FABP5	fatty acid binding protein 5 [Source:HGNC Symbol;Acc:HGNC:3560]	3244	0.030542906373739243	-0.12921979	No	
row_1	AK4	adenylate kinase 4 [Source:HGNC Symbol;Acc:HGNC:363]	7409	0.006449098698794842	-0.3281644	No	
row_2	CEBPZ	CCAAT enhancer binding protein zeta [Source:HGNC Symbol;Acc:HGNC:24218]	8581	0.001573425019159913	-0.38435414	No	
row_3	GPI	glucose-6-phosphate isomerase [Source:HGNC Symbol;Acc:HGNC:4458]	11131	-0.007318947464227676	-0.5027342	No	
row_4	CCND2	cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]	12064	-0.010191833600401878	-0.5384282	No	
row_5	C1QBP	complement C1q binding protein [Source:HGNC Symbol;Acc:HGNC:1243]	14488	-0.01790609210729599	-0.6398999	No	
row_6	NCL	nucleolin [Source:HGNC Symbol;Acc:HGNC:7667]	14884	-0.01931660808622837	-0.63988304	No	
row_7	EIF5A	eukaryotic translation initiation factor 5A [Source:HGNC Symbol;Acc:HGNC:3300]	16632	-0.026817837730050087	-0.69900066	Yes	
row_8	GRPEL1	GrpE like 1, mitochondrial [Source:HGNC Symbol;Acc:HGNC:19696]	16911	-0.028371483087539673	-0.68406695	Yes	
row_9	HDGF	heparin binding growth factor [Source:HGNC Symbol;Acc:HGNC:4856]	16942	-0.028560670092701912	-0.65670556	Yes	
row_10	G0S2	G0/G1 switch 2 [Source:HGNC Symbol;Acc:HGNC:30229]	17153	-0.0298987478017807	-0.6368743	Yes	
row_11	TFRC	transferrin receptor [Source:HGNC Symbol;Acc:HGNC:11763]	17418	-0.031720537692308426	-0.6178679	Yes	
row_12	NAMPT	nicotinamide phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:30092]	18107	-0.037414342164993286	-0.61403227	Yes	
row_13	IARS1	isoleucyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:5330]	18395	-0.04067471995949745	-0.5871184	Yes	
row_14	PPIF	peptidylprolyl isomerase F [Source:HGNC Symbol;Acc:HGNC:9259]	18525	-0.04207029193639755	-0.5509992	Yes	
row_15	FBL	fibrillarin [Source:HGNC Symbol;Acc:HGNC:3599]	18939	-0.048607852309942245	-0.5222912	Yes	
row_16	TRAP1	TNF receptor associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16264]	18977	-0.04922714829444885	-0.47440538	Yes	
row_17	POLR2H	RNA polymerase II subunit H [Source:HGNC Symbol;Acc:HGNC:9195]	19023	-0.04998144134879112	-0.4261526	Yes	
row_18	HSPD1	heat shock protein family D (Hsp60) member 1 [Source:HGNC Symbol;Acc:HGNC:5261]	19163	-0.05283260717988014	-0.3796587	Yes	
row_19	AHCY	adenosylhomocysteinase [Source:HGNC Symbol;Acc:HGNC:343]	19729	-0.07320644706487656	-0.3336099	Yes	
row_20	ODC1	ornithine decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:8109]	19927	-0.08493223786354065	-0.2575624	Yes	
row_21	CKS2	CDC28 protein kinase regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:2000]	19961	-0.0877893790602684	-0.17053765	Yes	
row_22	ASS1	argininosuccinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:758]	19968	-0.08851617574691772	-0.08144676	Yes	
row_23	SLC16A1	solute carrier family 16 member 1 [Source:HGNC Symbol;Acc:HGNC:10922]	20046	-0.09633748978376389	0.012039166	Yes	
