NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SPOCK3	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 3 [Source:HGNC Symbol;Acc:HGNC:13565]	26	0.19292758405208588	0.016190752	Yes	
row_1	EPB41L3	erythrocyte membrane protein band 4.1 like 3 [Source:HGNC Symbol;Acc:HGNC:3380]	66	0.15314169228076935	0.02811778	Yes	
row_2	CDH6	cadherin 6 [Source:HGNC Symbol;Acc:HGNC:1765]	73	0.14580225944519043	0.041041184	Yes	
row_3	AKR1C3	aldo-keto reductase family 1 member C3 [Source:HGNC Symbol;Acc:HGNC:386]	147	0.12257938832044601	0.048483428	Yes	
row_4	PLA2R1	phospholipase A2 receptor 1 [Source:HGNC Symbol;Acc:HGNC:9042]	151	0.12057305127382278	0.059269413	Yes	
row_5	ROBO2	roundabout guidance receptor 2 [Source:HGNC Symbol;Acc:HGNC:10250]	159	0.11754634231328964	0.06957938	Yes	
row_6	TMEM106B	transmembrane protein 106B [Source:HGNC Symbol;Acc:HGNC:22407]	281	0.09708802402019501	0.07229167	Yes	
row_7	STRADB	STE20 related adaptor beta [Source:HGNC Symbol;Acc:HGNC:13205]	313	0.09374400973320007	0.07923372	Yes	
row_8	ACAT1	acetyl-CoA acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:93]	368	0.0888838842511177	0.08457645	Yes	
row_9	ALCAM	activated leukocyte cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:400]	388	0.08751209080219269	0.09155762	Yes	
row_10	DNER	delta/notch like EGF repeat containing [Source:HGNC Symbol;Acc:HGNC:24456]	396	0.08670288324356079	0.0990698	Yes	
row_11	GABRA2	gamma-aminobutyric acid type A receptor subunit alpha2 [Source:HGNC Symbol;Acc:HGNC:4076]	533	0.07801124453544617	0.09929613	Yes	
row_12	SMIM14	small integral membrane protein 14 [Source:HGNC Symbol;Acc:HGNC:27321]	546	0.07753501832485199	0.10572486	Yes	
row_13	CWC15	CWC15 spliceosome associated protein homolog [Source:HGNC Symbol;Acc:HGNC:26939]	565	0.07679755985736847	0.111784495	Yes	
row_14	SLIT2	slit guidance ligand 2 [Source:HGNC Symbol;Acc:HGNC:11086]	604	0.07526111602783203	0.1166974	Yes	
row_15	SLC36A4	solute carrier family 36 member 4 [Source:HGNC Symbol;Acc:HGNC:19660]	647	0.07364629209041595	0.12126236	Yes	
row_16	CCDC88A	coiled-coil domain containing 88A [Source:HGNC Symbol;Acc:HGNC:25523]	667	0.07251276075839996	0.12688294	Yes	
row_17	ALDH3A2	aldehyde dehydrogenase 3 family member A2 [Source:HGNC Symbol;Acc:HGNC:403]	692	0.07133457809686661	0.13214482	Yes	
row_18	PLXDC2	plexin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:21013]	718	0.07025295495986938	0.13725823	Yes	
row_19	XPR1	xenotropic and polytropic retrovirus receptor 1 [Source:HGNC Symbol;Acc:HGNC:12827]	779	0.06788573414087296	0.14039403	Yes	
row_20	SCPEP1	serine carboxypeptidase 1 [Source:HGNC Symbol;Acc:HGNC:29507]	809	0.06683569401502609	0.14499599	Yes	
row_21	SCG5	secretogranin V [Source:HGNC Symbol;Acc:HGNC:10816]	829	0.06609220802783966	0.15003417	Yes	
row_22	TMEM30A	transmembrane protein 30A [Source:HGNC Symbol;Acc:HGNC:16667]	897	0.06362785398960114	0.15243116	Yes	
row_23	DYNC1I2	dynein cytoplasmic 1 intermediate chain 2 [Source:HGNC Symbol;Acc:HGNC:2964]	911	0.06328657269477844	0.15751706	Yes	
