NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CENPE	centromere protein E [Source:HGNC Symbol;Acc:HGNC:1856]	26	0.5094143748283386	0.014318983	Yes	
row_1	KIF15	kinesin family member 15 [Source:HGNC Symbol;Acc:HGNC:17273]	27	0.5064216256141663	0.029840354	Yes	
row_2	CHEK1	checkpoint kinase 1 [Source:HGNC Symbol;Acc:HGNC:1925]	37	0.47683486342430115	0.04400695	Yes	
row_3	KIF11	kinesin family member 11 [Source:HGNC Symbol;Acc:HGNC:6388]	44	0.4657588005065918	0.057983402	Yes	
row_4	CENPF	centromere protein F [Source:HGNC Symbol;Acc:HGNC:1857]	46	0.45818793773651123	0.07197668	Yes	
row_5	CDK1	cyclin dependent kinase 1 [Source:HGNC Symbol;Acc:HGNC:1722]	48	0.4556877911090851	0.085893326	Yes	
row_6	EXO1	exonuclease 1 [Source:HGNC Symbol;Acc:HGNC:3511]	53	0.44132354855537415	0.0992204	Yes	
row_7	CKS2	CDC28 protein kinase regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:2000]	59	0.43647655844688416	0.11234915	Yes	
row_8	PBK	PDZ binding kinase [Source:HGNC Symbol;Acc:HGNC:18282]	60	0.43496838212013245	0.12568055	Yes	
row_9	PLK4	polo like kinase 4 [Source:HGNC Symbol;Acc:HGNC:11397]	61	0.43468424677848816	0.13900323	Yes	
row_10	MAD2L1	mitotic arrest deficient 2 like 1 [Source:HGNC Symbol;Acc:HGNC:6763]	66	0.4258706569671631	0.15185669	Yes	
row_11	TTK	TTK protein kinase [Source:HGNC Symbol;Acc:HGNC:12401]	89	0.40084993839263916	0.16304736	Yes	
row_12	CCNB2	cyclin B2 [Source:HGNC Symbol;Acc:HGNC:1580]	92	0.3984358608722687	0.17515951	Yes	
row_13	BRCA2	BRCA2 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1101]	100	0.39338627457618713	0.18686804	Yes	
row_14	NDC80	NDC80 kinetochore complex component [Source:HGNC Symbol;Acc:HGNC:16909]	108	0.3864327371120453	0.19836344	Yes	
row_15	KIF20B	kinesin family member 20B [Source:HGNC Symbol;Acc:HGNC:7212]	129	0.3722517490386963	0.20877716	Yes	
row_16	DBF4	DBF4 zinc finger [Source:HGNC Symbol;Acc:HGNC:17364]	165	0.34899941086769104	0.2177316	Yes	
row_17	BUB1	BUB1 mitotic checkpoint serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1148]	167	0.34705600142478943	0.22831878	Yes	
row_18	HMGB3	high mobility group box 3 [Source:HGNC Symbol;Acc:HGNC:5004]	176	0.3441891074180603	0.23846969	Yes	
row_19	MKI67	marker of proliferation Ki-67 [Source:HGNC Symbol;Acc:HGNC:7107]	184	0.3396303057670593	0.24853063	Yes	
row_20	TPX2	TPX2 microtubule nucleation factor [Source:HGNC Symbol;Acc:HGNC:1249]	203	0.3269813060760498	0.2576564	Yes	
row_21	POLQ	DNA polymerase theta [Source:HGNC Symbol;Acc:HGNC:9186]	206	0.32581090927124023	0.26754266	Yes	
row_22	CDKN3	cyclin dependent kinase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:1791]	230	0.31670668721199036	0.27610466	Yes	
row_23	E2F3	E2F transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:3115]	236	0.31259995698928833	0.2854367	Yes	
row_24	KIF4A	kinesin family member 4A [Source:HGNC Symbol;Acc:HGNC:13339]	238	0.31220102310180664	0.29495558	Yes	
row_25	CDC25A	cell division cycle 25A [Source:HGNC Symbol;Acc:HGNC:1725]	241	0.3110904395580292	0.3043907	Yes	
row_26	KIF23	kinesin family member 23 [Source:HGNC Symbol;Acc:HGNC:6392]	243	0.31025394797325134	0.31384993	Yes	
row_27	MAP3K20	mitogen-activated protein kinase kinase kinase 20 [Source:HGNC Symbol;Acc:HGNC:17797]	255	0.30663007497787476	0.32270035	Yes	
row_28	NUSAP1	nucleolar and spindle associated protein 1 [Source:HGNC Symbol;Acc:HGNC:18538]	273	0.29886549711227417	0.33101416	Yes	
row_29	TOP2A	DNA topoisomerase II alpha [Source:HGNC Symbol;Acc:HGNC:11989]	293	0.2959117293357849	0.33913788	Yes	
row_30	HMMR	hyaluronan mediated motility receptor [Source:HGNC Symbol;Acc:HGNC:5012]	303	0.29319894313812256	0.34767622	Yes	
row_31	GINS2	GINS complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:24575]	355	0.27721598744392395	0.35363418	Yes	
row_32	MCM6	minichromosome maintenance complex component 6 [Source:HGNC Symbol;Acc:HGNC:6949]	370	0.2725134789943695	0.36128965	Yes	
row_33	SNRPD1	small nuclear ribonucleoprotein D1 polypeptide [Source:HGNC Symbol;Acc:HGNC:11158]	377	0.27122920751571655	0.36930394	Yes	
row_34	CDC45	cell division cycle 45 [Source:HGNC Symbol;Acc:HGNC:1739]	380	0.2706483006477356	0.37749952	Yes	
row_35	CDC6	cell division cycle 6 [Source:HGNC Symbol;Acc:HGNC:1744]	386	0.2688567638397217	0.38549086	Yes	
row_36	KNL1	kinetochore scaffold 1 [Source:HGNC Symbol;Acc:HGNC:24054]	421	0.26131996512413025	0.3918078	Yes	
row_37	ODC1	ornithine decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:8109]	450	0.25197601318359375	0.39813697	Yes	
row_38	AURKA	aurora kinase A [Source:HGNC Symbol;Acc:HGNC:11393]	454	0.2515318691730499	0.4056969	Yes	
row_39	CCNA2	cyclin A2 [Source:HGNC Symbol;Acc:HGNC:1578]	477	0.24896179139614105	0.41223234	Yes	
row_40	FBXO5	F-box protein 5 [Source:HGNC Symbol;Acc:HGNC:13584]	486	0.24727357923984528	0.41941285	Yes	
row_41	CUL5	cullin 5 [Source:HGNC Symbol;Acc:HGNC:2556]	487	0.24657800793647766	0.42697024	Yes	
