NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAD2L1	mitotic arrest deficient 2 like 1 [Source:HGNC Symbol;Acc:HGNC:6763]	59	0.42264673113822937	0.014729767	Yes	
row_1	IMPDH2	inosine monophosphate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:6053]	280	0.2902728319168091	0.015912838	Yes	
row_2	CDC45	cell division cycle 45 [Source:HGNC Symbol;Acc:HGNC:1739]	309	0.28140729665756226	0.026281852	Yes	
row_3	EEF1B2	eukaryotic translation elongation factor 1 beta 2 [Source:HGNC Symbol;Acc:HGNC:3208]	318	0.2793108820915222	0.03755871	Yes	
row_4	SNRPD1	small nuclear ribonucleoprotein D1 polypeptide [Source:HGNC Symbol;Acc:HGNC:11158]	321	0.27736222743988037	0.049052753	Yes	
row_5	ABCE1	ATP binding cassette subfamily E member 1 [Source:HGNC Symbol;Acc:HGNC:69]	322	0.2767033278942108	0.060618803	Yes	
row_6	MCM6	minichromosome maintenance complex component 6 [Source:HGNC Symbol;Acc:HGNC:6949]	340	0.2711235582828522	0.07110547	Yes	
row_7	CCNA2	cyclin A2 [Source:HGNC Symbol;Acc:HGNC:1578]	368	0.2640272080898285	0.08079778	Yes	
row_8	GNL3	G protein nucleolar 3 [Source:HGNC Symbol;Acc:HGNC:29931]	377	0.26193106174468994	0.09134817	Yes	
row_9	ODC1	ornithine decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:8109]	400	0.25513896346092224	0.10091782	Yes	
row_10	PCNA	proliferating cell nuclear antigen [Source:HGNC Symbol;Acc:HGNC:8729]	433	0.2482810914516449	0.10970309	Yes	
row_11	HSPD1	heat shock protein family D (Hsp60) member 1 [Source:HGNC Symbol;Acc:HGNC:5261]	455	0.24526973068714142	0.118909985	Yes	
row_12	NPM1	nucleophosmin 1 [Source:HGNC Symbol;Acc:HGNC:7910]	578	0.2238350659608841	0.1221938	Yes	
row_13	FBL	fibrillarin [Source:HGNC Symbol;Acc:HGNC:3599]	620	0.21731746196746826	0.12923683	Yes	
row_14	RSL1D1	ribosomal L1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24534]	624	0.21699441969394684	0.13815776	Yes	
row_15	SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1 [Source:HGNC Symbol;Acc:HGNC:11104]	680	0.21034462749958038	0.14421251	Yes	
row_16	NME1	NME/NM23 nucleoside diphosphate kinase 1 [Source:HGNC Symbol;Acc:HGNC:7849]	727	0.20491284132003784	0.15048817	Yes	
row_17	CLNS1A	chloride nucleotide-sensitive channel 1A [Source:HGNC Symbol;Acc:HGNC:2080]	730	0.20475229620933533	0.15894717	Yes	
row_18	MCM2	minichromosome maintenance complex component 2 [Source:HGNC Symbol;Acc:HGNC:6944]	735	0.20404325425624847	0.16727696	Yes	
row_19	NHP2	NHP2 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:14377]	753	0.2016686052083969	0.17486046	Yes	
row_20	RPS3	ribosomal protein S3 [Source:HGNC Symbol;Acc:HGNC:10420]	754	0.20166364312171936	0.18328989	Yes	
row_21	SNRPG	small nuclear ribonucleoprotein polypeptide G [Source:HGNC Symbol;Acc:HGNC:11163]	761	0.2010568231344223	0.19139531	Yes	
row_22	RFC4	replication factor C subunit 4 [Source:HGNC Symbol;Acc:HGNC:9972]	762	0.20103098452091217	0.1997983	Yes	
row_23	TYMS	thymidylate synthetase [Source:HGNC Symbol;Acc:HGNC:12441]	772	0.19941967725753784	0.20768598	Yes	
row_24	RPS5	ribosomal protein S5 [Source:HGNC Symbol;Acc:HGNC:10426]	789	0.1976355016231537	0.21515065	Yes	
row_25	NAP1L1	nucleosome assembly protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:7637]	847	0.19174724817276	0.2203285	Yes	
row_26	H2AZ1	H2A.Z variant histone 1 [Source:HGNC Symbol;Acc:HGNC:4741]	863	0.1909220665693283	0.22756232	Yes	
row_27	RPL34	ribosomal protein L34 [Source:HGNC Symbol;Acc:HGNC:10340]	891	0.18866539001464844	0.23410456	Yes	
row_28	CCT4	chaperonin containing TCP1 subunit 4 [Source:HGNC Symbol;Acc:HGNC:1617]	942	0.1846615970134735	0.23933463	Yes	
row_29	APEX1	apurinic/apyrimidinic endodeoxyribonuclease 1 [Source:HGNC Symbol;Acc:HGNC:587]	950	0.18383529782295227	0.24667044	Yes	
row_30	DDX21	DExD-box helicase 21 [Source:HGNC Symbol;Acc:HGNC:2744]	960	0.18287311494350433	0.25386646	Yes	
row_31	SRPK1	SRSF protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:11305]	1002	0.17975957691669464	0.2593396	Yes	
row_32	HDAC2	histone deacetylase 2 [Source:HGNC Symbol;Acc:HGNC:4853]	1030	0.17789247632026672	0.26543152	Yes	
row_33	RRM1	ribonucleotide reductase catalytic subunit M1 [Source:HGNC Symbol;Acc:HGNC:10451]	1036	0.1776559054851532	0.27260858	Yes	
row_34	MCM4	minichromosome maintenance complex component 4 [Source:HGNC Symbol;Acc:HGNC:6947]	1042	0.1774275153875351	0.2797761	Yes	
row_35	NOLC1	nucleolar and coiled-body phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:15608]	1096	0.1734561026096344	0.28438848	Yes	
row_36	SNRPD2	small nuclear ribonucleoprotein D2 polypeptide [Source:HGNC Symbol;Acc:HGNC:11159]	1099	0.17340776324272156	0.29153728	Yes	
row_37	SNRPA	small nuclear ribonucleoprotein polypeptide A [Source:HGNC Symbol;Acc:HGNC:11151]	1118	0.17229421436786652	0.29784316	Yes	
row_38	RPS6	ribosomal protein S6 [Source:HGNC Symbol;Acc:HGNC:10429]	1138	0.17149774730205536	0.30406597	Yes	
row_39	EIF2S2	eukaryotic translation initiation factor 2 subunit beta [Source:HGNC Symbol;Acc:HGNC:3266]	1146	0.17108866572380066	0.31086898	Yes	
row_40	CDK4	cyclin dependent kinase 4 [Source:HGNC Symbol;Acc:HGNC:1773]	1162	0.16983698308467865	0.31722146	Yes	
row_41	RPLP0	ribosomal protein lateral stalk subunit P0 [Source:HGNC Symbol;Acc:HGNC:10371]	1169	0.16889631748199463	0.3239826	Yes	
row_42	PRDX4	peroxiredoxin 4 [Source:HGNC Symbol;Acc:HGNC:17169]	1188	0.16730757057666779	0.33008003	Yes	
row_43	RPL14	ribosomal protein L14 [Source:HGNC Symbol;Acc:HGNC:10305]	1196	0.16640420258045197	0.33668724	Yes	
row_44	MCM5	minichromosome maintenance complex component 5 [Source:HGNC Symbol;Acc:HGNC:6948]	1200	0.16587606072425842	0.34347144	Yes	
row_45	DDX18	DEAD-box helicase 18 [Source:HGNC Symbol;Acc:HGNC:2741]	1214	0.16450707614421844	0.3497007	Yes	
row_46	IARS1	isoleucyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:5330]	1247	0.16250881552696228	0.35490072	Yes	
row_47	MCM7	minichromosome maintenance complex component 7 [Source:HGNC Symbol;Acc:HGNC:6950]	1278	0.16084560751914978	0.36013076	Yes	
row_48	TRIM28	tripartite motif containing 28 [Source:HGNC Symbol;Acc:HGNC:16384]	1324	0.15779642760753632	0.36448675	Yes	
row_49	EXOSC7	exosome component 7 [Source:HGNC Symbol;Acc:HGNC:28112]	1325	0.1577170491218567	0.37107927	Yes	
row_50	SNRPB2	small nuclear ribonucleoprotein polypeptide B2 [Source:HGNC Symbol;Acc:HGNC:11155]	1387	0.15469323098659515	0.37450916	Yes	
row_51	RACK1	receptor for activated C kinase 1 [Source:HGNC Symbol;Acc:HGNC:4399]	1388	0.15459753572940826	0.38097125	Yes	
row_52	CAD	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase [Source:HGNC Symbol;Acc:HGNC:1424]	1427	0.15239594876766205	0.38544995	Yes	
row_53	DHX15	DEAH-box helicase 15 [Source:HGNC Symbol;Acc:HGNC:2738]	1450	0.15122090280056	0.39067587	Yes	
row_54	CCT2	chaperonin containing TCP1 subunit 2 [Source:HGNC Symbol;Acc:HGNC:1615]	1452	0.1511283814907074	0.39694318	Yes	
row_55	CDK2	cyclin dependent kinase 2 [Source:HGNC Symbol;Acc:HGNC:1771]	1466	0.1503230184316635	0.40257955	Yes	
row_56	RRP9	ribosomal RNA processing 9, U3 small nucleolar RNA binding protein [Source:HGNC Symbol;Acc:HGNC:16829]	1470	0.15021485090255737	0.4087091	Yes	
row_57	RANBP1	RAN binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9847]	1473	0.1499079018831253	0.41487566	Yes	
row_58	CDC20	cell division cycle 20 [Source:HGNC Symbol;Acc:HGNC:1723]	1480	0.14968754351139069	0.42083386	Yes	
row_59	SYNCRIP	synaptotagmin binding cytoplasmic RNA interacting protein [Source:HGNC Symbol;Acc:HGNC:16918]	1495	0.14863286912441254	0.42634982	Yes	
row_60	RPS2	ribosomal protein S2 [Source:HGNC Symbol;Acc:HGNC:10404]	1513	0.14761807024478912	0.431674	Yes	
row_61	BUB3	BUB3 mitotic checkpoint protein [Source:HGNC Symbol;Acc:HGNC:1151]	1524	0.14702285826206207	0.43732175	Yes	
