NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KIF15	kinesin family member 15 [Source:HGNC Symbol;Acc:HGNC:17273]	20	0.5076650381088257	0.014568007	Yes	
row_1	CENPE	centromere protein E [Source:HGNC Symbol;Acc:HGNC:1856]	26	0.49755316972732544	0.029572615	Yes	
row_2	KIF11	kinesin family member 11 [Source:HGNC Symbol;Acc:HGNC:6388]	31	0.4714779853820801	0.043827612	Yes	
row_3	CDK1	cyclin dependent kinase 1 [Source:HGNC Symbol;Acc:HGNC:1722]	38	0.45675110816955566	0.05753158	Yes	
row_4	CHEK1	checkpoint kinase 1 [Source:HGNC Symbol;Acc:HGNC:1925]	39	0.45641425251960754	0.07152386	Yes	
row_5	CENPF	centromere protein F [Source:HGNC Symbol;Acc:HGNC:1857]	40	0.4561672508716583	0.08550857	Yes	
row_6	EXO1	exonuclease 1 [Source:HGNC Symbol;Acc:HGNC:3511]	45	0.44758090376853943	0.09903096	Yes	
row_7	PBK	PDZ binding kinase [Source:HGNC Symbol;Acc:HGNC:18282]	57	0.42775705456733704	0.11159719	Yes	
row_8	CKS2	CDC28 protein kinase regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:2000]	61	0.4241666793823242	0.12445154	Yes	
row_9	MAD2L1	mitotic arrest deficient 2 like 1 [Source:HGNC Symbol;Acc:HGNC:6763]	64	0.42115122079849243	0.13726321	Yes	
row_10	PLK4	polo like kinase 4 [Source:HGNC Symbol;Acc:HGNC:11397]	65	0.4207099974155426	0.15016091	Yes	
row_11	TTK	TTK protein kinase [Source:HGNC Symbol;Acc:HGNC:12401]	69	0.41400375962257385	0.1627037	Yes	
row_12	BRCA2	BRCA2 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1101]	83	0.40294718742370605	0.17440979	Yes	
row_13	CCNB2	cyclin B2 [Source:HGNC Symbol;Acc:HGNC:1580]	88	0.3959997594356537	0.18635085	Yes	
row_14	NDC80	NDC80 kinetochore complex component [Source:HGNC Symbol;Acc:HGNC:16909]	92	0.3926304876804352	0.19823839	Yes	
row_15	KIF20B	kinesin family member 20B [Source:HGNC Symbol;Acc:HGNC:7212]	114	0.3750915229320526	0.20869233	Yes	
row_16	BUB1	BUB1 mitotic checkpoint serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1148]	152	0.34953126311302185	0.21756627	Yes	
row_17	DBF4	DBF4 zinc finger [Source:HGNC Symbol;Acc:HGNC:17364]	162	0.34675222635269165	0.22774869	Yes	
row_18	MKI67	marker of proliferation Ki-67 [Source:HGNC Symbol;Acc:HGNC:7107]	164	0.3451400697231293	0.23827986	Yes	
row_19	TPX2	TPX2 microtubule nucleation factor [Source:HGNC Symbol;Acc:HGNC:1249]	180	0.3345305919647217	0.24778897	Yes	
row_20	POLQ	DNA polymerase theta [Source:HGNC Symbol;Acc:HGNC:9186]	188	0.331856906414032	0.25761428	Yes	
row_21	HMGB3	high mobility group box 3 [Source:HGNC Symbol;Acc:HGNC:5004]	193	0.33076608180999756	0.26755548	Yes	
row_22	CDKN3	cyclin dependent kinase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:1791]	217	0.31881949305534363	0.2761847	Yes	
row_23	E2F3	E2F transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:3115]	218	0.3184165954589844	0.2859464	Yes	
row_24	KIF4A	kinesin family member 4A [Source:HGNC Symbol;Acc:HGNC:13339]	224	0.31522947549819946	0.29536152	Yes	
row_25	KIF23	kinesin family member 23 [Source:HGNC Symbol;Acc:HGNC:6392]	239	0.3082640469074249	0.30411515	Yes	
row_26	TOP2A	DNA topoisomerase II alpha [Source:HGNC Symbol;Acc:HGNC:11989]	244	0.3050284683704376	0.3132673	Yes	
row_27	CDC25A	cell division cycle 25A [Source:HGNC Symbol;Acc:HGNC:1725]	249	0.3040087819099426	0.3223882	Yes	
row_28	HMMR	hyaluronan mediated motility receptor [Source:HGNC Symbol;Acc:HGNC:5012]	268	0.29711517691612244	0.33060092	Yes	
row_29	NUSAP1	nucleolar and spindle associated protein 1 [Source:HGNC Symbol;Acc:HGNC:18538]	280	0.29419994354248047	0.3390727	Yes	
row_30	MAP3K20	mitogen-activated protein kinase kinase kinase 20 [Source:HGNC Symbol;Acc:HGNC:17797]	295	0.2891634404659271	0.34724075	Yes	
row_31	CDC6	cell division cycle 6 [Source:HGNC Symbol;Acc:HGNC:1744]	328	0.2806376516819	0.3542515	Yes	
row_32	GINS2	GINS complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:24575]	330	0.27995437383651733	0.3627843	Yes	
row_33	CDC45	cell division cycle 45 [Source:HGNC Symbol;Acc:HGNC:1739]	357	0.2725757360458374	0.36984652	Yes	
row_34	MCM6	minichromosome maintenance complex component 6 [Source:HGNC Symbol;Acc:HGNC:6949]	377	0.265425443649292	0.37703797	Yes	
row_35	SNRPD1	small nuclear ribonucleoprotein D1 polypeptide [Source:HGNC Symbol;Acc:HGNC:11158]	385	0.2637154161930084	0.38477427	Yes	
row_36	ODC1	ornithine decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:8109]	386	0.2633366584777832	0.39284736	Yes	
row_37	KNL1	kinetochore scaffold 1 [Source:HGNC Symbol;Acc:HGNC:24054]	396	0.26147231459617615	0.40041536	Yes	
row_38	AURKA	aurora kinase A [Source:HGNC Symbol;Acc:HGNC:11393]	404	0.25896963477134705	0.40800616	Yes	
row_39	CCNA2	cyclin A2 [Source:HGNC Symbol;Acc:HGNC:1578]	407	0.2583879828453064	0.41582802	Yes	
row_40	UBE2C	ubiquitin conjugating enzyme E2 C [Source:HGNC Symbol;Acc:HGNC:15937]	463	0.24634547531604767	0.42064267	Yes	
row_41	FBXO5	F-box protein 5 [Source:HGNC Symbol;Acc:HGNC:13584]	468	0.24510836601257324	0.42795786	Yes	
row_42	PRIM2	DNA primase subunit 2 [Source:HGNC Symbol;Acc:HGNC:9370]	493	0.24078792333602905	0.43414515	Yes	
row_43	DKC1	dyskerin pseudouridine synthase 1 [Source:HGNC Symbol;Acc:HGNC:2890]	554	0.2281952053308487	0.43815452	Yes	
row_44	PRC1	protein regulator of cytokinesis 1 [Source:HGNC Symbol;Acc:HGNC:9341]	557	0.22796088457107544	0.44504356	Yes	
row_45	SMC4	structural maintenance of chromosomes 4 [Source:HGNC Symbol;Acc:HGNC:14013]	562	0.2276766002178192	0.45182434	Yes	
row_46	CHAF1A	chromatin assembly factor 1 subunit A [Source:HGNC Symbol;Acc:HGNC:1910]	594	0.22322529554367065	0.45712477	Yes	
row_47	PTTG1	PTTG1 regulator of sister chromatid separation, securin [Source:HGNC Symbol;Acc:HGNC:9690]	607	0.22152209281921387	0.46331868	Yes	
row_48	WRN	WRN RecQ like helicase [Source:HGNC Symbol;Acc:HGNC:12791]	609	0.22139474749565125	0.4700562	Yes	
row_49	RACGAP1	Rac GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:9804]	612	0.22119559347629547	0.47673786	Yes	
row_50	CUL5	cullin 5 [Source:HGNC Symbol;Acc:HGNC:2556]	615	0.22088752686977386	0.48341003	Yes	
row_51	MCM3	minichromosome maintenance complex component 3 [Source:HGNC Symbol;Acc:HGNC:6945]	638	0.21855810284614563	0.48901534	Yes	
row_52	TMPO	thymopoietin [Source:HGNC Symbol;Acc:HGNC:11875]	645	0.21774601936340332	0.49539214	Yes	
row_53	MCM2	minichromosome maintenance complex component 2 [Source:HGNC Symbol;Acc:HGNC:6944]	670	0.2140864133834839	0.50076085	Yes	
row_54	BIRC5	baculoviral IAP repeat containing 5 [Source:HGNC Symbol;Acc:HGNC:593]	710	0.20918647944927216	0.5052327	Yes	
row_55	MYBL2	MYB proto-oncogene like 2 [Source:HGNC Symbol;Acc:HGNC:7548]	721	0.20827171206474304	0.5111199	Yes	
row_56	SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1 [Source:HGNC Symbol;Acc:HGNC:11104]	735	0.20657706260681152	0.5168059	Yes	
row_57	SAP30	Sin3A associated protein 30 [Source:HGNC Symbol;Acc:HGNC:10532]	769	0.20352116227149963	0.5214027	Yes	
row_58	ORC6	origin recognition complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:17151]	798	0.2007320374250412	0.5261629	Yes	
row_59	SMC2	structural maintenance of chromosomes 2 [Source:HGNC Symbol;Acc:HGNC:14011]	821	0.1978583186864853	0.5311336	Yes	
row_60	LMNB1	lamin B1 [Source:HGNC Symbol;Acc:HGNC:6637]	822	0.19782234728336334	0.53719825	Yes	
row_61	PLK1	polo like kinase 1 [Source:HGNC Symbol;Acc:HGNC:9077]	827	0.19683323800563812	0.5430335	Yes	
row_62	KIF2C	kinesin family member 2C [Source:HGNC Symbol;Acc:HGNC:6393]	830	0.19676358997821808	0.5489661	Yes	
row_63	CDC7	cell division cycle 7 [Source:HGNC Symbol;Acc:HGNC:1745]	837	0.19596832990646362	0.5546753	Yes	
row_64	POLA2	DNA polymerase alpha 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:30073]	929	0.18844953179359436	0.55592316	Yes	
row_65	H2AZ1	H2A.Z variant histone 1 [Source:HGNC Symbol;Acc:HGNC:4741]	939	0.18741430342197418	0.56122077	Yes	
row_66	TRAIP	TRAF interacting protein [Source:HGNC Symbol;Acc:HGNC:30764]	940	0.18731753528118134	0.5669634	Yes	
row_67	STIL	STIL centriolar assembly protein [Source:HGNC Symbol;Acc:HGNC:10879]	953	0.1864469200372696	0.572082	Yes	
row_68	UBE2S	ubiquitin conjugating enzyme E2 S [Source:HGNC Symbol;Acc:HGNC:17895]	971	0.18503539264202118	0.57690847	Yes	
row_69	AURKB	aurora kinase B [Source:HGNC Symbol;Acc:HGNC:11390]	991	0.1840357780456543	0.5816047	Yes	
row_70	EZH2	enhancer of zeste 2 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:3527]	1009	0.18242044746875763	0.58635104	Yes	
row_71	CKS1B	CDC28 protein kinase regulatory subunit 1B [Source:HGNC Symbol;Acc:HGNC:19083]	1037	0.179390087723732	0.59050673	Yes	
row_72	POLE	DNA polymerase epsilon, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9177]	1043	0.17912107706069946	0.59574914	Yes	
row_73	CENPA	centromere protein A [Source:HGNC Symbol;Acc:HGNC:1851]	1056	0.17768503725528717	0.60059917	Yes	
row_74	RBL1	RB transcriptional corepressor like 1 [Source:HGNC Symbol;Acc:HGNC:9893]	1063	0.17709895968437195	0.6057298	Yes	
row_75	ESPL1	extra spindle pole bodies like 1, separase [Source:HGNC Symbol;Acc:HGNC:16856]	1067	0.17696072161197662	0.6110056	Yes	
row_76	NEK2	NIMA related kinase 2 [Source:HGNC Symbol;Acc:HGNC:7745]	1115	0.17389152944087982	0.6139972	Yes	
row_77	BARD1	BRCA1 associated RING domain 1 [Source:HGNC Symbol;Acc:HGNC:952]	1125	0.17339637875556946	0.6188651	Yes	
row_78	H2BC12	H2B clustered histone 12 [Source:HGNC Symbol;Acc:HGNC:13954]	1132	0.17289939522743225	0.62386703	Yes	
row_79	MCM5	minichromosome maintenance complex component 5 [Source:HGNC Symbol;Acc:HGNC:6948]	1137	0.172547847032547	0.6289577	Yes	
row_80	LIG3	DNA ligase 3 [Source:HGNC Symbol;Acc:HGNC:6600]	1156	0.1706072837114334	0.6332921	Yes	
row_81	NOLC1	nucleolar and coiled-body phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:15608]	1195	0.1678575575351715	0.6365467	Yes	
row_82	H2AX	H2A.X variant histone [Source:HGNC Symbol;Acc:HGNC:4739]	1199	0.1674485057592392	0.6415309	Yes	
row_83	CDK4	cyclin dependent kinase 4 [Source:HGNC Symbol;Acc:HGNC:1773]	1241	0.16431349515914917	0.6445275	Yes	
row_84	ILF3	interleukin enhancer binding factor 3 [Source:HGNC Symbol;Acc:HGNC:6038]	1331	0.158309668302536	0.6449509	Yes	
row_85	LBR	lamin B receptor [Source:HGNC Symbol;Acc:HGNC:6518]	1342	0.15706834197044373	0.64926845	Yes	
row_86	MNAT1	MNAT1 component of CDK activating kinase [Source:HGNC Symbol;Acc:HGNC:7181]	1376	0.15464216470718384	0.65236676	Yes	
row_87	TROAP	trophinin associated protein [Source:HGNC Symbol;Acc:HGNC:12327]	1395	0.15333877503871918	0.65617174	Yes	
row_88	PRMT5	protein arginine methyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:10894]	1400	0.15300573408603668	0.66066337	Yes	
row_89	TACC3	transforming acidic coiled-coil containing protein 3 [Source:HGNC Symbol;Acc:HGNC:11524]	1407	0.15276481211185455	0.665048	Yes	
